,0,1,2,3
202101010101,単勝,9,1350,7
202101010101,複勝,9,340,7
202101010101,複勝,6,170,1
202101010101,複勝,14,2190,14
202101010101,枠連,3-5,660,2
202101010101,馬連,6-9,2580,13
202101010101,ワイド,6-9,1040,14
202101010101,ワイド,9-14,14560,77
202101010101,ワイド,6-14,6440,47
202101010101,馬単,9→6,5770,27
202101010101,三連複,6-9-14,34860,89
202101010101,三連単,9→6→14,151900,416
202101010102,単勝,1,240,1
202101010102,複勝,1,140,1
202101010102,複勝,14,240,4
202101010102,複勝,8,380,8
202101010102,枠連,1-8,1220,5
202101010102,馬連,1-14,1320,4
202101010102,ワイド,1-14,550,5
202101010102,ワイド,1-8,920,10
202101010102,ワイド,8-14,2080,24
202101010102,馬単,1→14,2030,5
202101010102,三連複,1-8-14,6720,23
202101010102,三連単,1→14→8,25000,81
202101010103,単勝,11,6770,11
202101010103,複勝,11,4310,11
202101010103,複勝,5,1340,6
202101010103,複勝,12,870,3
202101010103,枠連,5-8,530,2
202101010103,馬連,5-11,35270,48
202101010103,ワイド,5-11,8330,50
202101010103,ワイド,11-12,4480,40
202101010103,ワイド,5-12,1850,15
202101010103,馬単,11→5,89690,95
202101010103,三連複,5-11-12,93510,124
202101010103,三連単,11→5→12,711000,739
202101010104,単勝,3,3580,10
202101010104,複勝,3,780,11
202101010104,複勝,13,210,4
202101010104,複勝,5,180,2
202101010104,枠連,2-7,4580,18
202101010104,馬連,3-13,12530,41
202101010104,ワイド,3-13,3510,41
202101010104,ワイド,3-5,2570,30
202101010104,ワイド,5-13,470,2
202101010104,馬単,3→13,24100,75
202101010104,三連複,3-5-13,14380,49
202101010104,三連単,3→13→5,119630,394
202101010105,単勝,11,630,3
202101010105,複勝,11,180,3
202101010105,複勝,2,210,4
202101010105,複勝,13,130,2
202101010105,枠連,2-7,3310,12
202101010105,馬連,2-11,3080,9
202101010105,ワイド,2-11,750,8
202101010105,ワイド,11-13,360,3
202101010105,ワイド,2-13,520,5
202101010105,馬単,11→2,5060,16
202101010105,三連複,2-11-13,2830,7
202101010105,三連単,11→2→13,20680,55
202101010106,単勝,6,600,2
202101010106,複勝,6,160,3
202101010106,複勝,9,110,1
202101010106,複勝,14,150,2
202101010106,枠連,4-6,440,1
202101010106,馬連,6-9,520,1
202101010106,ワイド,6-9,240,1
202101010106,ワイド,6-14,640,7
202101010106,ワイド,9-14,300,2
202101010106,馬単,6→9,1580,3
202101010106,三連複,6-9-14,1100,1
202101010106,三連単,6→9→14,7120,8
202101010107,単勝,11,310,1
202101010107,複勝,11,170,2
202101010107,複勝,8,390,8
202101010107,複勝,9,160,1
202101010107,枠連,6-8,1860,7
202101010107,馬連,8-11,3450,13
202101010107,ワイド,8-11,1010,12
202101010107,ワイド,9-11,470,2
202101010107,ワイド,8-9,1060,14
202101010107,馬単,11→8,5380,21
202101010107,三連複,8-9-11,4740,14
202101010107,三連単,11→8→9,25660,75
202101010108,単勝,10,640,4
202101010108,複勝,10,160,2
202101010108,複勝,3,160,3
202101010108,複勝,4,150,1
202101010108,枠連,3-8,770,2
202101010108,馬連,3-10,1230,4
202101010108,ワイド,3-10,490,3
202101010108,ワイド,4-10,510,6
202101010108,ワイド,3-4,350,1
202101010108,馬単,10→3,2270,3
202101010108,三連複,3-4-10,2070,4
202101010108,三連単,10→3→4,9590,7
202101010109,単勝,11,260,1
202101010109,複勝,11,140,1
202101010109,複勝,9,290,6
202101010109,複勝,14,230,4
202101010109,枠連,6-7,1320,6
202101010109,馬連,9-11,1740,5
202101010109,ワイド,9-11,680,5
202101010109,ワイド,11-14,500,3
202101010109,ワイド,9-14,1730,24
202101010109,馬単,11→9,2800,7
202101010109,三連複,9-11-14,5030,13
202101010109,三連単,11→9→14,18070,31
202101010110,単勝,2,290,2
202101010110,複勝,2,140,3
202101010110,複勝,5,380,7
202101010110,複勝,7,110,1
202101010110,馬連,2-5,2980,10
202101010110,ワイド,2-5,770,10
202101010110,ワイド,2-7,210,1
202101010110,ワイド,5-7,620,8
202101010110,馬単,2→5,4730,19
202101010110,三連複,2-5-7,1580,5
202101010110,三連単,2→5→7,12180,43
202101010111,単勝,1,920,6
202101010111,複勝,1,290,4
202101010111,複勝,11,290,5
202101010111,複勝,4,710,11
202101010111,枠連,1-6,560,1
202101010111,馬連,1-11,3740,15
202101010111,ワイド,1-11,1490,17
202101010111,ワイド,1-4,2840,37
202101010111,ワイド,4-11,3840,50
