,0,1,2,3
202410010101,単勝,2,210,1
202410010101,複勝,2,130,1
202410010101,複勝,7,200,3
202410010101,複勝,8,250,6
202410010101,枠連,2-5,410,1
202410010101,馬連,2-7,690,2
202410010101,ワイド,2-7,290,2
202410010101,ワイド,2-8,330,3
202410010101,ワイド,7-8,620,7
202410010101,馬単,2→7,1060,2
202410010101,三連複,2-7-8,1210,2
202410010101,三連単,2→7→8,4570,6
202410010102,単勝,4,520,2
202410010102,複勝,4,120,2
202410010102,複勝,1,110,1
202410010102,複勝,7,180,5
202410010102,枠連,1-4,300,1
202410010102,馬連,1-4,300,1
202410010102,ワイド,1-4,160,1
202410010102,ワイド,4-7,450,6
202410010102,ワイド,1-7,250,3
202410010102,馬単,4→1,930,3
202410010102,三連複,1-4-7,800,3
202410010102,三連単,4→1→7,5010,12
202410010103,単勝,5,1620,6
202410010103,複勝,5,340,6
202410010103,複勝,11,260,4
202410010103,複勝,12,220,3
202410010103,枠連,5-8,750,3
202410010103,馬連,5-11,8070,20
202410010103,ワイド,5-11,2190,23
202410010103,ワイド,5-12,1250,16
202410010103,ワイド,11-12,840,9
202410010103,馬単,5→11,19760,48
202410010103,三連複,5-11-12,13510,40
202410010103,三連単,5→11→12,114100,264
202410010104,単勝,12,180,1
202410010104,複勝,12,110,1
202410010104,複勝,4,150,2
202410010104,複勝,6,220,6
202410010104,枠連,4-8,370,1
202410010104,馬連,4-12,380,1
202410010104,ワイド,4-12,180,1
202410010104,ワイド,6-12,450,6
202410010104,ワイド,4-6,860,11
202410010104,馬単,12→4,540,1
202410010104,三連複,4-6-12,1590,4
202410010104,三連単,12→4→6,3930,5
202410010105,単勝,7,170,1
202410010105,複勝,7,110,1
202410010105,複勝,10,180,4
202410010105,複勝,1,140,2
202410010105,枠連,6-7,1000,3
202410010105,馬連,7-10,900,3
202410010105,ワイド,7-10,410,4
202410010105,ワイド,1-7,240,2
202410010105,ワイド,1-10,800,8
202410010105,馬単,7→10,1430,5
202410010105,三連複,1-7-10,1250,2
202410010105,三連単,7→10→1,5940,15
202410010106,単勝,12,420,3
202410010106,複勝,12,230,3
202410010106,複勝,1,380,5
202410010106,複勝,6,4530,16
202410010106,枠連,1-6,2230,9
202410010106,馬連,1-12,2420,7
202410010106,ワイド,1-12,1100,10
202410010106,ワイド,6-12,13220,75
202410010106,ワイド,1-6,23840,87
202410010106,馬単,12→1,4070,13
202410010106,三連複,1-6-12,127340,204
202410010106,三連単,12→1→6,358180,748
202410010107,単勝,2,340,2
202410010107,複勝,2,170,1
202410010107,複勝,14,1230,12
202410010107,複勝,11,310,4
202410010107,枠連,1-7,1840,10
202410010107,馬連,2-14,7580,26
202410010107,ワイド,2-14,2510,28
202410010107,ワイド,2-11,650,3
202410010107,ワイド,11-14,5620,56
202410010107,馬単,2→14,9740,34
202410010107,三連複,2-11-14,15790,58
202410010107,三連単,2→14→11,71010,237
202410010108,単勝,16,1070,6
202410010108,複勝,16,390,6
202410010108,複勝,14,560,9
202410010108,複勝,8,340,5
202410010108,枠連,7-8,2040,7
202410010108,馬連,14-16,11290,30
202410010108,ワイド,14-16,2990,31
202410010108,ワイド,8-16,1870,22
202410010108,ワイド,8-14,4150,42
202410010108,馬単,16→14,25320,65
202410010108,三連複,8-14-16,43680,119
202410010108,三連単,16→14→8,238050,614
202410010109,単勝,9,650,3
202410010109,複勝,9,220,3
202410010109,複勝,6,1350,11
202410010109,複勝,15,490,7
202410010109,枠連,3-5,920,2
202410010109,馬連,6-9,18070,42
202410010109,ワイド,6-9,3960,37
202410010109,ワイド,9-15,1900,22
202410010109,ワイド,6-15,8940,61
202410010109,馬単,9→6,28390,74
202410010109,三連複,6-9-15,51560,133
202410010109,三連単,9→6→15,407020,838
202410010110,単勝,8,4360,11
202410010110,複勝,8,810,10
202410010110,複勝,11,380,7
202410010110,複勝,4,330,5
202410010110,枠連,7-8,3240,19
202410010110,馬連,8-11,12560,44
202410010110,ワイド,8-11,3350,45
202410010110,ワイド,4-8,3270,43
202410010110,ワイド,4-11,1450,21
202410010110,馬単,8→11,32310,98
202410010110,三連複,4-8-11,27700,111
202410010110,三連単,8→11→4,208800,711
202410010111,単勝,12,200,1
202410010111,複勝,12,120,1
202410010111,複勝,3,310,6
202410010111,複勝,2,180,2
202410010111,枠連,3-7,530,1
202410010111,馬連,3-12,2620,9
202410010111,ワイド,3-12,780,6
202410010111,ワイド,2-12,350,2
202410010111,ワイド,2-3,870,10
202410010111,馬単,12→3,3370,10
202410010111,三連複,2-3-12,3220,4
202410010111,三連単,12→3→2,15950,36
202410010112,単勝,15,7320,14
202410010112,複勝,15,1440,14
202410010112,複勝,4,220,1
202410010112,複勝,18,590,10
202410010112,枠連,2-7,3420,19
202410010112,馬連,4-15,10940,49
202410010112,ワイド,4-15,3740,48
202410010112,ワイド,15-18,12000,97
202410010112,ワイド,4-18,1770,19
202410010112,馬単,15→4,36520,134
202410010112,三連複,4-15-18,66130,227
202410010112,三連単,15→4→18,648570,1767
202410010201,単勝,12,290,1
202410010201,複勝,12,140,1
