,2023110025
peds_0,Kingman  (英)
peds_1,Serienheilige
peds_2,Invincible Spirit  (愛)
peds_3,Zenda  (英)
peds_4,Holy Roman Emperor
peds_5,Saldenehre
peds_6,Green Desert
peds_7,Rafha
peds_8,Zamindar
peds_9,Hope
peds_10,デインヒル  Danehill(米)
peds_11,L'On Vite
peds_12,Highest Honor
peds_13,Salde
peds_14,Danzig
peds_15,Foreign Courier
peds_16,Kris
peds_17,Eljazzi
peds_18,Gone West
peds_19,Zaizafon
peds_20,ダンシングブレーヴ
peds_21,Bahamian
peds_22,Danzig
peds_23,Razyana
peds_24,Secretariat
peds_25,Fanfreluche
peds_26,Kenmare
peds_27,High River
peds_28,Alkalde
peds_29,Saite
peds_30,Northern Dancer
peds_31,Pas de Nom
peds_32,Sir Ivor
peds_33,Courtly Dee
peds_34,Sharpen Up
peds_35,Doubly Sure
peds_36,アーテイアス
peds_37,Border Bounty
peds_38,Mr. Prospector
peds_39,Secrettame
peds_40,The Minstrel
peds_41,Mofida
peds_42,Lyphard
peds_43,Navajo Princess
peds_44,Mill Reef
peds_45,Sorbus
peds_46,Northern Dancer
peds_47,Pas de Nom
peds_48,His Majesty
peds_49,Spring Adieu
peds_50,Bold Ruler
peds_51,Somethingroyal
peds_52,Northern Dancer
peds_53,Ciboulette
peds_54,Kalamoun
peds_55,Belle of Ireland
peds_56,Riverman
peds_57,Hairbrush
peds_58,Konigsstuhl
peds_59,Astra
peds_60,Marduk
peds_61,Salesiana
