race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202601010804,2026/08/16,札幌,晴,04,3歳未勝利,未勝利,14,4,5,180.0,14,12,古川吉洋,55,ダート,1700,良,0:1:50.0,3.7,12-11-13-11,39.6,446,アルジェンタム
202601010401,2026/08/02,札幌,晴,01,3歳未勝利,未勝利,14,8,14,113.3,11,9,古川吉洋,55,ダート,1700,良,0:1:48.3,2.5,13-12-12-10,39.4,448,ローゾフィア
202602010703,2026/07/04,函館,晴,03,3歳未勝利,未勝利,11,3,3,302.1,11,4,古川吉洋,55,ダート,1700,良,0:1:47.7,1.0,9-8-8-6,38.8,440,ギンケイ
202602010304,2026/06/20,函館,曇,04,3歳未勝利,未勝利,14,4,5,236.6,14,9,古川吉洋,55,ダート,1700,良,0:1:48.0,1.3,12-12-12-10,38.8,442,ミリオンアップ
202602010102,2026/06/13,函館,雨,02,3歳未勝利,未勝利,14,8,14,241.2,14,8,古川吉洋,55,ダート,1700,稍重,0:1:46.9,1.5,14-14-10-10,38.9,444,ビーチイン
202609020502,2026/04/11,阪神,晴,02,3歳未勝利,未勝利,16,8,15,272.5,15,11,西塚洸二,55,ダート,1400,重,0:1:25.9,2.7,15-15,38.2,442,ゼロヴィジビリティ
202609010201,2026/02/22,阪神,晴,01,3歳未勝利,未勝利,10,1,1,31.4,6,7,松若風馬,55,ダート,1800,良,0:1:57.6,2.7,7-7-4-5,40.2,440,アーネストアイズ
202608020303,2026/02/07,京都,曇,03,3歳未勝利,未勝利,14,3,4,35.6,8,14,西村淳也,55,ダート,1400,良,0:1:29.0,3.0,14-14,38.1,436,フリッシュ
202608010903,2026/01/25,京都,晴,03,3歳未勝利,未勝利,12,6,7,6.3,3,8,西村淳也,55,ダート,1400,良,0:1:27.7,1.4,7-7,38.5,438,ハンザキ
202509050804,2025/12/28,阪神,晴,04,2歳新馬,新馬,16,3,6,82.9,12,3,和田竜二,55,ダート,1400,良,0:1:27.8,0.6,12-11,38.2,446,ソルオーブ
