クラス,血統,1着,2着,3着,着外
all,ディープインパクト,1,0,2,0
all,カレンブラックヒル,1,0,0,0
all,トビーズコーナー,1,0,0,0
all,カネヒキリ,0,1,0,0
all,スクリーンヒーロー,0,1,0,0
all,トランセンド,0,1,0,0
all,ノヴェリスト,0,0,1,1
all,No Nay Never,0,0,0,1
all,アイルハヴアナザー,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,カジノドライヴ,0,0,0,1
all,キズナ,0,0,0,2
all,キングカメハメハ,0,0,0,2
all,サウスヴィグラス,0,0,0,1
all,シニスターミニスター,0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,スマートファルコン,0,0,0,1
all,タートルボウル,0,0,0,2
all,ダンスインザダーク,0,0,0,1
all,トゥザグローリー,0,0,0,1
all,ハーツクライ,0,0,0,1
all,ハービンジャー,0,0,0,1
all,パイロ,0,0,0,1
all,フェノーメノ,0,0,0,1
all,ヘニーヒューズ,0,0,0,3
all,ベルシャザール,0,0,0,1
all,ルーラーシップ,0,0,0,3
all,ワークフォース,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴァーミリアン,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
3勝クラス,トビーズコーナー,1,0,0,0
3勝クラス,カネヒキリ,0,1,0,0
3勝クラス,ディープインパクト,0,0,1,0
3勝クラス,No Nay Never,0,0,0,1
3勝クラス,カジノドライヴ,0,0,0,1
3勝クラス,キングカメハメハ,0,0,0,1
3勝クラス,サウスヴィグラス,0,0,0,1
3勝クラス,シンボリクリスエス,0,0,0,1
3勝クラス,ダンスインザダーク,0,0,0,1
3勝クラス,トゥザグローリー,0,0,0,1
3勝クラス,ヘニーヒューズ,0,0,0,2
3勝クラス,ルーラーシップ,0,0,0,1
3勝クラス,ヴァーミリアン,0,0,0,0
未勝利,ディープインパクト,1,0,1,0
未勝利,カレンブラックヒル,1,0,0,0
未勝利,スクリーンヒーロー,0,1,0,0
未勝利,トランセンド,0,1,0,0
未勝利,ノヴェリスト,0,0,1,1
未勝利,アイルハヴアナザー,0,0,0,1
未勝利,オルフェーヴル,0,0,0,1
未勝利,キズナ,0,0,0,2
未勝利,キングカメハメハ,0,0,0,1
未勝利,シニスターミニスター,0,0,0,1
未勝利,スマートファルコン,0,0,0,1
未勝利,タートルボウル,0,0,0,2
未勝利,ハーツクライ,0,0,0,1
未勝利,ハービンジャー,0,0,0,1
未勝利,パイロ,0,0,0,1
未勝利,フェノーメノ,0,0,0,1
未勝利,ヘニーヒューズ,0,0,0,1
未勝利,ベルシャザール,0,0,0,1
未勝利,ルーラーシップ,0,0,0,2
未勝利,ワークフォース,0,0,0,1
未勝利,ワールドエース,0,0,0,1
未勝利,ヴァーミリアン,0,0,0,1
未勝利,ヴィクトワールピサ,0,0,0,1
