クラス,血統,1着,2着,3着,着外
all,ロードカナロア,6,2,1,17
all,キングカメハメハ,2,1,0,2
all,ダイワメジャー,2,0,0,10
all,Frankel,1,2,3,3
all,ジョーカプチーノ,1,2,1,6
all,キンシャサノキセキ,1,1,3,9
all,アドマイヤムーン,1,1,1,7
all,ブラックタイド,1,0,2,5
all,シルバーステート,1,0,1,1
all,I Am Invincible,1,0,0,0
all,Kingman,1,0,0,1
all,War Command,1,0,0,1
all,アンライバルド,1,0,0,4
all,イスラボニータ,1,0,0,4
all,カレンブラックヒル,1,0,0,4
all,キズナ,1,0,0,5
all,ゴールドシップ,1,0,0,0
all,ダノンシャーク,1,0,0,3
all,トーセンファントム,1,0,0,0
all,マツリダゴッホ,1,0,0,9
all,リーチザクラウン,1,0,0,6
all,ロゴタイプ,1,0,0,1
all,ドレフォン,0,2,2,1
all,ハーツクライ,0,2,2,8
all,ディープブリランテ,0,1,1,4
all,ミッキーアイル,0,1,1,7
all,モーリス,0,1,1,5
all,Exceed And Excel,0,1,0,0
all,Siyouni,0,1,0,0
all,エピファネイア,0,1,0,8
all,サトノアラジン,0,1,0,0
all,ディスクリートキャット,0,1,0,4
all,トゥザグローリー,0,1,0,3
all,トーセンラー,0,1,0,2
all,ベーカバド,0,1,0,4
all,ヨハネスブルグ,0,1,0,1
all,リアルインパクト,0,1,0,6
all,リオンディーズ,0,1,0,4
all,ヴァンキッシュラン,0,1,0,0
all,ヴィクトワールピサ,0,1,0,3
all,Magician,0,0,1,2
all,アメリカンペイトリオット,0,0,1,0
all,ケイムホーム,0,0,1,1
all,ゴスホークケン,0,0,1,0
all,サクラオリオン,0,0,1,1
all,ダンカーク,0,0,1,3
all,トゥザワールド,0,0,1,4
all,ヘニーヒューズ,0,0,1,6
all,ロジユニヴァース,0,0,1,0
all,ワールドエース,0,0,1,3
all,Belardo,0,0,0,1
all,Carpe Diem,0,0,0,1
all,Dawn Approach,0,0,0,1
all,Fastnet Rock,0,0,0,2
all,Ghostzapper,0,0,0,1
all,Into Mischief,0,0,0,1
all,Itsmyluckyday,0,0,0,1
all,Outstrip,0,0,0,1
all,Pioneerof the Nile,0,0,0,1
all,Speightstown,0,0,0,2
all,アイルハヴアナザー,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アジアエクスプレス,0,0,0,3
all,アルデバラン,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,6
all,エスポワールシチー,0,0,0,3
all,オルフェーヴル,0,0,0,7
all,カラヴァッジオ,0,0,0,1
all,カルストンライトオ,0,0,0,2
all,キングズベスト,0,0,0,1
all,クロフネ,0,0,0,1
all,コパノリチャード,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,シニスターミニスター,0,0,0,1
all,ジャスタウェイ,0,0,0,2
all,スクリーンヒーロー,0,0,0,8
all,ストロングリターン,0,0,0,5
all,ゼンノロブロイ,0,0,0,1
all,タイキシャトル,0,0,0,2
all,タイセイレジェンド,0,0,0,1
all,ダノンシャンティ,0,0,0,3
all,ディープインパクト,0,0,0,9
all,ディーマジェスティ,0,0,0,3
all,トーセンブライト,0,0,0,1
all,トーセンレーヴ,0,0,0,1
all,ドゥラメンテ,0,0,0,5
all,ドリームジャーニー,0,0,0,1
all,ネオユニヴァース,0,0,0,5
all,ノヴェリスト,0,0,0,2
all,ハービンジャー,0,0,0,7
all,バゴ,0,0,0,3
all,バトルプラン,0,0,0,3
all,ビッグアーサー,0,0,0,3
all,フェノーメノ,0,0,0,2
all,プリサイスエンド,0,0,0,1
all,マクフィ,0,0,0,2
all,ミュゼスルタン,0,0,0,1
all,メイショウサムソン,0,0,0,2
all,メイショウボーラー,0,0,0,2
all,ラブリーデイ,0,0,0,1
