クラス,血統,1着,2着,3着,着外
all,ドゥラメンテ,9,3,5,17
all,ディープインパクト,8,8,4,37
all,ハービンジャー,7,5,3,56
all,キズナ,6,2,4,26
all,エピファネイア,5,4,4,28
all,ロードカナロア,5,3,1,22
all,キングカメハメハ,5,2,0,16
all,ルーラーシップ,4,4,3,19
all,リオンディーズ,4,1,0,10
all,ハーツクライ,3,4,3,25
all,スワーヴリチャード,3,3,1,9
all,ヴィクトワールピサ,3,1,2,14
all,キタサンブラック,2,4,1,10
all,ゴールドシップ,2,3,4,22
all,ダノンバラード,2,2,5,12
all,ローズキングダム,2,2,0,1
all,オルフェーヴル,2,0,2,24
all,ブリックスアンドモルタル,2,0,2,3
all,デクラレーションオブウォー,2,0,0,5
all,スクリーンヒーロー,1,5,3,5
all,ジャスタウェイ,1,5,2,17
all,タートルボウル,1,4,0,3
all,クロフネ,1,2,0,6
all,Frankel,1,1,1,2
all,ステイゴールド,1,1,1,5
all,ダイワメジャー,1,1,1,10
all,ヴァンキッシュラン,1,1,1,2
all,ゴールドアクター,1,1,0,3
all,シスキン,1,1,0,0
all,ブラックタイド,1,1,0,14
all,アメリカンペイトリオット,1,0,2,0
all,ノヴェリスト,1,0,2,12
all,マジェスティックウォリアー,1,0,2,2
all,ウインブライト,1,0,1,1
all,サートゥルナーリア,1,0,1,3
all,ディープブリランテ,1,0,1,8
all,バゴ,1,0,1,9
all,ロージズインメイ,1,0,1,4
all,Dubawi,1,0,0,0
all,Into Mischief,1,0,0,0
all,Kingman,1,0,0,0
all,シンボリクリスエス,1,0,0,2
all,ジャングルポケット,1,0,0,2
all,トゥザワールド,1,0,0,3
all,ドレフォン,1,0,0,4
all,モーリス,0,5,5,22
all,ミッキーアイル,0,2,1,1
all,ビーチパトロール,0,1,2,5
all,Saxon Warrior,0,1,1,2
all,サトノアラジン,0,1,1,4
all,サトノクラウン,0,1,1,12
all,サングレーザー,0,1,1,1
all,ディーマジェスティ,0,1,1,1
all,レイデオロ,0,1,1,1
all,Curlin,0,1,0,1
all,エスケンデレヤ,0,1,0,5
all,カンパニー,0,1,0,0
all,キンシャサノキセキ,0,1,0,2
all,ケープブランコ,0,1,0,0
all,コントレイル,0,1,0,1
all,トーセンラー,0,1,0,5
all,ノーブルミッション,0,1,0,2
all,ファインニードル,0,1,0,1
all,マクフィ,0,1,0,4
all,リアルスティール,0,1,0,3
all,リーチザクラウン,0,1,0,5
all,ヴァンセンヌ,0,1,0,2
all,マンハッタンカフェ,0,0,3,3
all,エイシンフラッシュ,0,0,2,13
all,カレンブラックヒル,0,0,2,2
all,リアルインパクト,0,0,2,6
all,Authorized,0,0,1,0
all,Gleneagles,0,0,1,0
all,Mastercraftsman,0,0,1,1
all,Tapit,0,0,1,0
all,アイルハヴアナザー,0,0,1,5
all,アドマイヤムーン,0,0,1,5
all,イスラボニータ,0,0,1,2
all,カジノドライヴ,0,0,1,0
all,サトノダイヤモンド,0,0,1,11
all,シルバーステート,0,0,1,6
all,ジョーカプチーノ,0,0,1,2
all,ヘンリーバローズ,0,0,1,2
all,モズアスコット,0,0,1,0
all,ヤマカツエース,0,0,1,0
all,ローエングリン,0,0,1,2
all,American Pharoah,0,0,0,2
all,Archarcharch,0,0,0,1
all,Arrogate,0,0,0,1
all,Australia,0,0,0,4
all,English Channel,0,0,0,2
all,Golden Horn,0,0,0,1
all,Medaglia d'Oro,0,0,0,1
all,Nathaniel,0,0,0,2
all,No Nay Never,0,0,0,2
all,Ribchester,0,0,0,1
all,Shamardal,0,0,0,1
all,Uncle Mo,0,0,0,1
all,アサクサキングス,0,0,0,1
all,アスカクリチャン,0,0,0,2
all,アドミラブル,0,0,0,1
all,アニマルキングダム,0,0,0,1
all,アルアイン,0,0,0,4
all,アンライバルド,0,0,0,1
all,ウォータービルド,0,0,0,1
all,エイシンヒカリ,0,0,0,5
all,エスポワールシチー,0,0,0,1
all,エンパイアメーカー,0,0,0,1
all,オーシャンブルー,0,0,0,2
all,カリフォルニアクローム,0,0,0,6
all,ガルボ,0,0,0,2
all,キセキ,0,0,0,1
all,キングズベスト,0,0,0,1
all,グラスワンダー,0,0,0,2
all,グレーターロンドン,0,0,0,3
all,コンデュイット,0,0,0,1
all,ゴールドアリュール,0,0,0,2
all,ゴールドヘイロー,0,0,0,1
all,サクラオールイン,0,0,0,1
all,サクラプレジデント,0,0,0,1
all,サムライハート,0,0,0,1
all,サンダースノー,0,0,0,7
all,シゲルカガ,0,0,0,1
all,シビルウォー,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,スズカコーズウェイ,0,0,0,1
all,スズカマンボ,0,0,0,1
all,ストリートセンス,0,0,0,1
all,ストロングリターン,0,0,0,4
all,スピルバーグ,0,0,0,3
all,ゼンノロブロイ,0,0,0,1
all,タイキシャトル,0,0,0,1
all,タリスマニック,0,0,0,4
all,ダノンシャンティ,0,0,0,1
all,ダノンスマッシュ,0,0,0,1
all,ダンカーク,0,0,0,2
all,ディープスカイ,0,0,0,1
all,トゥザグローリー,0,0,0,1
all,トーセンレーヴ,0,0,0,3
all,ドリームジャーニー,0,0,0,1
all,ドリームバレンチノ,0,0,0,1
all,ナカヤマフェスタ,0,0,0,3
all,ナダル,0,0,0,1
all,ニューイヤーズデイ,0,0,0,1
all,ネオユニヴァース,0,0,0,3
all,パドトロワ,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,フィエールマン,0,0,0,4
all,フェノーメノ,0,0,0,6
all,フリオーソ,0,0,0,1
all,ヘニーヒューズ,0,0,0,0
