クラス,血統,1着,2着,3着,着外
all,ハーツクライ,3,1,1,12
all,マクフィ,2,2,2,5
all,ルーラーシップ,2,2,2,16
all,マジェスティックウォリアー,2,2,1,10
all,クリエイター,2,2,0,5
all,ゴールドアリュール,2,1,0,7
all,ロードカナロア,2,0,1,10
all,カレンブラックヒル,2,0,0,6
all,スクリーンヒーロー,2,0,0,1
all,ネオユニヴァース,2,0,0,4
all,キンシャサノキセキ,1,2,1,7
all,ダイワメジャー,1,2,1,9
all,クロフネ,1,2,0,4
all,ヨハネスブルグ,1,2,0,2
all,ホッコータルマエ,1,1,2,13
all,オルフェーヴル,1,1,1,7
all,キングカメハメハ,1,1,1,8
all,オンファイア,1,1,0,1
all,リオンディーズ,1,1,0,8
all,ヘニーヒューズ,1,0,2,9
all,アスカクリチャン,1,0,1,1
all,エスポワールシチー,1,0,1,5
all,Free Eagle,1,0,0,0
all,エスケンデレヤ,1,0,0,2
all,キズナ,1,0,0,6
all,ドゥラメンテ,1,0,0,7
all,リアルインパクト,1,0,0,3
all,ロジユニヴァース,1,0,0,0
all,アイルハヴアナザー,0,2,1,1
all,アジアエクスプレス,0,2,1,7
all,タートルボウル,0,1,2,4
all,シニスターミニスター,0,1,1,9
all,ベルシャザール,0,1,1,3
all,メイショウボーラー,0,1,1,1
all,ラブリーデイ,0,1,1,4
all,Golden Horn,0,1,0,0
all,Zoffany,0,1,0,0
all,エイシンフラッシュ,0,1,0,10
all,ダノンシャーク,0,1,0,3
all,トゥザワールド,0,1,0,3
all,ロージズインメイ,0,1,0,1
all,ローズキングダム,0,1,0,2
all,ディープブリランテ,0,0,3,3
all,Temple City,0,0,1,2
all,アドマイヤムーン,0,0,1,1
all,シンボリクリスエス,0,0,1,1
all,ジャスタウェイ,0,0,1,7
all,ダノンバラード,0,0,1,0
all,ダノンレジェンド,0,0,1,3
all,ディープインパクト,0,0,1,10
all,ノボジャック,0,0,1,1
all,メイショウサムソン,0,0,1,3
all,ワールドエース,0,0,1,3
all,ヴィクトワールピサ,0,0,1,5
all,Air Force Blue,0,0,0,1
all,American Pharoah,0,0,0,2
all,Arrogate,0,0,0,1
all,Fort Larned,0,0,0,1
all,Giant's Causeway,0,0,0,1
all,Into Mischief,0,0,0,1
all,Kingman,0,0,0,1
all,New Bay,0,0,0,2
all,Quality Road,0,0,0,1
all,Super Saver,0,0,0,1
all,Tapit,0,0,0,1
all,Uncle Mo,0,0,0,2
all,アグネスデジタル,0,0,0,1
all,アドマイヤマックス,0,0,0,1
all,アポロキングダム,0,0,0,1
all,アンライバルド,0,0,0,1
all,エピファネイア,0,0,0,4
all,オーシャンブルー,0,0,0,2
all,カジノドライヴ,0,0,0,2
all,カネヒキリ,0,0,0,2
all,グランプリボス,0,0,0,1
all,ケイムホーム,0,0,0,2
all,コパノリッキー,0,0,0,1
all,ゴールドシップ,0,0,0,3
all,ゴールドヘイロー,0,0,0,3
all,サウスヴィグラス,0,0,0,5
all,ザサンデーフサイチ,0,0,0,1
all,ザファクター,0,0,0,1
all,シルバーチャーム,0,0,0,2
all,ジョーカプチーノ,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,ストリートセンス,0,0,0,1
all,ストロングリターン,0,0,0,3
all,ストーミングホーム,0,0,0,1
all,スニッツェル,0,0,0,1
all,スピルバーグ,0,0,0,1
all,スペシャルウィーク,0,0,0,1
all,スマートファルコン,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,タイキシャトル,0,0,0,1
all,タイムパラドックス,0,0,0,2
all,タガノロックオン,0,0,0,2
all,タニノギムレット,0,0,0,1
all,ダンカーク,0,0,0,1
all,ディスクリートキャット,0,0,0,3
all,ディープスカイ,0,0,0,2
all,トゥザグローリー,0,0,0,3
all,トビーズコーナー,0,0,0,1
all,トランセンド,0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,トーセンホマレボシ,0,0,0,2
all,ドレフォン,0,0,0,1
all,ナカヤマフェスタ,0,0,0,3
all,ノヴェリスト,0,0,0,5
all,ハイアーゲーム,0,0,0,1
all,ハードスパン,0,0,0,1
all,ハービンジャー,0,0,0,3
all,バゴ,0,0,0,2
all,バトルプラン,0,0,0,3
all,パイロ,0,0,0,5
all,フサイチセブン,0,0,0,1
all,フリオーソ,0,0,0,2
all,フレンチデピュティ,0,0,0,1
all,ブラックタイド,0,0,0,9
all,プリサイスエンド,0,0,0,4
all,ヘニーハウンド,0,0,0,1
all,ペルーサ,0,0,0,1
all,ホワイトマズル,0,0,0,1
all,マツリダゴッホ,0,0,0,3
all,マンハッタンカフェ,0,0,0,2
all,ミッキーアイル,0,0,0,1
all,モンテロッソ,0,0,0,1
all,モーリス,0,0,0,3
all,ワンダーアキュート,0,0,0,1
all,ヴァンセンヌ,0,0,0,2
all,ヴァーミリアン,0,0,0,1
all,ヴィットリオドーロ,0,0,0,1
1勝クラス,ネオユニヴァース,2,0,0,0
1勝クラス,オルフェーヴル,1,1,0,1
1勝クラス,アスカクリチャン,1,0,1,0
1勝クラス,エスケンデレヤ,1,0,0,0
1勝クラス,カレンブラックヒル,1,0,0,0
1勝クラス,キズナ,1,0,0,2
1勝クラス,ゴールドアリュール,1,0,0,5
1勝クラス,マジェスティックウォリアー,1,0,0,1
1勝クラス,リアルインパクト,1,0,0,2
1勝クラス,リオンディーズ,1,0,0,2
1勝クラス,マクフィ,0,1,2,2
1勝クラス,アジアエクスプレス,0,1,1,2
1勝クラス,タートルボウル,0,1,1,3
1勝クラス,ルーラーシップ,0,1,1,9
1勝クラス,Zoffany,0,1,0,0
1勝クラス,キンシャサノキセキ,0,1,0,3
1勝クラス,クリエイター,0,1,0,0
1勝クラス,クロフネ,0,1,0,3
1勝クラス,ダノンシャーク,0,1,0,1
1勝クラス,ローズキングダム,0,1,0,0
1勝クラス,ダイワメジャー,0,0,1,6
1勝クラス,ダノンレジェンド,0,0,1,1
1勝クラス,ディープインパクト,0,0,1,2
1勝クラス,ハーツクライ,0,0,1,2
1勝クラス,メイショウサムソン,0,0,1,1
1勝クラス,American Pharoah,0,0,0,1
1勝クラス,Uncle Mo,0,0,0,2
1勝クラス,アンライバルド,0,0,0,1
1勝クラス,エイシンフラッシュ,0,0,0,3
