クラス,血統,1着,2着,3着,着外
all,キズナ,2,1,1,1
all,ハーツクライ,1,0,1,2
all,ディープインパクト,1,0,0,3
all,マクフィ,1,0,0,0
all,オルフェーヴル,0,1,0,1
all,キンシャサノキセキ,0,1,0,0
all,ドゥラメンテ,0,1,0,3
all,レーヴミストラル,0,1,0,0
all,ゴールドシップ,0,0,1,4
all,シルバーステート,0,0,1,1
all,モンテロッソ,0,0,1,0
all,アメリカンペイトリオット,0,0,0,1
all,エイシンフラッシュ,0,0,0,2
all,エピファネイア,0,0,0,2
all,ガルボ,0,0,0,1
all,キタサンブラック,0,0,0,1
all,クリエイター,0,0,0,2
all,ケープブランコ,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,ストロングリターン,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,タリスマニック,0,0,0,1
all,タートルボウル,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ハービンジャー,0,0,0,1
all,ビーチパトロール,0,0,0,1
all,ブラックタイド,0,0,0,1
all,マインドユアビスケッツ,0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,モーリス,0,0,0,2
all,ヨハネスブルグ,0,0,0,1
all,リアルインパクト,0,0,0,1
all,ルーラーシップ,0,0,0,2
all,ローエングリン,0,0,0,1
all,ロードカナロア,0,0,0,2
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,ハーツクライ,1,0,0,1
1勝クラス,オルフェーヴル,0,1,0,0
1勝クラス,キズナ,0,0,1,0
1勝クラス,エイシンフラッシュ,0,0,0,1
1勝クラス,ガルボ,0,0,0,1
1勝クラス,ゴールドシップ,0,0,0,1
1勝クラス,シルバーステート,0,0,0,1
1勝クラス,ストロングリターン,0,0,0,1
1勝クラス,ディープインパクト,0,0,0,2
1勝クラス,ドゥラメンテ,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,1
1勝クラス,リアルインパクト,0,0,0,1
2勝クラス,キズナ,1,1,0,1
2勝クラス,ディープインパクト,1,0,0,1
2勝クラス,ドゥラメンテ,0,1,0,0
2勝クラス,ハーツクライ,0,0,1,1
2勝クラス,モンテロッソ,0,0,1,0
2勝クラス,エイシンフラッシュ,0,0,0,1
2勝クラス,オルフェーヴル,0,0,0,1
2勝クラス,クリエイター,0,0,0,1
2勝クラス,ゴールドシップ,0,0,0,2
2勝クラス,ジャスタウェイ,0,0,0,1
2勝クラス,タートルボウル,0,0,0,1
2勝クラス,ダイワメジャー,0,0,0,1
2勝クラス,マンハッタンカフェ,0,0,0,1
2勝クラス,モーリス,0,0,0,2
2勝クラス,ヨハネスブルグ,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,1
2勝クラス,ヴィクトワールピサ,0,0,0,1
未勝利,キズナ,1,0,0,0
未勝利,マクフィ,1,0,0,0
未勝利,キンシャサノキセキ,0,1,0,0
未勝利,レーヴミストラル,0,1,0,0
未勝利,ゴールドシップ,0,0,1,1
未勝利,シルバーステート,0,0,1,0
未勝利,アメリカンペイトリオット,0,0,0,1
未勝利,エピファネイア,0,0,0,2
未勝利,キタサンブラック,0,0,0,1
未勝利,クリエイター,0,0,0,1
未勝利,ケープブランコ,0,0,0,1
未勝利,ゼンノロブロイ,0,0,0,1
未勝利,タリスマニック,0,0,0,1
未勝利,ドゥラメンテ,0,0,0,2
未勝利,ハービンジャー,0,0,0,1
未勝利,ビーチパトロール,0,0,0,1
未勝利,マインドユアビスケッツ,0,0,0,1
未勝利,ルーラーシップ,0,0,0,1
未勝利,ローエングリン,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
