クラス,血統,1着,2着,3着,着外
all,ディスクリートキャット,1,0,0,0
all,リアルスティール,1,0,0,0
all,ビッグアーサー,0,1,0,0
all,モーニン,0,1,0,0
all,マジェスティックウォリアー,0,0,2,0
all,Lonhro,0,0,0,1
all,アドマイヤムーン,0,0,0,2
all,アポロケンタッキー,0,0,0,1
all,イスラボニータ,0,0,0,1
all,エスポワールシチー,0,0,0,1
all,キズナ,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,グランプリボス,0,0,0,1
all,コパノリッキー,0,0,0,2
all,サトノアラジン,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,リオンディーズ,0,0,0,1
all,ロゴタイプ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,リアルスティール,1,0,0,0
1勝クラス,ビッグアーサー,0,1,0,0
1勝クラス,マジェスティックウォリアー,0,0,1,0
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,アポロケンタッキー,0,0,0,1
1勝クラス,エスポワールシチー,0,0,0,1
1勝クラス,キズナ,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,グランプリボス,0,0,0,1
1勝クラス,コパノリッキー,0,0,0,1
1勝クラス,ヴィクトワールピサ,0,0,0,1
未勝利,ディスクリートキャット,1,0,0,0
未勝利,モーニン,0,1,0,0
未勝利,マジェスティックウォリアー,0,0,1,0
未勝利,Lonhro,0,0,0,1
未勝利,アドマイヤムーン,0,0,0,1
未勝利,イスラボニータ,0,0,0,1
未勝利,コパノリッキー,0,0,0,1
未勝利,サトノアラジン,0,0,0,1
未勝利,シャンハイボビー,0,0,0,1
未勝利,ミッキーアイル,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,ロゴタイプ,0,0,0,1
