index,着順,race_type,course_len,ground_state,class,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
202602010101,1,芝,1200,稍重,未勝利,Sottsass,アルマダニヤー,Siyouni,Starlet's Sister,Awtaad,Indian Ink,Pivotal,Sichilla,Galileo,Premiere Creation,Cape Cross,Asheerah,Indian Ridge,Maid of Killeen,Polar Falcon,Fearless Revival,デインヒル,Slipstream Queen,Sadler's Wells,Urban Sea,Green Tune,Allwaki,Green Desert,Park Appeal,Shamardal,Adaala,Ahonoora,Hillbrow,Darshaan,Sovereign Touch,Nureyev,Marie d'Argonne,Cozzene,Stufida,Danzig,Razyana,Conquistador Cielo,Country Queen,Northern Dancer,Fairy Bridge,Miswaki,Allegretta,Green Dancer,Soundings,Miswaki,Alloy,Danzig,Foreign Courier,Ahonoora,Balidaress,Giant's Causeway,Helsinki,Sahm,Alshoowg,Lorenzaccio,Helen Nichols,Swing Easy,Golden City,Shirley Heights,Delsy,Pennine Walk,Sovereign Dona
202602010101,2,芝,1200,稍重,未勝利,シルバーステート,スマートレイチェル,ディープインパクト,シルヴァースカヤ,キングカメハメハ,ショウナンアクト,サンデーサイレンス,ウインドインハーヘア,Silver Hawk,Boubskaia,Kingmambo,マンファス,フレンチデピュティ,ゴールデンページ,Halo,Wishing Well,Alzao,Burghclere,Roberto,Gris Vitesse,Niniski,Frenetique,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Deputy Minister,Mitterand,サンデーサイレンス,ゴールデンリッカ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Hail to Reason,Bramalea,Amerigo,Matchiche,Nijinsky,Virginia Hills,Tyrant,Femina,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Halo,Wishing Well,ラッキーソブリン,グロリーウエイ
202602010101,3,芝,1200,稍重,未勝利,サートゥルナーリア,レーヌミノル,ロードカナロア,シーザリオ,ダイワメジャー,ダイワエンジェル,キングカメハメハ,レディブラッサム,スペシャルウィーク,キロフプリミエール,サンデーサイレンス,スカーレットブーケ,タイキシャトル,プリンセススキー,Kingmambo,マンファス,Storm Cat,サラトガデュー,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Devil's Bag,ウェルシュマフィン,ロイヤルスキー,ギフトプリンセス,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Halo,Ballade,Caerleon,Muffitys,Raja Baba,Coz o'Nijinsky,テスコボーイ,ヤマトタチバナ
202602010101,4,芝,1200,稍重,未勝利,シスキン,アクロアイト,First Defence,Bird Flown,ハーツクライ,ウィーミスフランキー,Unbridled's Song,Honest Lady,Oasis Dream,Silver Star,サンデーサイレンス,アイリッシュダンス,Sunriver,Starinthemeadow,Unbridled,Trolley Song,Seattle Slew,Toussaud,Green Desert,Hope,Zafonic,Monroe,Halo,Wishing Well,トニービン,ビューパーダンス,Saint Ballado,Goulash,Meadowlake,Lite a Star,Fappiano,Gana Facil,Caro,Lucky Spell,Bold Reasoning,My Charmer,El Gran Senor,Image of Reality,Danzig,Foreign Courier,ダンシングブレーヴ,Bahamian,Gone West,Zaizafon,Sir Ivor,Best in Show,Hail to Reason,Cosmah,Understanding,Mountain Flower,カンパラ,Severn Bridge,Lyphard,My Bupers,Halo,Ballade,Mari's Book,Wise Bride,Hold Your Peace,Suspicious Native,Our Michael,Twist a Star
202602010101,5,芝,1200,稍重,未勝利,サートゥルナーリア,ベルライン,ロードカナロア,シーザリオ,ダイワメジャー,カリズマティックゴールド,キングカメハメハ,レディブラッサム,スペシャルウィーク,キロフプリミエール,サンデーサイレンス,スカーレットブーケ,カリズマティック,Color of Gold,Kingmambo,マンファス,Storm Cat,サラトガデュー,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Summer Squall,Bali Babe,Seeking the Gold,Sulemeif,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Storm Bird,Weekend Surprise,Drone,Polynesian Charm,Mr. Prospector,Con Game,Northern Dancer,Barely Even
202602010101,6,芝,1200,稍重,未勝利,ジャスタウェイ,ヨドノグレイス,ハーツクライ,シビル,バゴ,ハナマル,サンデーサイレンス,アイリッシュダンス,Wild Again,シャロン,Nashwan,Moonlight's Box,アフリート,パーティプラザ,Halo,Wishing Well,トニービン,ビューパーダンス,Icecapade,Bushel-n-Peck,Mo Exception,Double Wiggle,Blushing Groom,Height of Fashion,Nureyev,Coup de Genie,Mr. Prospector,Polite Lady,トウショウボーイ,パーソネラ,Hail to Reason,Cosmah,Understanding,Mountain Flower,カンパラ,Severn Bridge,Lyphard,My Bupers,Nearctic,Shenanigans,Khaled,Dama,Hard Work,With Exception,Sir Wiggle,Blue Double,Red God,Runaway Bride,Bustino,Highclere,Northern Dancer,Special,Mr. Prospector,Coup de Folie,Raise a Native,Gold Digger,Venetian Jester,Friendly Ways,テスコボーイ,ソシアルバターフライ,パーソロン,シリネラ
202602010101,7,芝,1200,稍重,未勝利,ロゴタイプ,ハナイロコマチ,ローエングリン,ステレオタイプ,トビーズコーナー,フェアリースマイル,Singspiel,カーリング,サンデーサイレンス,スターバレリーナ,Bellamy Road,Brandon's Ride,ジャングルポケット,レモンバーム,In the Wings,Glorious Song,Garde Royale,Corraleja,Halo,Wishing Well,Risen Star,ベリアーニ,Concerto,Hurry Home Hillary,Mister Frisky,Mrs. Bumble,トニービン,ダンスチャーマー,フジキセキ,ラビットボール,Sadler's Wells,High Hawk,Halo,Ballade,Mill Reef,Royal Way,Carvin,Darling Dale,Hail to Reason,Cosmah,Understanding,Mountain Flower,Secretariat,Ribbon,Nureyev,Eleven Pleasures,Chief's Crown,Undeniably,Deputed Testamony,Ten Cents a Turn,Marsayas,Frisky Flyer,Restivo,Bumble,カンパラ,Severn Bridge,Nureyev,Skillful Joy,サンデーサイレンス,ミルレーサー,ラッキーソブリン,タニノベンチヤ
202602010101,8,芝,1200,稍重,未勝利,アドマイヤマーズ,サクレエクスプレス,ダイワメジャー,ヴィアメディチ,クロフネ,ビーポジティブ,サンデーサイレンス,スカーレットブーケ,Medicean,Via Milano,フレンチデピュティ,ブルーアヴェニュー,サンデーサイレンス,フェアリードール,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Machiavellian,Mystic Goddess,Singspiel,Salvinaxia,Deputy Minister,Mitterand,Classic Go Go,Eliza Blue,Halo,Wishing Well,Nureyev,Dream Deal,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Mr. Prospector,Coup de Folie,Storm Bird,Rose Goddess,In the Wings,Glorious Song,Linamix,Salve,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Pago Pago,Classic Perfection,Icecapade,コレラ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Special,Sharpen Up,Likely Exchange
202602010101,9,芝,1200,稍重,未勝利,ダノンプレミアム,シーソルティキッス,ディープインパクト,インディアナギャル,キングカメハメハ,ソルティビッド,サンデーサイレンス,ウインドインハーヘア,Intikhab,Genial Jenny,Kingmambo,マンファス,Salt Lake,Piper Piper,Halo,Wishing Well,Alzao,Burghclere,Red Ransom,Crafty Example,デインヒル,Joma Kaanem,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Deputy Minister,Take Lady Anne,Spectacular Bid,Alvarada,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Roberto,アラビア,Crafty Prospector,Zienelle,Danzig,Razyana,Double Form,Ash Lawn,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Vice Regent,Mint Copy,Queen City Lad,Lovita H.,Bold Bidder,Spectacular,Hard Work,Easterborn
202602010101,10,芝,1200,稍重,未勝利,シスキン,タイガーオーキッド,First Defence,Bird Flown,ディープインパクト,シーズアタイガー,Unbridled's Song,Honest Lady,Oasis Dream,Silver Star,サンデーサイレンス,ウインドインハーヘア,Tale of the Cat,Shandra Smiles,Unbridled,Trolley Song,Seattle Slew,Toussaud,Green Desert,Hope,Zafonic,Monroe,Halo,Wishing Well,Alzao,Burghclere,Storm Cat,Yarn,Cahill Road,Beyond the Storm,Fappiano,Gana Facil,Caro,Lucky Spell,Bold Reasoning,My Charmer,El Gran Senor,Image of Reality,Danzig,Foreign Courier,ダンシングブレーヴ,Bahamian,Gone West,Zaizafon,Sir Ivor,Best in Show,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Storm Bird,Terlingua,Mr. Prospector,Narrate,Fappiano,Gana Facil,Great Above,Brenda's Storm
