クラス,血統,1着,2着,3着,着外
all,モーリス,3,2,0,8
all,リオンディーズ,2,0,2,0
all,ミッキーアイル,2,0,1,11
all,ロードカナロア,2,0,1,7
all,フォーウィールドライブ,1,0,1,2
all,Into Mischief,1,0,0,0
all,アルアイン,1,0,0,2
all,スワーヴリチャード,1,0,0,3
all,タリスマニック,1,0,0,0
all,デクラレーションオブウォー,1,0,0,1
all,ノーブルミッション,1,0,0,2
all,ビッグアーサー,1,0,0,12
all,ロジユニヴァース,1,0,0,0
all,ダイワメジャー,0,3,2,4
all,シュヴァルグラン,0,2,0,2
all,ディスクリートキャット,0,2,0,1
all,トーセンレーヴ,0,1,1,0
all,ドゥラメンテ,0,1,1,0
all,Home Affairs,0,1,0,0
all,グァンチャーレ,0,1,0,0
all,グレーターロンドン,0,1,0,1
all,シスキン,0,1,0,0
all,ミスターメロディ,0,1,0,4
all,ミスチヴィアスアレックス,0,1,0,2
all,リアルスティール,0,1,0,1
all,カリフォルニアクローム,0,0,2,3
all,ダノンスマッシュ,0,0,2,8
all,ウインブライト,0,0,1,3
all,シニスターミニスター,0,0,1,0
all,シルバーステート,0,0,1,10
all,ダノンプレミアム,0,0,1,0
all,ドレフォン,0,0,1,4
all,ビーチパトロール,0,0,1,1
all,ルーラーシップ,0,0,1,1
all,Frankel,0,0,0,1
all,Invincible Spirit,0,0,0,1
all,Klimt,0,0,0,1
all,Leinster,0,0,0,1
all,Liam's Map,0,0,0,1
all,No Nay Never,0,0,0,1
all,Practical Joke,0,0,0,1
all,St Mark's Basilica,0,0,0,1
all,アドマイヤムーン,0,0,0,2
all,アニマルキングダム,0,0,0,1
all,アメリカンペイトリオット,0,0,0,4
all,イスラボニータ,0,0,0,4
all,インディチャンプ,0,0,0,3
all,ウォータービルド,0,0,0,1
all,エイシンフラッシュ,0,0,0,2
all,エピファネイア,0,0,0,2
all,エポカドーロ,0,0,0,2
all,オルフェーヴル,0,0,0,2
all,カレンブラックヒル,0,0,0,1
all,キズナ,0,0,0,1
all,キタサンブラック,0,0,0,5
all,キンシャサノキセキ,0,0,0,1
all,グランプリボス,0,0,0,1
all,グロリアスノア,0,0,0,1
all,ゴールドアクター,0,0,0,2
all,ゴールドドリーム,0,0,0,1
all,サトノアラジン,0,0,0,2
all,サトノクラウン,0,0,0,6
all,サトノダイヤモンド,0,0,0,2
all,サンダースノー,0,0,0,2
all,サートゥルナーリア,0,0,0,4
all,ジャスタウェイ,0,0,0,1
all,ストロングリターン,0,0,0,1
all,セイウンコウセイ,0,0,0,1
all,タニノフランケル,0,0,0,1
all,タワーオブロンドン,0,0,0,6
all,ダイシンサンダー,0,0,0,1
all,ダノンキングリー,0,0,0,1
all,ダノンバラード,0,0,0,2
all,ダンカーク,0,0,0,1
all,ディーマジェスティ,0,0,0,4
all,トビーズコーナー,0,0,0,1
all,ニューイヤーズデイ,0,0,0,2
all,ハッピースプリント,0,0,0,1
all,パドトロワ,0,0,0,1
all,ファインニードル,0,0,0,2
all,フィエールマン,0,0,0,5
all,フィレンツェファイア,0,0,0,1
all,ブリックスアンドモルタル,0,0,0,4
all,ベンバトル,0,0,0,3
all,ホークビル,0,0,0,1
all,ポエティックフレア,0,0,0,2
all,マインドユアビスケッツ,0,0,0,1
all,マクフィ,0,0,0,3
all,マツリダゴッホ,0,0,0,2
all,マテラスカイ,0,0,0,1
all,モズアスコット,0,0,0,5
all,ラブリーデイ,0,0,0,4
all,リアルインパクト,0,0,0,1
all,リーチザクラウン,0,0,0,1
