クラス,血統,1着,2着,3着,着外
all,ディープインパクト,5,4,5,13
all,エイシンフラッシュ,3,3,1,7
all,ルーラーシップ,3,2,4,14
all,キズナ,3,2,1,12
all,ゴールドシップ,3,2,0,3
all,ステイゴールド,3,2,0,10
all,キングカメハメハ,3,0,1,12
all,リアルインパクト,3,0,0,3
all,ハーツクライ,2,3,3,17
all,ブラックタイド,2,3,1,14
all,ロードカナロア,2,1,1,12
all,アイルハヴアナザー,2,1,0,6
all,メイショウサムソン,2,1,0,2
all,キンシャサノキセキ,2,0,0,10
all,シングンオペラ,2,0,0,1
all,バゴ,2,0,0,2
all,ベルシャザール,2,0,0,4
all,ミッキーアイル,1,2,0,0
all,ダイワメジャー,1,1,2,30
all,モンテロッソ,1,1,2,5
all,マーベラスサンデー,1,1,1,1
all,キングヘイロー,1,1,0,5
all,ゴールドアリュール,1,1,0,5
all,トゥザワールド,1,1,0,3
all,ドレフォン,1,1,0,1
all,マクフィ,1,1,0,2
all,ラブリーデイ,1,1,0,2
all,ゼンノロブロイ,1,0,2,9
all,Pioneerof the Nile,1,0,1,0
all,タリスマニック,1,0,1,0
all,フェノーメノ,1,0,1,4
all,ベーカバド,1,0,1,6
all,Munnings,1,0,0,1
all,アサクサキングス,1,0,0,3
all,アドマイヤマックス,1,0,0,1
all,カレンブラックヒル,1,0,0,3
all,ケイムホーム,1,0,0,4
all,サトノクラウン,1,0,0,1
all,サムライハート,1,0,0,2
all,トビーズコーナー,1,0,0,1
all,トランセンド,1,0,0,2
all,ドゥラメンテ,1,0,0,1
all,ハービンジャー,1,0,0,5
all,ファスリエフ,1,0,0,2
all,ヘニーヒューズ,1,0,0,1
all,リオンディーズ,1,0,0,1
all,ロジャーバローズ,1,0,0,1
all,ローレルゲレイロ,1,0,0,0
all,オルフェーヴル,0,3,4,5
all,リーチザクラウン,0,3,3,14
all,シンボリクリスエス,0,3,2,2
all,マンハッタンカフェ,0,3,1,7
all,コンデュイット,0,2,1,0
all,ロゴタイプ,0,2,1,3
