クラス,血統,1着,2着,3着,着外
all,キズナ,6,3,4,27
all,オルフェーヴル,5,8,3,30
all,アイルハヴアナザー,5,4,1,28
all,ヘニーヒューズ,4,6,1,16
all,ハーツクライ,4,2,2,26
all,ディープインパクト,4,0,3,15
all,ルーラーシップ,3,6,5,41
all,スクリーンヒーロー,3,4,3,11
all,ホッコータルマエ,3,4,3,22
all,ブラックタイド,3,1,1,12
all,モーリス,3,1,1,12
all,ジャスタウェイ,3,1,0,31
all,キングカメハメハ,3,0,1,17
all,キンシャサノキセキ,3,0,1,17
all,パイロ,2,4,5,27
all,ドゥラメンテ,2,3,2,17
all,マジェスティックウォリアー,2,2,2,17
all,リオンディーズ,2,2,2,20
all,ロージズインメイ,2,2,1,17
all,メイショウサムソン,2,2,0,13
all,ゴールドアリュール,2,1,2,17
all,ワールドエース,2,0,2,7
all,シンボリクリスエス,2,0,1,9
all,トーセンジョーダン,2,0,1,9
all,フリオーソ,2,0,0,17
all,マクフィ,2,0,0,12
all,リーチザクラウン,2,0,0,6
all,クロフネ,1,5,3,9
all,ヴィクトワールピサ,1,2,1,20
all,ダイワメジャー,1,2,0,15
all,ヴァンセンヌ,1,1,3,1
all,バトルプラン,1,1,2,7
all,シニスターミニスター,1,1,1,19
all,Golden Horn,1,1,0,0
all,Nyquist,1,1,0,0
all,アポロキングダム,1,1,0,1
all,カジノドライヴ,1,1,0,10
all,フェノーメノ,1,1,0,7
all,ミッキーアイル,1,1,0,1
all,ロードカナロア,1,0,4,31
all,トゥザワールド,1,0,3,6
all,トーセンホマレボシ,1,0,2,4
all,エイシンヒカリ,1,0,1,4
all,スピルバーグ,1,0,1,9
all,ディープブリランテ,1,0,1,6
all,トゥザグローリー,1,0,1,18
all,ベルシャザール,1,0,1,11
all,モンテロッソ,1,0,1,14
all,ラブリーデイ,1,0,1,7
all,American Pharoah,1,0,0,6
all,Curlin,1,0,0,1
all,エピファネイア,1,0,0,11
all,ステイゴールド,1,0,0,2
all,ドレフォン,1,0,0,2
all,ネオユニヴァース,1,0,0,9
all,マツリダゴッホ,1,0,0,7
all,ヨハネスブルグ,1,0,0,0
all,ワイルドワンダー,1,0,0,1
all,スウェプトオーヴァーボード,0,4,0,7
all,エイシンフラッシュ,0,2,3,16
all,カレンブラックヒル,0,2,2,2
all,メイショウボーラー,0,2,1,14
all,ゴールドシップ,0,2,0,16
all,サムライハート,0,2,0,4
all,トーセンブライト,0,2,0,4
all,トビーズコーナー,0,1,2,3
all,プリサイスエンド,0,1,2,7
all,Le Havre,0,1,1,1
all,Pioneerof the Nile,0,1,1,0
all,ストロングリターン,0,1,1,12
all,ダンカーク,0,1,1,14
all,Carpe Diem,0,1,0,0
all,アジアエクスプレス,0,1,0,10
all,ウィルテイクチャージ,0,1,0,1
all,エスポワールシチー,0,1,0,14
all,エンパイアメーカー,0,1,0,12
all,カネヒキリ,0,1,0,3
all,ジョーカプチーノ,0,1,0,6
all,スズカマンボ,0,1,0,0
all,ディスクリートキャット,0,1,0,6
all,ハービンジャー,0,1,0,14
all,バゴ,0,1,0,7
all,ストーミングホーム,0,0,3,0
all,タイムパラドックス,0,0,3,7
all,Distorted Humor,0,0,2,0
all,リアルインパクト,0,0,2,5
all,Air Force Blue,0,0,1,2
all,Candy Ride,0,0,1,0
all,Dawn Approach,0,0,1,1
all,アドマイヤムーン,0,0,1,3
all,エスケンデレヤ,0,0,1,18
all,キングズベスト,0,0,1,4
