クラス,血統,1着,2着,3着,着外
all,オルフェーヴル,3,5,1,19
all,キズナ,3,1,3,13
all,アイルハヴアナザー,3,0,1,12
all,ディープインパクト,3,0,1,8
all,ルーラーシップ,2,4,2,22
all,ホッコータルマエ,2,3,3,10
all,ドゥラメンテ,2,3,1,6
all,スクリーンヒーロー,2,2,2,5
all,ハーツクライ,2,2,1,11
all,ブラックタイド,2,1,1,6
all,マジェスティックウォリアー,2,1,0,10
all,メイショウサムソン,2,1,0,11
all,モーリス,2,1,0,7
all,パイロ,2,0,2,15
all,リオンディーズ,2,0,2,11
all,ワールドエース,2,0,2,3
all,キンシャサノキセキ,2,0,1,10
all,キングカメハメハ,2,0,0,9
all,ゴールドアリュール,2,0,0,9
all,フリオーソ,2,0,0,11
all,ヘニーヒューズ,1,4,1,9
all,クロフネ,1,3,1,3
all,カジノドライヴ,1,1,0,7
all,フェノーメノ,1,1,0,2
all,ミッキーアイル,1,1,0,1
all,ロードカナロア,1,0,4,24
all,シンボリクリスエス,1,0,1,6
all,トーセンジョーダン,1,0,1,6
all,トーセンホマレボシ,1,0,1,2
all,バトルプラン,1,0,1,4
all,American Pharoah,1,0,0,5
all,Curlin,1,0,0,1
all,ジャスタウェイ,1,0,0,19
all,スピルバーグ,1,0,0,6
all,トゥザグローリー,1,0,0,10
all,ネオユニヴァース,1,0,0,5
all,マクフィ,1,0,0,7
all,ラブリーデイ,1,0,0,4
all,リーチザクラウン,1,0,0,4
all,ワイルドワンダー,1,0,0,1
all,エイシンフラッシュ,0,2,2,11
all,カレンブラックヒル,0,2,1,1
all,ゴールドシップ,0,2,0,10
all,サムライハート,0,2,0,2
all,スウェプトオーヴァーボード,0,2,0,6
all,ダイワメジャー,0,2,0,14
all,Pioneerof the Nile,0,1,1,0
all,シニスターミニスター,0,1,1,13
all,トビーズコーナー,0,1,1,2
all,プリサイスエンド,0,1,1,3
all,メイショウボーラー,0,1,1,7
all,Golden Horn,0,1,0,0
all,Le Havre,0,1,0,1
all,アジアエクスプレス,0,1,0,2
all,エスポワールシチー,0,1,0,10
all,エンパイアメーカー,0,1,0,5
all,カネヒキリ,0,1,0,1
all,ジョーカプチーノ,0,1,0,4
all,スズカマンボ,0,1,0,0
all,ダンカーク,0,1,0,9
all,ハービンジャー,0,1,0,8
all,ヴァンセンヌ,0,1,0,0
all,ストーミングホーム,0,0,3,0
all,タイムパラドックス,0,0,3,3
all,トゥザワールド,0,0,2,1
all,リアルインパクト,0,0,2,2
all,Air Force Blue,0,0,1,0
all,Dawn Approach,0,0,1,0
all,Distorted Humor,0,0,1,0
all,アドマイヤムーン,0,0,1,2
all,エイシンヒカリ,0,0,1,3
all,エスケンデレヤ,0,0,1,9
all,ケープブランコ,0,0,1,4
all,タートルボウル,0,0,1,4
all,モンテロッソ,0,0,1,11
all,ロージズインメイ,0,0,1,13
all,ロードアルティマ,0,0,1,1
all,ヴィクトワールピサ,0,0,1,11
all,Dialed In,0,0,0,1
all,Frankel,0,0,0,1
all,Ghostzapper,0,0,0,1
all,Gun Runner,0,0,0,1
all,Iffraaj,0,0,0,3
all,Into Mischief,0,0,0,1
all,Kitten's Joy,0,0,0,1
all,Lope de Vega,0,0,0,1
all,Tapit,0,0,0,1
all,Temple City,0,0,0,1
all,Territories,0,0,0,1
all,Uncle Mo,0,0,0,2
all,Zoffany,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アサクサキングス,0,0,0,2
all,アポロキングダム,0,0,0,1
all,アロマカフェ,0,0,0,1
all,アンライバルド,0,0,0,2
all,アーネストリー,0,0,0,0
all,ウィルテイクチャージ,0,0,0,1
all,ウインバリアシオン,0,0,0,2
all,エピファネイア,0,0,0,8
all,オンファイア,0,0,0,1
all,オーシャンブルー,0,0,0,3
all,オールステイ,0,0,0,1
all,キングズベスト,0,0,0,3
all,クリエイター,0,0,0,8
all,グランプリボス,0,0,0,5
all,コパノリッキー,0,0,0,2
all,ゴスホークケン,0,0,0,1
all,ゴールドヘイロー,0,0,0,1
all,サウスヴィグラス,0,0,0,6
all,サクラプレジデント,0,0,0,2
all,ザサンデーフサイチ,0,0,0,3
all,シビルウォー,0,0,0,4
all,ジャングルポケット,0,0,0,4
all,スウィフトカレント,0,0,0,1
all,スズカコーズウェイ,0,0,0,2
all,ステイゴールド,0,0,0,1
all,ストロングリターン,0,0,0,7
all,スマートファルコン,0,0,0,5
all,ゼンノロブロイ,0,0,0,4
all,タニノギムレット,0,0,0,5
all,ダノンシャンティ,0,0,0,2
all,ダノンシャーク,0,0,0,1
all,ダノンレジェンド,0,0,0,1
all,ダブルスター,0,0,0,1
