クラス,血統,1着,2着,3着,着外
all,ディープインパクト,1,0,0,0
all,ブラックタイド,1,0,0,0
all,キズナ,0,1,0,0
all,ネオユニヴァース,0,1,0,0
all,マクフィ,0,0,1,0
all,ロードカナロア,0,0,1,1
all,アニマルキングダム,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エピファネイア,0,0,0,4
all,キングカメハメハ,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,ディスクリートキャット,0,0,0,1
all,ハービンジャー,0,0,0,1
all,バゴ,0,0,0,1
all,ビーチパトロール,0,0,0,1
all,レイデオロ,0,0,0,1
1勝クラス,ディープインパクト,1,0,0,0
1勝クラス,ネオユニヴァース,0,1,0,0
1勝クラス,ロードカナロア,0,0,1,1
1勝クラス,エイシンヒカリ,0,0,0,1
1勝クラス,エピファネイア,0,0,0,2
1勝クラス,キングカメハメハ,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,2
1勝クラス,ハービンジャー,0,0,0,1
1勝クラス,バゴ,0,0,0,1
未勝利,ブラックタイド,1,0,0,0
未勝利,キズナ,0,1,0,0
未勝利,マクフィ,0,0,1,0
未勝利,アニマルキングダム,0,0,0,1
未勝利,エピファネイア,0,0,0,2
未勝利,ディスクリートキャット,0,0,0,1
未勝利,ビーチパトロール,0,0,0,1
未勝利,レイデオロ,0,0,0,1
