クラス,血統,1着,2着,3着,着外
all,ロードカナロア,6,6,6,27
all,ノヴェリスト,5,3,0,12
all,ダイワメジャー,3,4,4,38
all,ハーツクライ,3,4,1,17
all,ディープインパクト,3,3,2,14
all,スクリーンヒーロー,3,3,1,12
all,キングズベスト,3,0,0,9
all,トーセンラー,3,0,0,8
all,マツリダゴッホ,2,2,1,24
all,ブラックタイド,2,2,0,8
all,ルーラーシップ,2,1,1,14
all,キンシャサノキセキ,2,0,3,20
all,Frankel,2,0,0,0
all,ストロングリターン,1,2,1,7
all,カレンブラックヒル,1,1,0,5
all,キズナ,1,1,0,7
all,ジャングルポケット,1,1,0,5
all,エイシンフラッシュ,1,0,3,15
all,エピファネイア,1,0,2,18
all,ミュゼスルタン,1,0,1,1
all,ローズキングダム,1,0,1,3
all,American Pharoah,1,0,0,1
all,Le Havre,1,0,0,1
all,Shamardal,1,0,0,3
all,ディスクリートキャット,1,0,0,5
all,トーセンファントム,1,0,0,2
all,トーセンホマレボシ,1,0,0,11
all,ドゥラメンテ,1,0,0,8
all,ドリームジャーニー,1,0,0,4
all,リアルインパクト,1,0,0,11
all,リーチザクラウン,1,0,0,7
all,オルフェーヴル,0,2,2,11
all,アイルハヴアナザー,0,2,1,6
all,ゴールドシップ,0,2,1,4
all,メイショウボーラー,0,2,0,12
all,ジャスタウェイ,0,1,3,6
all,ゴールドヘイロー,0,1,2,1
all,シンボリクリスエス,0,1,1,1
all,ハービンジャー,0,1,1,7
all,モンテロッソ,0,1,1,6
all,モーリス,0,1,1,3
all,ワールドエース,0,1,1,14
all,Dansili,0,1,0,1
all,ザファクター,0,1,0,1
all,ディープスカイ,0,1,0,3
all,ディープブリランテ,0,1,0,9
all,ネオユニヴァース,0,1,0,3
all,バトルプラン,0,1,0,5
all,ラブリーデイ,0,1,0,4
all,リオンディーズ,0,1,0,4
all,ロジユニヴァース,0,1,0,3
all,アドマイヤムーン,0,0,3,10
all,タートルボウル,0,0,2,11
all,ヴァンセンヌ,0,0,2,7
all,Free Eagle,0,0,1,0
all,Zoffany,0,0,1,0
all,クリーンエコロジー,0,0,1,1
all,スウェプトオーヴァーボード,0,0,1,6
all,ゼンノロブロイ,0,0,1,0
all,パイロ,0,0,1,5
all,ホッコータルマエ,0,0,1,4
all,ミッキーアイル,0,0,1,3
all,レッドスパーダ,0,0,1,6
all,ヴィクトワールピサ,0,0,1,9
all,Dark Angel,0,0,0,1
all,Dubawi,0,0,0,1
all,Emcee,0,0,0,1
all,Iffraaj,0,0,0,2
all,Kingman,0,0,0,2
all,Magician,0,0,0,2
all,New Approach,0,0,0,1
all,Raven's Pass,0,0,0,1
all,Shalaa,0,0,0,1
all,Speightstown,0,0,0,2
all,Violence,0,0,0,1
all,War Front,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アサクサキングス,0,0,0,1
all,アジアエクスプレス,0,0,0,2
all,アドマイヤジャパン,0,0,0,3
all,アドマイヤマックス,0,0,0,1
all,アポロキングダム,0,0,0,2
all,アルデバラン,0,0,0,2
all,アンライバルド,0,0,0,3
all,ウインバリアシオン,0,0,0,1
all,エイシンヒカリ,0,0,0,2
all,エキストラエンド,0,0,0,1
all,エスケンデレヤ,0,0,0,2
all,エスポワールシチー,0,0,0,5
all,エンパイアメーカー,0,0,0,5
all,カジノドライヴ,0,0,0,1
all,ガルボ,0,0,0,3
all,キングカメハメハ,0,0,0,4
all,キングヘイロー,0,0,0,6
all,クリストワイニング,0,0,0,1
all,クロフネ,0,0,0,6
all,グラスワンダー,0,0,0,2
all,グランプリボス,0,0,0,1
all,ケープブランコ,0,0,0,3
all,コパノリチャード,0,0,0,2
all,コンデュイット,0,0,0,2
all,サウスヴィグラス,0,0,0,1
all,サクラオリオン,0,0,0,1
all,サクラプレジデント,0,0,0,1
all,サンカルロ,0,0,0,1
all,ショウナンカンプ,0,0,0,1
all,ジョーカプチーノ,0,0,0,9
all,スズカフェニックス,0,0,0,2
all,ステイゴールド,0,0,0,3
all,スピルバーグ,0,0,0,1
all,スマートファルコン,0,0,0,1
all,タニノギムレット,0,0,0,2
all,ダノンシャンティ,0,0,0,7
all,ダノンシャーク,0,0,0,3
all,ダノンバラード,0,0,0,1
all,ダノンレジェンド,0,0,0,1
all,ダンカーク,0,0,0,7
all,トゥザグローリー,0,0,0,2
all,トゥザワールド,0,0,0,3
all,トランセンド,0,0,0,2
all,トーセンジョーダン,0,0,0,1
all,トーセンロレンス,0,0,0,2
all,ナカヤマフェスタ,0,0,0,1
all,ノボジャック,0,0,0,1
all,ノーザンリバー,0,0,0,1
all,バゴ,0,0,0,4
all,パドトロワ,0,0,0,1
all,ヒルノダムール,0,0,0,1
all,フィガロ,0,0,0,2
all,フェノーメノ,0,0,0,3
all,フサイチセブン,0,0,0,1
all,フサイチリシャール,0,0,0,1
all,フリオーソ,0,0,0,2
all,フレンチデピュティ,0,0,0,1
all,ブラックタキシード,0,0,0,2
all,ブリーズフレイバー,0,0,0,1
all,プリサイスエンド,0,0,0,3
all,ヘニーヒューズ,0,0,0,7
all,ベルシャザール,0,0,0,1
all,ベーカバド,0,0,0,5
all,ペルーサ,0,0,0,1
all,マクフィ,0,0,0,4
all,マコトスパルビエロ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,2
all,マヤノトップガン,0,0,0,1
all,マンハッタンカフェ,0,0,0,6
all,メイショウサムソン,0,0,0,2
all,ヨハネスブルグ,0,0,0,12
all,ローエングリン,0,0,0,3
all,ロージズインメイ,0,0,0,4
all,ロードアルティマ,0,0,0,1
all,ワークフォース,0,0,0,5
1勝クラス,ストロングリターン,1,1,1,2
1勝クラス,American Pharoah,1,0,0,0
1勝クラス,エイシンフラッシュ,1,0,0,2
1勝クラス,キングズベスト,1,0,0,2
1勝クラス,キンシャサノキセキ,1,0,0,6
1勝クラス,スクリーンヒーロー,1,0,0,1
1勝クラス,トーセンラー,1,0,0,1
1勝クラス,ノヴェリスト,1,0,0,4
1勝クラス,ハーツクライ,1,0,0,0
1勝クラス,ブラックタイド,1,0,0,2
1勝クラス,リーチザクラウン,1,0,0,0
1勝クラス,オルフェーヴル,0,2,0,2
1勝クラス,ゴールドヘイロー,0,1,2,0
1勝クラス,ダイワメジャー,0,1,2,7
1勝クラス,シンボリクリスエス,0,1,1,1
1勝クラス,カレンブラックヒル,0,1,0,2
1勝クラス,ジャスタウェイ,0,1,0,1
1勝クラス,モーリス,0,1,0,1
1勝クラス,ラブリーデイ,0,1,0,0
1勝クラス,ロードカナロア,0,1,0,8
1勝クラス,アドマイヤムーン,0,0,1,0
1勝クラス,ゼンノロブロイ,0,0,1,0
1勝クラス,タートルボウル,0,0,1,4
1勝クラス,パイロ,0,0,1,0
1勝クラス,ヴィクトワールピサ,0,0,1,3
1勝クラス,New Approach,0,0,0,1
1勝クラス,Shamardal,0,0,0,2
1勝クラス,Speightstown,0,0,0,1
1勝クラス,アサクサキングス,0,0,0,1
1勝クラス,アドマイヤジャパン,0,0,0,2
1勝クラス,アルデバラン,0,0,0,1
1勝クラス,エスポワールシチー,0,0,0,3
1勝クラス,エピファネイア,0,0,0,3
1勝クラス,カジノドライヴ,0,0,0,1
1勝クラス,キズナ,0,0,0,1
1勝クラス,キングカメハメハ,0,0,0,1
1勝クラス,キングヘイロー,0,0,0,2
1勝クラス,クロフネ,0,0,0,2
1勝クラス,ケープブランコ,0,0,0,1
1勝クラス,サウスヴィグラス,0,0,0,1
1勝クラス,サンカルロ,0,0,0,1
1勝クラス,ジョーカプチーノ,0,0,0,1
1勝クラス,スウェプトオーヴァーボード,0,0,0,1
1勝クラス,ステイゴールド,0,0,0,1
1勝クラス,ダノンシャンティ,0,0,0,2
1勝クラス,ダノンバラード,0,0,0,1
1勝クラス,ダンカーク,0,0,0,3
1勝クラス,ディープインパクト,0,0,0,3
1勝クラス,ディープスカイ,0,0,0,1
1勝クラス,ディープブリランテ,0,0,0,1
1勝クラス,トランセンド,0,0,0,1
1勝クラス,トーセンホマレボシ,0,0,0,1
1勝クラス,ドゥラメンテ,0,0,0,1
1勝クラス,ナカヤマフェスタ,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,3
1勝クラス,バトルプラン,0,0,0,2
1勝クラス,フィガロ,0,0,0,1
1勝クラス,フェノーメノ,0,0,0,1
1勝クラス,フレンチデピュティ,0,0,0,1
1勝クラス,ブラックタキシード,0,0,0,2
1勝クラス,プリサイスエンド,0,0,0,1
1勝クラス,ヘニーヒューズ,0,0,0,1
1勝クラス,ベルシャザール,0,0,0,1
1勝クラス,ベーカバド,0,0,0,3
1勝クラス,マジェスティックウォリアー,0,0,0,1
1勝クラス,マツリダゴッホ,0,0,0,2
1勝クラス,メイショウボーラー,0,0,0,1
1勝クラス,ヨハネスブルグ,0,0,0,3
1勝クラス,リアルインパクト,0,0,0,3
1勝クラス,リオンディーズ,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,2
1勝クラス,ローエングリン,0,0,0,1
1勝クラス,ロージズインメイ,0,0,0,1
1勝クラス,ワークフォース,0,0,0,1
1勝クラス,ワールドエース,0,0,0,5
1勝クラス,ヴァンセンヌ,0,0,0,1
2勝クラス,ノヴェリスト,3,2,0,2
2勝クラス,ルーラーシップ,2,1,0,2
2勝クラス,ロードカナロア,1,1,5,8
2勝クラス,スクリーンヒーロー,1,1,1,4
2勝クラス,ディープインパクト,1,1,1,4
2勝クラス,マツリダゴッホ,1,1,0,3
2勝クラス,Shamardal,1,0,0,0
2勝クラス,キングズベスト,1,0,0,1
2勝クラス,キンシャサノキセキ,1,0,0,6
2勝クラス,ハーツクライ,0,2,0,4
2勝クラス,ザファクター,0,1,0,0
2勝クラス,ディープブリランテ,0,1,0,1
2勝クラス,モンテロッソ,0,1,0,0
2勝クラス,エイシンフラッシュ,0,0,2,4
2勝クラス,ヴァンセンヌ,0,0,2,1
2勝クラス,ダイワメジャー,0,0,1,4
2勝クラス,Emcee,0,0,0,1
2勝クラス,Magician,0,0,0,2
2勝クラス,War Front,0,0,0,1
2勝クラス,アイルハヴアナザー,0,0,0,2
2勝クラス,アドマイヤジャパン,0,0,0,1
2勝クラス,アドマイヤムーン,0,0,0,1
2勝クラス,エピファネイア,0,0,0,1
