クラス,血統,1着,2着,3着,着外
all,ノヴェリスト,1,1,0,0
all,キズナ,1,0,0,0
all,キングヘイロー,1,0,0,0
all,シニスターミニスター,1,0,0,0
all,ネオユニヴァース,1,0,0,2
all,ファスリエフ,1,0,0,0
all,ルーラーシップ,1,0,0,0
all,ディープインパクト,0,2,0,2
all,オルフェーヴル,0,1,1,1
all,ジャスタウェイ,0,1,0,2
all,ダンカーク,0,1,0,1
all,ドリームジャーニー,0,1,0,1
all,トーセンジョーダン,0,0,2,0
all,フレンチデピュティ,0,0,2,1
all,トゥザグローリー,0,0,1,1
all,ブラックタイド,0,0,1,3
all,Oasis Dream,0,0,0,1
all,アジュディケーティング,0,0,0,1
all,アポロキングダム,0,0,0,2
all,アポロソニック,0,0,0,1
all,アメリカンボス,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エスポワールシチー,0,0,0,2
all,エピファネイア,0,0,0,2
all,エンパイアメーカー,0,0,0,2
all,オーシャンブルー,0,0,0,1
all,クロフネ,0,0,0,5
all,グランシュヴァリエ,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,1
all,スクリーンヒーロー,0,0,0,0
all,ステイゴールド,0,0,0,1
all,タイキシャトル,0,0,0,1
all,タイセイレジェンド,0,0,0,1
all,ダイワメジャー,0,0,0,4
all,トーセンホマレボシ,0,0,0,1
all,トーセンモナーク,0,0,0,1
all,トーセンラー,0,0,0,1
all,ハーツクライ,0,0,0,3
all,バゴ,0,0,0,1
all,プリサイスエンド,0,0,0,1
all,ベルシャザール,0,0,0,2
all,ベーカバド,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,メイショウサムソン,0,0,0,3
all,モンテロッソ,0,0,0,1
all,ヨハネスブルグ,0,0,0,1
all,ロードカナロア,0,0,0,1
all,ワークフォース,0,0,0,1
未勝利,ノヴェリスト,1,1,0,0
未勝利,キズナ,1,0,0,0
未勝利,キングヘイロー,1,0,0,0
未勝利,シニスターミニスター,1,0,0,0
未勝利,ネオユニヴァース,1,0,0,2
未勝利,ファスリエフ,1,0,0,0
未勝利,ルーラーシップ,1,0,0,0
未勝利,ディープインパクト,0,2,0,2
未勝利,オルフェーヴル,0,1,1,1
未勝利,ジャスタウェイ,0,1,0,2
未勝利,ダンカーク,0,1,0,1
未勝利,ドリームジャーニー,0,1,0,1
未勝利,トーセンジョーダン,0,0,2,0
未勝利,フレンチデピュティ,0,0,2,1
未勝利,トゥザグローリー,0,0,1,1
未勝利,ブラックタイド,0,0,1,3
未勝利,Oasis Dream,0,0,0,1
未勝利,アジュディケーティング,0,0,0,1
未勝利,アポロキングダム,0,0,0,2
未勝利,アポロソニック,0,0,0,1
未勝利,アメリカンボス,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,1
未勝利,エスポワールシチー,0,0,0,2
未勝利,エピファネイア,0,0,0,2
未勝利,エンパイアメーカー,0,0,0,2
未勝利,オーシャンブルー,0,0,0,1
未勝利,クロフネ,0,0,0,5
未勝利,グランシュヴァリエ,0,0,0,1
未勝利,スウェプトオーヴァーボード,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,0
未勝利,ステイゴールド,0,0,0,1
未勝利,タイキシャトル,0,0,0,1
未勝利,タイセイレジェンド,0,0,0,1
未勝利,ダイワメジャー,0,0,0,4
未勝利,トーセンホマレボシ,0,0,0,1
未勝利,トーセンモナーク,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ハーツクライ,0,0,0,3
未勝利,バゴ,0,0,0,1
未勝利,プリサイスエンド,0,0,0,1
未勝利,ベルシャザール,0,0,0,2
未勝利,ベーカバド,0,0,0,1
未勝利,マツリダゴッホ,0,0,0,1
未勝利,メイショウサムソン,0,0,0,3
未勝利,モンテロッソ,0,0,0,1
未勝利,ヨハネスブルグ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
未勝利,ワークフォース,0,0,0,1
