クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ,2,1,1,9
all,アジアエクスプレス,2,0,0,2
all,クリエイター,1,2,1,1
all,メイショウボーラー,1,1,1,4
all,アポロキングダム,1,0,0,3
all,ダノンレジェンド,1,0,0,5
all,ノボジャック,1,0,0,1
all,ハービンジャー,1,0,0,2
all,パイロ,1,0,0,3
all,ヘニーハウンド,1,0,0,0
all,ホッコータルマエ,1,0,0,10
all,マジェスティックウォリアー,1,0,0,2
all,ミッキーアイル,1,0,0,5
all,リーチザクラウン,1,0,0,0
all,ヴィクトワールピサ,1,0,0,1
all,ストロングリターン,0,2,0,4
all,リアルインパクト,0,2,0,1
all,キズナ,0,1,1,4
all,スウェプトオーヴァーボード,0,1,1,1
all,ブラックタイド,0,1,1,0
all,Dialed In,0,1,0,1
all,アイルハヴアナザー,0,1,0,0
all,ジャスタウェイ,0,1,0,1
all,ストーミングホーム,0,1,0,0
all,ドレフォン,0,1,0,2
all,プリサイスエンド,0,1,0,2
all,ディスクリートキャット,0,0,2,6
all,エスポワールシチー,0,0,1,3
all,ザファクター,0,0,1,2
all,ダイワメジャー,0,0,1,3
all,デクラレーションオブウォー,0,0,1,0
all,トーセンファントム,0,0,1,0
all,ノヴェリスト,0,0,1,0
all,フリオーソ,0,0,1,3
all,リオンディーズ,0,0,1,4
all,ロードカナロア,0,0,1,2
all,Carpe Diem,0,0,0,1
all,Distorted Humor,0,0,0,1
all,Into Mischief,0,0,0,1
all,Khozan,0,0,0,1
all,Mshawish,0,0,0,1
all,Overanalyze,0,0,0,1
all,アドマイヤムーン,0,0,0,5
all,アメリカンペイトリオット,0,0,0,1
all,アロマカフェ,0,0,0,1
all,イスラボニータ,0,0,0,3
all,ウインバリアシオン,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,6
all,エスケンデレヤ,0,0,0,1
all,エピファネイア,0,0,0,1
all,キンシャサノキセキ,0,0,0,6
all,クロフネ,0,0,0,1
all,グランデッツァ,0,0,0,1
all,グランプリボス,0,0,0,0
all,ケイムホーム,0,0,0,3
all,ケープブランコ,0,0,0,2
all,コパノリッキー,0,0,0,2
all,ゴールドアリュール,0,0,0,2
all,サウスヴィグラス,0,0,0,2
all,サトノアラジン,0,0,0,3
all,サトノクラウン,0,0,0,1
all,サンカルロ,0,0,0,1
all,シビルウォー,0,0,0,2
all,シャンハイボビー,0,0,0,1
all,シルバーステート,0,0,0,2
all,ジャングルポケット,0,0,0,1
all,ジョーカプチーノ,0,0,0,3
all,スクリーンヒーロー,0,0,0,2
all,スズカコーズウェイ,0,0,0,1
all,スピルバーグ,0,0,0,2
all,スペシャルウィーク,0,0,0,1
all,スマートファルコン,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,ダノンシャンティ,0,0,0,2
all,ディープブリランテ,0,0,0,4
all,トゥザグローリー,0,0,0,2
all,トゥザワールド,0,0,0,1
all,トウケイヘイロー,0,0,0,1
all,トビーズコーナー,0,0,0,1
all,トランセンド,0,0,0,1
all,ドゥラメンテ,0,0,0,4
all,ニシケンモノノフ,0,0,0,1
all,ネロ,0,0,0,1
