クラス,血統,1着,2着,3着,着外
all,エピファネイア,2,1,0,2
all,City Zip,1,0,0,0
all,Raven's Pass,1,0,0,0
all,ラブリーデイ,1,0,0,1
all,ロードカナロア,0,2,0,4
all,モーリス,0,1,0,1
all,リオンディーズ,0,1,0,1
all,ダイワメジャー,0,0,2,1
all,アドマイヤムーン,0,0,1,0
all,ゴールドシップ,0,0,1,1
all,マクフィ,0,0,1,0
all,American Pharoah,0,0,0,1
all,アスカクリチャン,0,0,0,1
all,イスラボニータ,0,0,0,2
all,ウインバリアシオン,0,0,0,1
all,エイシンヒカリ,0,0,0,2
all,オルフェーヴル,0,0,0,1
all,オーシャンブルー,0,0,0,1
all,カレンブラックヒル,0,0,0,1
all,キズナ,0,0,0,4
all,キタサンブラック,0,0,0,2
all,キングカメハメハ,0,0,0,1
all,ゴールドヘイロー,0,0,0,1
all,サトノアラジン,0,0,0,1
all,シルバーステート,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,ジュンツバサ,0,0,0,1
all,スウェプトオーヴァーボード,0,0,0,2
all,スクリーンヒーロー,0,0,0,3
all,ステイゴールド,0,0,0,1
all,スニッツェル,0,0,0,1
all,ダノンバラード,0,0,0,1
all,ダノンレジェンド,0,0,0,2
all,ディープインパクト,0,0,0,1
all,ディーマジェスティ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,トーセンラー,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ドレフォン,0,0,0,1
all,ノヴェリスト,0,0,0,2
all,バゴ,0,0,0,1
all,パドトロワ,0,0,0,1
all,ブラックタイド,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,リアルスティール,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,ロゴタイプ,0,0,0,2
all,ローエングリン,0,0,0,1
all,ヴァンセンヌ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,City Zip,1,0,0,0
1勝クラス,エピファネイア,1,0,0,0
1勝クラス,モーリス,0,1,0,1
1勝クラス,リオンディーズ,0,1,0,0
1勝クラス,アドマイヤムーン,0,0,1,0
1勝クラス,ダイワメジャー,0,0,1,0
1勝クラス,アスカクリチャン,0,0,0,1
1勝クラス,エイシンヒカリ,0,0,0,2
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,オーシャンブルー,0,0,0,1
1勝クラス,カレンブラックヒル,0,0,0,1
1勝クラス,キズナ,0,0,0,2
1勝クラス,キタサンブラック,0,0,0,1
1勝クラス,キングカメハメハ,0,0,0,1
1勝クラス,ゴールドヘイロー,0,0,0,1
1勝クラス,シルバーステート,0,0,0,1
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,スウェプトオーヴァーボード,0,0,0,1
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,ステイゴールド,0,0,0,1
1勝クラス,スニッツェル,0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,1
1勝クラス,ドレフォン,0,0,0,1
1勝クラス,ノヴェリスト,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,1
1勝クラス,ラブリーデイ,0,0,0,1
1勝クラス,ローエングリン,0,0,0,1
1勝クラス,ロードカナロア,0,0,0,4
2勝クラス,エピファネイア,1,0,0,1
2勝クラス,ロードカナロア,0,1,0,0
2勝クラス,マクフィ,0,0,1,0
2勝クラス,キズナ,0,0,0,1
2勝クラス,スウェプトオーヴァーボード,0,0,0,1
2勝クラス,ディープインパクト,0,0,0,1
2勝クラス,マツリダゴッホ,0,0,0,1
2勝クラス,ヴァンセンヌ,0,0,0,1
2勝クラス,ヴィクトワールピサ,0,0,0,1
未勝利,Raven's Pass,1,0,0,0
未勝利,ラブリーデイ,1,0,0,0
未勝利,エピファネイア,0,1,0,1
未勝利,ロードカナロア,0,1,0,0
未勝利,ゴールドシップ,0,0,1,1
未勝利,ダイワメジャー,0,0,1,1
未勝利,American Pharoah,0,0,0,1
未勝利,イスラボニータ,0,0,0,2
未勝利,ウインバリアシオン,0,0,0,1
未勝利,キズナ,0,0,0,1
未勝利,キタサンブラック,0,0,0,1
未勝利,サトノアラジン,0,0,0,1
未勝利,ジュンツバサ,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,2
未勝利,ダノンバラード,0,0,0,1
未勝利,ダノンレジェンド,0,0,0,1
未勝利,ディーマジェスティ,0,0,0,1
未勝利,デクラレーションオブウォー,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ドリームジャーニー,0,0,0,1
未勝利,ノヴェリスト,0,0,0,1
未勝利,バゴ,0,0,0,1
未勝利,パドトロワ,0,0,0,1
未勝利,ミッキーアイル,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,ルーラーシップ,0,0,0,1
未勝利,ロゴタイプ,0,0,0,2
