クラス,血統,1着,2着,3着,着外
all,キングカメハメハ,3,4,1,19
all,キズナ,3,1,4,13
all,サトノクラウン,3,1,2,3
all,ディープインパクト,2,2,0,10
all,ルーラーシップ,2,1,2,19
all,ドゥラメンテ,2,1,1,11
all,ゴールドアクター,2,1,0,0
all,ドレフォン,2,0,1,7
all,ダンカーク,2,0,0,5
all,ハーツクライ,1,3,2,16
all,キタサンブラック,1,2,2,9
all,デクラレーションオブウォー,1,2,1,5
all,ブラックタイド,1,2,0,11
all,フェノーメノ,1,1,2,1
all,エピファネイア,1,1,1,15
all,ジョーカプチーノ,1,1,1,1
all,エスケンデレヤ,1,1,0,5
all,シニスターミニスター,1,1,0,7
all,ヘニーヒューズ,1,0,1,7
all,Justify,1,0,0,2
all,スクリーンヒーロー,1,0,0,5
all,マクフィ,1,0,0,4
all,ミッキーロケット,1,0,0,3
all,リアルインパクト,1,0,0,4
all,ロードカナロア,1,0,0,10
all,ヴァンセンヌ,1,0,0,3
all,パイロ,0,3,0,9
all,Arrogate,0,2,1,2
all,イスラボニータ,0,2,1,3
all,モーリス,0,1,2,3
all,ホッコータルマエ,0,1,1,20
all,カレンブラックヒル,0,1,0,6
all,ジャスタウェイ,0,1,0,20
all,レッドファルクス,0,1,0,0
all,ロゴタイプ,0,1,0,1
all,Mendelssohn,0,0,2,2
all,コパノリッキー,0,0,2,2
all,ダノンバラード,0,0,2,3
all,エスポワールシチー,0,0,1,0
all,オルフェーヴル,0,0,1,6
all,オールステイ,0,0,1,2
all,ケープブランコ,0,0,1,3
all,スピルバーグ,0,0,1,1
all,リーチザクラウン,0,0,1,2
all,American Pharoah,0,0,0,1
all,Classic Empire,0,0,0,1
all,Kitten's Joy,0,0,0,2
all,Malibu Moon,0,0,0,1
all,Tapit,0,0,0,2
all,Union Rags,0,0,0,1
all,アイルハヴアナザー,0,0,0,2
all,アジアエクスプレス,0,0,0,1
all,アメリカンペイトリオット,0,0,0,5
all,エイシンフラッシュ,0,0,0,5
all,オンファイア,0,0,0,1
all,カジノドライヴ,0,0,0,1
all,カリズマティック,0,0,0,1
all,カリフォルニアクローム,0,0,0,1
all,ガルボ,0,0,0,1
all,キモンノカシワ,0,0,0,1
all,キョウエイギア,0,0,0,1
all,キングヘイロー,0,0,0,3
all,キンシャサノキセキ,0,0,0,2
all,クリエイター,0,0,0,5
all,クロフネ,0,0,0,1
all,グレーターロンドン,0,0,0,1
all,ゴールドアリュール,0,0,0,4
all,ゴールドシップ,0,0,0,2
all,サトノアラジン,0,0,0,1
all,サトノダイヤモンド,0,0,0,3
all,ザファクター,0,0,0,1
all,シビルウォー,0,0,0,1
all,シャンハイボビー,0,0,0,2
all,シルバーステート,0,0,0,5
all,シンボリクリスエス,0,0,0,1
all,ストロングリターン,0,0,0,1
all,タイムパラドックス,0,0,0,1
