クラス,血統,1着,2着,3着,着外
all,ディープインパクト,8,5,0,17
all,ロードカナロア,3,2,4,22
all,エピファネイア,3,2,3,20
all,ハーツクライ,3,1,0,14
all,イスラボニータ,2,3,0,6
all,キズナ,2,2,1,12
all,ダイワメジャー,2,1,6,19
all,リアルインパクト,2,0,1,5
all,リオンディーズ,1,4,0,11
all,エイシンフラッシュ,1,2,2,9
all,スクリーンヒーロー,1,2,0,18
all,マツリダゴッホ,1,2,0,8
all,ドゥラメンテ,1,1,4,16
all,ローエングリン,1,1,1,9
all,ディーマジェスティ,1,1,0,0
all,トーセンラー,1,1,0,6
all,ドレフォン,1,1,0,6
all,シルバーステート,1,0,1,4
all,ジョーカプチーノ,1,0,1,9
all,トゥザグローリー,1,0,1,3
all,Dark Angel,1,0,0,1
all,Havana Gold,1,0,0,0
all,Nathaniel,1,0,0,0
all,オルフェーヴル,1,0,0,7
all,カレンブラックヒル,1,0,0,5
all,キタサンブラック,1,0,0,2
all,ディープブリランテ,1,0,0,9
all,トーセンホマレボシ,1,0,0,2
all,バゴ,1,0,0,0
all,ベーカバド,1,0,0,2
all,ルーラーシップ,0,4,1,17
all,ハービンジャー,0,2,1,14
all,ノヴェリスト,0,1,2,3
all,ゴールドシップ,0,1,1,7
all,ディスクリートキャット,0,1,1,2
all,リーチザクラウン,0,1,1,6
all,スピルバーグ,0,1,0,5
all,タニノギムレット,0,1,0,3
all,ブラックタイド,0,1,0,7
all,マクフィ,0,1,0,5
all,ヨハネスブルグ,0,1,0,3
all,ローズキングダム,0,1,0,1
all,エイシンヒカリ,0,0,3,3
all,キングカメハメハ,0,0,2,9
all,Frankel,0,0,1,0
all,Lonhro,0,0,1,0
all,Smart Missile,0,0,1,1
all,オウケンブルースリ,0,0,1,0
all,キンシャサノキセキ,0,0,1,14
all,ジャスタウェイ,0,0,1,5
all,プリサイスエンド,0,0,1,3
all,ミッキーアイル,0,0,1,2
all,モーリス,0,0,1,15
