クラス,血統,1着,2着,3着,着外
all,ドゥラメンテ,2,1,0,0
all,ディープインパクト,1,1,0,5
all,エピファネイア,1,0,1,2
all,エイシンフラッシュ,1,0,0,2
all,ハーツクライ,1,0,0,4
all,ロードカナロア,1,0,0,2
all,オルフェーヴル,0,1,0,5
all,ディープブリランテ,0,1,0,1
all,ディーマジェスティ,0,1,0,0
all,ラブリーデイ,0,1,0,0
all,ワールドエース,0,1,0,1
all,バゴ,0,0,2,1
all,Teofilo,0,0,1,0
all,キングカメハメハ,0,0,1,1
all,ドレフォン,0,0,1,0
all,ブラックタイド,0,0,1,2
all,アドマイヤムーン,0,0,0,1
all,イスラボニータ,0,0,0,1
all,オーシャンブルー,0,0,0,1
all,カレンブラックヒル,0,0,0,1
all,キズナ,0,0,0,1
all,グラスワンダー,0,0,0,2
all,ケープブランコ,0,0,0,1
all,コパノリッキー,0,0,0,1
all,ゴールドシップ,0,0,0,7
all,サトノアラジン,0,0,0,1
all,ザファクター,0,0,0,1
all,シルバーステート,0,0,0,2
all,ジャスタウェイ,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ストロングリターン,0,0,0,1
all,スピルバーグ,0,0,0,1
all,ダノンシャーク,0,0,0,1
all,トーセンラー,0,0,0,1
all,ネオユニヴァース,0,0,0,2
all,ハービンジャー,0,0,0,2
all,フェノーメノ,0,0,0,1
all,ベーカバド,0,0,0,1
all,マクフィ,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,モンテロッソ,0,0,0,2
all,モーリス,0,0,0,1
all,ラニ,0,0,0,1
all,ルーラーシップ,0,0,0,2
all,ロゴタイプ,0,0,0,1
all,ロジユニヴァース,0,0,0,1
all,ローエングリン,0,0,0,1
all,ワンアンドオンリー,0,0,0,1
all,ヴァンセンヌ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
2勝クラス,ディープインパクト,1,1,0,1
2勝クラス,ロードカナロア,1,0,0,1
2勝クラス,オルフェーヴル,0,1,0,1
2勝クラス,エピファネイア,0,0,1,0
2勝クラス,バゴ,0,0,1,0
2勝クラス,グラスワンダー,0,0,0,1
2勝クラス,ストロングリターン,0,0,0,1
2勝クラス,ネオユニヴァース,0,0,0,2
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,マンハッタンカフェ,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,ロジユニヴァース,0,0,0,1
2勝クラス,ローエングリン,0,0,0,1
2勝クラス,ヴァンセンヌ,0,0,0,1
オープン,エピファネイア,1,0,0,1
オープン,ドゥラメンテ,0,1,0,0
オープン,バゴ,0,0,1,0
オープン,オルフェーヴル,0,0,0,1
オープン,ゴールドシップ,0,0,0,1
オープン,ジャスタウェイ,0,0,0,1
オープン,ディープインパクト,0,0,0,4
オープン,ハーツクライ,0,0,0,3
オープン,ロードカナロア,0,0,0,1
オープン,ヴィクトワールピサ,0,0,0,1
新馬,ドゥラメンテ,1,0,0,0
新馬,ラブリーデイ,0,1,0,0
新馬,キングカメハメハ,0,0,1,1
新馬,アドマイヤムーン,0,0,0,1
新馬,オルフェーヴル,0,0,0,1
新馬,キズナ,0,0,0,1
新馬,グラスワンダー,0,0,0,1
新馬,ゴールドシップ,0,0,0,1
新馬,フェノーメノ,0,0,0,1
新馬,ラニ,0,0,0,1
新馬,ルーラーシップ,0,0,0,1
新馬,ワールドエース,0,0,0,1
未勝利,エイシンフラッシュ,1,0,0,2
未勝利,ドゥラメンテ,1,0,0,0
未勝利,ハーツクライ,1,0,0,0
未勝利,ディープブリランテ,0,1,0,1
未勝利,ディーマジェスティ,0,1,0,0
未勝利,ワールドエース,0,1,0,0
未勝利,Teofilo,0,0,1,0
未勝利,ドレフォン,0,0,1,0
未勝利,ブラックタイド,0,0,1,2
未勝利,イスラボニータ,0,0,0,1
未勝利,エピファネイア,0,0,0,1
未勝利,オルフェーヴル,0,0,0,2
未勝利,オーシャンブルー,0,0,0,1
未勝利,カレンブラックヒル,0,0,0,1
未勝利,ケープブランコ,0,0,0,1
未勝利,コパノリッキー,0,0,0,1
未勝利,ゴールドシップ,0,0,0,5
未勝利,サトノアラジン,0,0,0,1
未勝利,ザファクター,0,0,0,1
未勝利,シルバーステート,0,0,0,2
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,ストロングリターン,0,0,0,0
未勝利,スピルバーグ,0,0,0,1
未勝利,ダノンシャーク,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ハービンジャー,0,0,0,2
未勝利,バゴ,0,0,0,1
未勝利,ベーカバド,0,0,0,1
未勝利,マクフィ,0,0,0,1
未勝利,マツリダゴッホ,0,0,0,1
未勝利,モンテロッソ,0,0,0,2
未勝利,モーリス,0,0,0,1
未勝利,ロゴタイプ,0,0,0,1
未勝利,ワンアンドオンリー,0,0,0,1
