クラス,血統,1着,2着,3着,着外
all,シルバーステート,1,0,1,0
all,イスラボニータ,1,0,0,0
all,サンライズノヴァ,1,0,0,0
all,サートゥルナーリア,1,0,0,1
all,ハービンジャー,0,1,0,1
all,ヘンリーバローズ,0,1,0,0
all,レイデオロ,0,1,0,1
all,ロードカナロア,0,1,0,1
all,アドマイヤマーズ,0,0,1,0
all,ダノンキングリー,0,0,1,0
all,ブリックスアンドモルタル,0,0,1,0
all,アルアイン,0,0,0,2
all,ウインブライト,0,0,0,1
all,エピファネイア,0,0,0,4
all,エフフォーリア,0,0,0,1
all,キズナ,0,0,0,1
all,クリエイター,0,0,0,1
all,コントレイル,0,0,0,1
all,ゴールドシップ,0,0,0,0
all,サトノクラウン,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ストロングリターン,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ダノンスマッシュ,0,0,0,4
all,ダノンバラード,0,0,0,1
all,ダノンプレミアム,0,0,0,1
all,トーセンレーヴ,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ベンバトル,0,0,0,1
all,ホットロッドチャーリー,0,0,0,1
all,マカヒキ,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,モズアスコット,0,0,0,1
all,モーリス,0,0,0,1
all,リアルインパクト,0,0,0,1
all,リオンディーズ,0,0,0,3
all,ワンアンドオンリー,0,0,0,1
2勝クラス,イスラボニータ,1,0,0,0
2勝クラス,レイデオロ,0,1,0,0
2勝クラス,ブリックスアンドモルタル,0,0,1,0
2勝クラス,エピファネイア,0,0,0,1
2勝クラス,キズナ,0,0,0,1
2勝クラス,クリエイター,0,0,0,1
2勝クラス,スクリーンヒーロー,0,0,0,1
2勝クラス,ストロングリターン,0,0,0,1
2勝クラス,ダイワメジャー,0,0,0,1
2勝クラス,ドゥラメンテ,0,0,0,1
2勝クラス,ハービンジャー,0,0,0,1
2勝クラス,モーリス,0,0,0,1
2勝クラス,リアルインパクト,0,0,0,1
2勝クラス,ワンアンドオンリー,0,0,0,1
新馬,シルバーステート,1,0,0,0
新馬,ロードカナロア,0,1,0,0
新馬,ダノンキングリー,0,0,1,0
新馬,アルアイン,0,0,0,1
新馬,エピファネイア,0,0,0,1
新馬,エフフォーリア,0,0,0,1
新馬,ジャスタウェイ,0,0,0,1
新馬,トーセンレーヴ,0,0,0,1
新馬,ホットロッドチャーリー,0,0,0,1
新馬,リオンディーズ,0,0,0,2
未勝利,サンライズノヴァ,1,0,0,0
未勝利,サートゥルナーリア,1,0,0,1
未勝利,ハービンジャー,0,1,0,0
未勝利,ヘンリーバローズ,0,1,0,0
未勝利,アドマイヤマーズ,0,0,1,0
未勝利,シルバーステート,0,0,1,0
未勝利,アルアイン,0,0,0,1
未勝利,ウインブライト,0,0,0,1
未勝利,エピファネイア,0,0,0,2
未勝利,コントレイル,0,0,0,1
未勝利,ゴールドシップ,0,0,0,0
未勝利,サトノクラウン,0,0,0,1
未勝利,ダノンスマッシュ,0,0,0,4
未勝利,ダノンバラード,0,0,0,1
未勝利,ダノンプレミアム,0,0,0,1
未勝利,ベンバトル,0,0,0,1
未勝利,マカヒキ,0,0,0,1
未勝利,ミッキーアイル,0,0,0,1
未勝利,モズアスコット,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,レイデオロ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
