クラス,血統,1着,2着,3着,着外
all,シニスターミニスター,1,1,0,1
all,Pivotal,1,0,0,0
all,ディープブリランテ,1,0,0,0
all,ハーツクライ,1,0,0,0
all,ベーカバド,1,0,0,1
all,タイキシャトル,0,1,1,3
all,エイシンアポロン,0,1,0,0
all,サウスヴィグラス,0,1,0,3
all,ショウナンカンプ,0,1,0,0
all,オルフェーヴル,0,0,1,0
all,スマートファルコン,0,0,1,0
all,ネオユニヴァース,0,0,1,1
all,ワークフォース,0,0,1,0
all,More Than Ready,0,0,0,1
all,Street Boss,0,0,0,1
all,Strong Mandate,0,0,0,1
all,エスポワールシチー,0,0,0,2
all,エンパイアメーカー,0,0,0,1
all,カジノドライヴ,0,0,0,1
all,キャプテントゥーレ,0,0,0,2
all,キングカメハメハ,0,0,0,1
all,キングズベスト,0,0,0,2
all,キンシャサノキセキ,0,0,0,1
all,クロフネ,0,0,0,3
all,グラスワンダー,0,0,0,1
all,グランプリボス,0,0,0,1
all,ケイムホーム,0,0,0,1
all,ケープブランコ,0,0,0,2
all,ゴールドアリュール,0,0,0,5
all,サマーバード,0,0,0,1
all,シンボリクリスエス,0,0,0,2
all,ジョーカプチーノ,0,0,0,1
all,スクリーンヒーロー,0,0,0,2
all,スクワートルスクワート,0,0,0,1
all,タートルボウル,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,トゥザグローリー,0,0,0,2
all,トランセンド,0,0,0,1
all,ノヴェリスト,0,0,0,2
all,ハードスパン,0,0,0,1
all,バンブーエール,0,0,0,1
all,パイロ,0,0,0,1
all,メイショウボーラー,0,0,0,3
all,ヤマニンセラフィム,0,0,0,1
all,ヨハネスブルグ,0,0,0,2
all,ロージズインメイ,0,0,0,1
all,ローズキングダム,0,0,0,1
all,ロードカナロア,0,0,0,3
1勝クラス,Pivotal,1,0,0,0
1勝クラス,ハーツクライ,1,0,0,0
1勝クラス,エイシンアポロン,0,1,0,0
1勝クラス,サウスヴィグラス,0,1,0,3
1勝クラス,タイキシャトル,0,0,1,1
1勝クラス,ネオユニヴァース,0,0,1,1
1勝クラス,More Than Ready,0,0,0,1
1勝クラス,Street Boss,0,0,0,1
1勝クラス,エスポワールシチー,0,0,0,1
1勝クラス,カジノドライヴ,0,0,0,1
1勝クラス,クロフネ,0,0,0,2
1勝クラス,ゴールドアリュール,0,0,0,2
1勝クラス,サマーバード,0,0,0,1
1勝クラス,シンボリクリスエス,0,0,0,1
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,1
1勝クラス,トゥザグローリー,0,0,0,2
1勝クラス,トランセンド,0,0,0,1
1勝クラス,ノヴェリスト,0,0,0,1
1勝クラス,ハードスパン,0,0,0,1
1勝クラス,メイショウボーラー,0,0,0,1
1勝クラス,ロージズインメイ,0,0,0,1
1勝クラス,ロードカナロア,0,0,0,1
未勝利,シニスターミニスター,1,1,0,1
未勝利,ディープブリランテ,1,0,0,0
未勝利,ベーカバド,1,0,0,1
未勝利,ショウナンカンプ,0,1,0,0
未勝利,タイキシャトル,0,1,0,2
未勝利,オルフェーヴル,0,0,1,0
未勝利,スマートファルコン,0,0,1,0
未勝利,ワークフォース,0,0,1,0
未勝利,Strong Mandate,0,0,0,1
未勝利,エスポワールシチー,0,0,0,1
未勝利,エンパイアメーカー,0,0,0,1
未勝利,キャプテントゥーレ,0,0,0,2
未勝利,キングカメハメハ,0,0,0,1
未勝利,キングズベスト,0,0,0,2
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,クロフネ,0,0,0,1
未勝利,グラスワンダー,0,0,0,1
未勝利,グランプリボス,0,0,0,1
未勝利,ケイムホーム,0,0,0,1
未勝利,ケープブランコ,0,0,0,2
未勝利,ゴールドアリュール,0,0,0,3
未勝利,シンボリクリスエス,0,0,0,1
未勝利,ジョーカプチーノ,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,スクワートルスクワート,0,0,0,1
未勝利,タートルボウル,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,ノヴェリスト,0,0,0,1
未勝利,バンブーエール,0,0,0,1
未勝利,パイロ,0,0,0,1
未勝利,メイショウボーラー,0,0,0,2
未勝利,ヤマニンセラフィム,0,0,0,1
未勝利,ヨハネスブルグ,0,0,0,2
未勝利,ローズキングダム,0,0,0,1
未勝利,ロードカナロア,0,0,0,2
