クラス,血統,1着,2着,3着,着外
all,ディープインパクト,1,1,0,3
all,イスラボニータ,1,0,0,3
all,モーリス,1,0,0,3
all,ルーラーシップ,1,0,0,1
all,ロードカナロア,1,0,0,0
all,デクラレーションオブウォー,0,1,0,0
all,ドゥラメンテ,0,1,0,1
all,ハーツクライ,0,1,0,2
all,ブラックタイド,0,1,0,0
all,アメリカンペイトリオット,0,0,1,0
all,グランプリボス,0,0,1,0
all,ジャスタウェイ,0,0,1,1
all,トーホウジャッカル,0,0,1,0
all,リオンディーズ,0,0,1,2
all,Dubawi,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,ウインバリアシオン,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,2
all,エピファネイア,0,0,0,4
all,オルフェーヴル,0,0,0,2
all,キングカメハメハ,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,サトノダイヤモンド,0,0,0,1
all,シルバーステート,0,0,0,2
all,スクリーンヒーロー,0,0,0,1
all,ダイワメジャー,0,0,0,3
all,ディスクリートキャット,0,0,0,1
all,ドレフォン,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,メイショウボーラー,0,0,0,1
all,リアルインパクト,0,0,0,1
all,リアルスティール,0,0,0,1
all,ローエングリン,0,0,0,1
all,ワールドエース,0,0,0,2
all,ヴァンセンヌ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,2
2勝クラス,イスラボニータ,1,0,0,0
2勝クラス,ハーツクライ,0,1,0,0
2勝クラス,トーホウジャッカル,0,0,1,0
2勝クラス,エイシンフラッシュ,0,0,0,1
2勝クラス,オルフェーヴル,0,0,0,1
2勝クラス,スクリーンヒーロー,0,0,0,1
2勝クラス,ディープインパクト,0,0,0,1
2勝クラス,メイショウボーラー,0,0,0,1
2勝クラス,ワールドエース,0,0,0,1
2勝クラス,ヴァンセンヌ,0,0,0,1
2勝クラス,ヴィクトワールピサ,0,0,0,1
3勝クラス,モーリス,1,0,0,0
3勝クラス,ディープインパクト,0,1,0,2
3勝クラス,リオンディーズ,0,0,1,1
3勝クラス,Dubawi,0,0,0,1
3勝クラス,エピファネイア,0,0,0,3
3勝クラス,キングカメハメハ,0,0,0,1
3勝クラス,ディスクリートキャット,0,0,0,1
3勝クラス,ドゥラメンテ,0,0,0,1
3勝クラス,ハーツクライ,0,0,0,1
3勝クラス,マジェスティックウォリアー,0,0,0,1
3勝クラス,リアルインパクト,0,0,0,1
新馬,ディープインパクト,1,0,0,0
新馬,ルーラーシップ,1,0,0,1
新馬,ロードカナロア,1,0,0,0
新馬,デクラレーションオブウォー,0,1,0,0
新馬,ドゥラメンテ,0,1,0,0
新馬,ブラックタイド,0,1,0,0
新馬,アメリカンペイトリオット,0,0,1,0
新馬,グランプリボス,0,0,1,0
新馬,ジャスタウェイ,0,0,1,1
新馬,アドマイヤムーン,0,0,0,1
新馬,イスラボニータ,0,0,0,3
新馬,ウインバリアシオン,0,0,0,1
新馬,エイシンヒカリ,0,0,0,1
新馬,エイシンフラッシュ,0,0,0,1
新馬,エピファネイア,0,0,0,1
新馬,オルフェーヴル,0,0,0,1
新馬,キンシャサノキセキ,0,0,0,1
新馬,サトノダイヤモンド,0,0,0,1
新馬,シルバーステート,0,0,0,2
新馬,ダイワメジャー,0,0,0,3
新馬,ドレフォン,0,0,0,1
新馬,ハーツクライ,0,0,0,1
新馬,モーリス,0,0,0,3
新馬,リアルスティール,0,0,0,1
新馬,リオンディーズ,0,0,0,1
新馬,ローエングリン,0,0,0,1
新馬,ワールドエース,0,0,0,1
新馬,ヴィクトワールピサ,0,0,0,1
