クラス,血統,1着,2着,3着,着外
all,ロードカナロア,2,0,0,4
all,オルフェーヴル,1,1,0,2
all,ディープインパクト,1,0,2,1
all,エピファネイア,1,0,0,0
all,ヴィクトワールピサ,1,0,0,1
all,エイシンフラッシュ,0,1,0,3
all,タニノギムレット,0,1,0,0
all,ブラックタイド,0,1,0,1
all,ワークフォース,0,1,0,2
all,ヴァンセンヌ,0,1,0,0
all,キズナ,0,0,1,0
all,ジャスタウェイ,0,0,1,6
all,ノヴェリスト,0,0,1,3
all,ハーツクライ,0,0,1,4
all,Invincible Spirit,0,0,0,1
all,Kitten's Joy,0,0,0,1
all,アイルハヴアナザー,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アスカクリチャン,0,0,0,1
all,アドマイヤムーン,0,0,0,2
all,キングカメハメハ,0,0,0,1
all,キングズベスト,0,0,0,1
all,キングヘイロー,0,0,0,2
all,キンシャサノキセキ,0,0,0,1
all,ケープブランコ,0,0,0,1
all,スクリーンヒーロー,0,0,0,2
all,タイキシャトル,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ダノンバラード,0,0,0,1
all,ディープスカイ,0,0,0,1
all,ディープブリランテ,0,0,0,3
all,トゥザワールド,0,0,0,1
all,トーセンホマレボシ,0,0,0,1
all,ドリームジャーニー,0,0,0,4
all,ハットトリック,0,0,0,1
all,ハービンジャー,0,0,0,3
all,ベルシャザール,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,メイショウボーラー,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,ワールドエース,0,0,0,1
1勝クラス,ヴィクトワールピサ,1,0,0,1
1勝クラス,エイシンフラッシュ,0,1,0,0
1勝クラス,ディープインパクト,0,0,1,1
1勝クラス,Invincible Spirit,0,0,0,1
1勝クラス,アグネスデジタル,0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,キングヘイロー,0,0,0,1
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,1
1勝クラス,ディープブリランテ,0,0,0,1
1勝クラス,トーセンホマレボシ,0,0,0,1
1勝クラス,ノヴェリスト,0,0,0,1
1勝クラス,ハットトリック,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,1
1勝クラス,ワークフォース,0,0,0,1
2勝クラス,ディープインパクト,1,0,1,0
2勝クラス,タニノギムレット,0,1,0,0
2勝クラス,Kitten's Joy,0,0,0,1
2勝クラス,エイシンフラッシュ,0,0,0,1
2勝クラス,ディープスカイ,0,0,0,1
2勝クラス,ディープブリランテ,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,ハービンジャー,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,3
2勝クラス,ワークフォース,0,0,0,1
新馬,オルフェーヴル,1,1,0,0
新馬,ノヴェリスト,0,0,1,1
新馬,アイルハヴアナザー,0,0,0,1
新馬,エイシンフラッシュ,0,0,0,2
新馬,キングヘイロー,0,0,0,1
新馬,ジャスタウェイ,0,0,0,1
新馬,ダノンバラード,0,0,0,1
新馬,ドリームジャーニー,0,0,0,2
新馬,ブラックタイド,0,0,0,1
新馬,マツリダゴッホ,0,0,0,1
新馬,メイショウボーラー,0,0,0,1
新馬,ロードカナロア,0,0,0,1
未勝利,ロードカナロア,2,0,0,0
未勝利,エピファネイア,1,0,0,0
未勝利,ブラックタイド,0,1,0,0
未勝利,ワークフォース,0,1,0,0
未勝利,ヴァンセンヌ,0,1,0,0
未勝利,キズナ,0,0,1,0
未勝利,ジャスタウェイ,0,0,1,5
未勝利,ハーツクライ,0,0,1,2
未勝利,アスカクリチャン,0,0,0,1
未勝利,アドマイヤムーン,0,0,0,2
未勝利,オルフェーヴル,0,0,0,1
未勝利,キングカメハメハ,0,0,0,1
未勝利,キングズベスト,0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,ケープブランコ,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,タイキシャトル,0,0,0,1
未勝利,ディープブリランテ,0,0,0,1
未勝利,トゥザワールド,0,0,0,1
未勝利,ドリームジャーニー,0,0,0,2
未勝利,ノヴェリスト,0,0,0,1
未勝利,ハービンジャー,0,0,0,2
未勝利,ベルシャザール,0,0,0,1
未勝利,ワールドエース,0,0,0,1
