クラス,血統,1着,2着,3着,着外
all,ディープインパクト,1,0,1,5
all,オルフェーヴル,1,0,0,2
all,エピファネイア,0,1,0,0
all,ルーラーシップ,0,1,0,3
all,ハーツクライ,0,0,1,3
all,Golden Horn,0,0,0,1
all,キズナ,0,0,0,2
all,キンシャサノキセキ,0,0,0,1
all,ゴールドシップ,0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,スズカマンボ,0,0,0,1
all,タイキシャトル,0,0,0,1
all,タートルボウル,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ナカヤマフェスタ,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,ハービンジャー,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
オープン,ディープインパクト,1,0,1,5
オープン,オルフェーヴル,1,0,0,2
オープン,エピファネイア,0,1,0,0
オープン,ルーラーシップ,0,1,0,3
オープン,ハーツクライ,0,0,1,3
オープン,Golden Horn,0,0,0,1
オープン,キズナ,0,0,0,2
オープン,キンシャサノキセキ,0,0,0,1
オープン,ゴールドシップ,0,0,0,1
オープン,シンボリクリスエス,0,0,0,1
オープン,スズカマンボ,0,0,0,1
オープン,タイキシャトル,0,0,0,1
オープン,タートルボウル,0,0,0,1
オープン,ドリームジャーニー,0,0,0,1
オープン,ナカヤマフェスタ,0,0,0,1
オープン,ノヴェリスト,0,0,0,1
オープン,ハービンジャー,0,0,0,1
オープン,ヴィクトワールピサ,0,0,0,1
