クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ,3,3,1,4
all,ホッコータルマエ,3,2,1,26
all,マジェスティックウォリアー,3,1,0,18
all,ドゥラメンテ,3,0,1,12
all,シニスターミニスター,2,4,2,20
all,ドレフォン,2,4,1,19
all,ハーツクライ,2,2,1,6
all,キズナ,2,1,1,12
all,ニューイヤーズデイ,2,1,1,1
all,モーニン,2,1,0,1
all,ジャスタウェイ,2,0,1,11
all,ブラックタイド,2,0,0,4
all,ラニ,2,0,0,4
all,ダノンレジェンド,1,3,0,3
all,フリオーソ,1,2,0,4
all,ルーラーシップ,1,1,3,11
all,マインドユアビスケッツ,1,1,1,9
all,モーリス,1,1,1,6
all,ハービンジャー,1,0,2,3
all,シルバーステート,1,0,1,3
all,リオンディーズ,1,0,1,7
all,ワールドエース,1,0,1,4
all,アドマイヤムーン,1,0,0,3
all,エイシンフラッシュ,1,0,0,2
all,シャンハイボビー,1,0,0,4
all,スズカコーズウェイ,1,0,0,1
all,トウケイヘイロー,1,0,0,2
all,ブリックスアンドモルタル,1,0,0,1
all,メイショウボーラー,1,0,0,5
all,レガーロ,1,0,0,1
all,ロゴタイプ,1,0,0,1
all,バンドワゴン,0,3,1,0
all,パイロ,0,2,0,9
all,ゴールドシップ,0,1,2,2
all,オルフェーヴル,0,1,1,6
all,リアルインパクト,0,1,1,9
all,レイデオロ,0,1,1,3
all,ロードカナロア,0,1,1,9
all,Into Mischief,0,1,0,0
all,イスラボニータ,0,1,0,3
all,ウインバリアシオン,0,1,0,0
all,ケープブランコ,0,1,0,1
all,サトノアラジン,0,1,0,3
all,スマートファルコン,0,1,0,2
all,ダイワメジャー,0,1,0,5
all,トランセンド,0,1,0,1
all,トーセンブライト,0,1,0,1
all,ビーチパトロール,0,1,0,3
all,マクフィ,0,1,0,10
all,ラブリーデイ,0,1,0,1
all,Gun Runner,0,0,1,1
all,Pioneerof the Nile,0,0,1,2
all,Runhappy,0,0,1,2
all,アジアエクスプレス,0,0,1,6
all,アメリカンペイトリオット,0,0,1,3
all,アルアイン,0,0,1,0
all,エイシンヒカリ,0,0,1,1
all,エスポワールシチー,0,0,1,4
all,キタサンブラック,0,0,1,8
all,キンシャサノキセキ,0,0,1,7
all,クリエイター,0,0,1,1
all,コパノリッキー,0,0,1,6
all,ザファクター,0,0,1,2
all,ジョーカプチーノ,0,0,1,2
all,スピルバーグ,0,0,1,1
all,ディスクリートキャット,0,0,1,2
all,ナムラタイタン,0,0,1,2
all,ニホンピロアワーズ,0,0,1,1
all,フェノーメノ,0,0,1,2
all,ミッキーアイル,0,0,1,3
all,ミッキーグローリー,0,0,1,1
all,リッチーリッチー,0,0,1,0
all,American Pharoah,0,0,0,2
all,Arrogate,0,0,0,2
all,Bolt d'Oro,0,0,0,1
all,Classic Empire,0,0,0,1
all,Frankel,0,0,0,2
all,Golden Horn,0,0,0,2
all,I Am Invincible,0,0,0,1
all,Justify,0,0,0,1
all,Khozan,0,0,0,1
all,Practical Joke,0,0,0,1
all,Tapit,0,0,0,1
all,アイファーソング,0,0,0,1
all,アイルハヴアナザー,0,0,0,2
