クラス,血統,1着,2着,3着,着外
all,スクリーンヒーロー,1,0,0,0
all,ダイワメジャー,1,0,0,0
all,バンドワゴン,1,0,0,0
all,ロードカナロア,1,0,0,0
all,モーリス,0,1,1,2
all,エイシンヒカリ,0,1,0,0
all,デクラレーションオブウォー,0,1,0,1
all,ファインニードル,0,1,0,0
all,イスラボニータ,0,0,1,1
all,シルバーステート,0,0,1,2
all,ミッキーアイル,0,0,1,1
all,Harry Angel,0,0,0,1
all,Le Havre,0,0,0,1
all,Twirling Candy,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エピファネイア,0,0,0,3
all,オルフェーヴル,0,0,0,1
all,キズナ,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,サトノクラウン,0,0,0,1
all,サトノダイヤモンド,0,0,0,1
all,サンダースノー,0,0,0,1
all,ドレフォン,0,0,0,1
all,ニューイヤーズデイ,0,0,0,1
all,ビッグアーサー,0,0,0,2
all,ブラックタイド,0,0,0,1
all,リアルインパクト,0,0,0,1
all,リアルスティール,0,0,0,2
all,レイデオロ,0,0,0,1
all,レッドスパーダ,0,0,0,1
all,レッドファルクス,0,0,0,2
all,ロジャーバローズ,0,0,0,1
1勝クラス,ダイワメジャー,1,0,0,0
1勝クラス,デクラレーションオブウォー,0,1,0,1
1勝クラス,モーリス,0,0,1,1
1勝クラス,エピファネイア,0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,ニューイヤーズデイ,0,0,0,1
1勝クラス,レッドファルクス,0,0,0,1
オープン,ロードカナロア,1,0,0,0
オープン,モーリス,0,1,0,0
オープン,ミッキーアイル,0,0,1,0
オープン,エピファネイア,0,0,0,1
オープン,サトノクラウン,0,0,0,1
オープン,ビッグアーサー,0,0,0,1
新馬,バンドワゴン,1,0,0,0
新馬,ファインニードル,0,1,0,0
新馬,シルバーステート,0,0,1,2
新馬,Harry Angel,0,0,0,1
新馬,キズナ,0,0,0,1
新馬,サトノダイヤモンド,0,0,0,1
新馬,サンダースノー,0,0,0,1
新馬,ドレフォン,0,0,0,1
新馬,ビッグアーサー,0,0,0,1
新馬,ブラックタイド,0,0,0,1
新馬,ミッキーアイル,0,0,0,1
新馬,リアルインパクト,0,0,0,1
新馬,リアルスティール,0,0,0,1
新馬,レイデオロ,0,0,0,1
新馬,ロジャーバローズ,0,0,0,1
未勝利,スクリーンヒーロー,1,0,0,0
未勝利,エイシンヒカリ,0,1,0,0
未勝利,イスラボニータ,0,0,1,1
未勝利,Le Havre,0,0,0,1
未勝利,Twirling Candy,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,1
未勝利,エピファネイア,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,レッドスパーダ,0,0,0,1
未勝利,レッドファルクス,0,0,0,1
