クラス,血統,1着,2着,3着,着外
all,タートルボウル,1,0,0,0
all,リオンディーズ,1,0,0,0
all,オルフェーヴル,0,1,0,0
all,ステイゴールド,0,1,0,0
all,ビッグアーサー,0,0,1,0
all,マツリダゴッホ,0,0,1,0
all,キングカメハメハ,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,サトノクラウン,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ディープインパクト,0,0,0,1
all,パドトロワ,0,0,0,1
all,フェノーメノ,0,0,0,0
all,ホッコータルマエ,0,0,0,1
all,ルーラーシップ,0,0,0,1
未勝利,タートルボウル,1,0,0,0
未勝利,リオンディーズ,1,0,0,0
未勝利,オルフェーヴル,0,1,0,0
未勝利,ステイゴールド,0,1,0,0
未勝利,ビッグアーサー,0,0,1,0
未勝利,マツリダゴッホ,0,0,1,0
未勝利,キングカメハメハ,0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,サトノクラウン,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,ディープインパクト,0,0,0,1
未勝利,パドトロワ,0,0,0,1
未勝利,フェノーメノ,0,0,0,0
未勝利,ホッコータルマエ,0,0,0,1
未勝利,ルーラーシップ,0,0,0,1
