クラス,血統,1着,2着,3着,着外
all,ロードカナロア,24,14,14,179
all,ディープインパクト,15,7,14,88
all,ダイワメジャー,12,14,12,110
all,モーリス,12,7,13,87
all,キズナ,10,12,14,81
all,ハービンジャー,10,2,3,49
all,オルフェーヴル,9,9,1,59
all,ミッキーアイル,9,5,5,45
all,エピファネイア,6,10,7,80
all,ルーラーシップ,6,5,5,75
all,リオンディーズ,6,4,7,52
all,ヴィクトワールピサ,5,6,5,46
all,ハーツクライ,5,3,6,58
all,エイシンフラッシュ,5,2,4,33
all,ドゥラメンテ,5,2,4,39
all,ジャスタウェイ,4,4,5,38
all,ビッグアーサー,4,3,1,34
all,リアルスティール,4,2,2,16
all,ブリックスアンドモルタル,4,0,2,10
all,ワールドエース,4,0,2,33
all,キタサンブラック,3,6,4,23
all,Frankel,3,5,3,13
all,スクリーンヒーロー,3,4,5,40
all,ドレフォン,3,4,3,30
all,シルバーステート,3,3,5,32
all,ブラックタイド,3,2,4,37
all,カラヴァッジオ,3,0,2,0
all,キングカメハメハ,2,5,7,23
all,サトノアラジン,2,5,0,19
all,ヘニーヒューズ,2,4,3,20
all,レイデオロ,2,2,2,13
all,Invincible Spirit,2,2,1,5
all,クロフネ,2,1,2,11
all,ダノンシャンティ,2,1,2,10
all,トーセンラー,2,1,1,7
all,レッドファルクス,2,1,0,13
all,イスラボニータ,2,0,7,25
all,Dark Angel,2,0,1,3
all,Saxon Warrior,2,0,1,1
all,ジョーカプチーノ,2,0,1,8
all,アイルハヴアナザー,2,0,0,6
all,アメリカンペイトリオット,1,4,2,11
all,キンシャサノキセキ,1,3,8,57
all,ファインニードル,1,3,3,10
all,アドマイヤムーン,1,3,2,31
all,アルアイン,1,3,0,4
all,レッドスパーダ,1,3,0,9
all,ディープブリランテ,1,2,4,37
all,Intello,1,2,0,1
all,ディーマジェスティ,1,2,0,4
all,ベンバトル,1,2,0,1
all,ミッキーロケット,1,2,0,5
all,グレーターロンドン,1,1,2,1
all,ラブリーデイ,1,1,2,13
all,アドミラブル,1,1,1,2
all,スズカフェニックス,1,1,1,6
all,マクフィ,1,1,1,18
all,More Than Ready,1,1,0,0
all,Night of Thunder,1,1,0,0
all,エイシンヒカリ,1,1,0,16
all,ゴールドシップ,1,1,0,9
all,マテラスカイ,1,1,0,2
all,リアルインパクト,1,0,4,14
all,ストロングリターン,1,0,2,16
all,Point of Entry,1,0,1,3
all,カレンブラックヒル,1,0,1,25
all,クリーンエコロジー,1,0,1,3
all,サトノダイヤモンド,1,0,1,8
all,ダノンプレミアム,1,0,1,2
all,I Am Invincible,1,0,0,1
all,Le Havre,1,0,0,2
all,Too Darn Hot,1,0,0,2
all,インディチャンプ,1,0,0,2
all,キングヘイロー,1,0,0,4
all,サートゥルナーリア,1,0,0,7
all,タートルボウル,1,0,0,3
all,ディープスカイ,1,0,0,0
all,トゥザワールド,1,0,0,10
all,トウケイヘイロー,1,0,0,2
all,ハードスパン,1,0,0,1
all,マンハッタンカフェ,1,0,0,8
all,ドリームジャーニー,0,6,0,18
all,サトノクラウン,0,3,1,10
all,ディスクリートキャット,0,3,1,19
all,トーホウジャッカル,0,3,0,8
all,Fastnet Rock,0,2,0,3
all,アサクサキングス,0,2,0,3
all,タニノギムレット,0,2,0,18
all,メイショウボーラー,0,2,0,37
all,ロゴタイプ,0,2,0,4
all,ベルシャザール,0,1,2,6
all,ステイゴールド,0,1,1,9
all,ダノンシャーク,0,1,1,9
all,トランセンド,0,1,1,4
all,パイロ,0,1,1,9
all,Kingman,0,1,0,8
all,Pivotal,0,1,0,1
all,Showcasing,0,1,0,0
all,Trapeze Artist,0,1,0,0
all,Uncle Mo,0,1,0,1
all,アドマイヤコジーン,0,1,0,0
all,カリフォルニアクローム,0,1,0,4
all,コパノリッキー,0,1,0,6
all,シンボリクリスエス,0,1,0,3
all,スウェプトオーヴァーボード,0,1,0,10
all,スクワートルスクワート,0,1,0,2
all,スワーヴリチャード,0,1,0,7
all,タワーオブロンドン,0,1,0,6
all,ダノンキングリー,0,1,0,4
all,デクラレーションオブウォー,0,1,0,5
all,トゥザグローリー,0,1,0,13
all,フェノーメノ,0,1,0,7
all,ベーカバド,0,1,0,5
all,ヨハネスブルグ,0,1,0,9
all,ヴァンセンヌ,0,1,0,7
all,アジアエクスプレス,0,0,2,3
all,コントレイル,0,0,2,2
all,ジャングルポケット,0,0,2,13
all,スピルバーグ,0,0,2,6
all,Frosted,0,0,1,0
all,Ghostzapper,0,0,1,0
all,Gleneagles,0,0,1,0
all,Kitten's Joy,0,0,1,1
all,Medaglia d'Oro,0,0,1,4
all,Practical Joke,0,0,1,4
all,Raven's Pass,0,0,1,1
all,キングズベスト,0,0,1,10
all,ザファクター,0,0,1,5
all,スターリングローズ,0,0,1,1
all,タイキシャトル,0,0,1,9
all,ダノンバラード,0,0,1,3
all,ニューイヤーズデイ,0,0,1,4
all,フォーウィールドライブ,0,0,1,3
all,メイショウサムソン,0,0,1,12
all,ロージズインメイ,0,0,1,10
all,Air Force Blue,0,0,0,1
all,Al Wukair,0,0,0,1
all,American Pharoah,0,0,0,8
all,Australia,0,0,0,1
all,Bernardini,0,0,0,1
all,Blue Point,0,0,0,1
all,Bolt d'Oro,0,0,0,1
all,Carpe Diem,0,0,0,1
all,City Zip,0,0,0,1
all,Classic Empire,0,0,0,1
all,Dawn Approach,0,0,0,3
all,Distorted Humor,0,0,0,1
all,English Channel,0,0,0,1
all,Exceedance,0,0,0,1
all,First Samurai,0,0,0,2
all,Goldencents,0,0,0,1
all,Iffraaj,0,0,0,3
all,Into Mischief,0,0,0,3
all,Justin Phillip,0,0,0,1
all,Khozan,0,0,0,1
all,Liam's Map,0,0,0,1
all,Maclean's Music,0,0,0,1
all,Magician,0,0,0,1
all,Mastercraftsman,0,0,0,1
all,Mohaymen,0,0,0,1
all,Mshawish,0,0,0,1
all,Myboycharlie,0,0,0,1
all,Nathaniel,0,0,0,1
all,New Approach,0,0,0,1
all,No Nay Never,0,0,0,6
all,Optimizer,0,0,0,1
all,Oscar Performance,0,0,0,1
all,Quality Road,0,0,0,2
all,Scat Daddy,0,0,0,1
all,Shackleford,0,0,0,4
all,Shalaa,0,0,0,6
all,Shamardal,0,0,0,2
all,Siyouni,0,0,0,8
all,Tapit,0,0,0,1
all,Teofilo,0,0,0,1
all,The Gurkha,0,0,0,1
all,Wootton Bassett,0,0,0,1
all,Zoffany,0,0,0,1
all,Zoustar,0,0,0,2
all,アグネスデジタル,0,0,0,5
all,アドマイヤオーラ,0,0,0,1
all,アドマイヤジャパン,0,0,0,1
all,アドマイヤマックス,0,0,0,1
all,アドマイヤマーズ,0,0,0,7
all,アレスバローズ,0,0,0,1
all,アンライバルド,0,0,0,5
all,ウインバリアシオン,0,0,0,2
all,ウインブライト,0,0,0,1
all,ウォーターリーグ,0,0,0,1
all,エンパイアメーカー,0,0,0,3
all,エーシントップ,0,0,0,1
all,オウケンブルースリ,0,0,0,1
all,オレハマッテルゼ,0,0,0,1
all,ガルボ,0,0,0,1
all,クリエイター,0,0,0,3
all,グァンチャーレ,0,0,0,1
all,グラスワンダー,0,0,0,4
all,グランデッツァ,0,0,0,1
all,グランプリボス,0,0,0,11
all,グロリアスノア,0,0,0,1
all,ケイムホーム,0,0,0,2
all,ケープブランコ,0,0,0,5
all,ゴールドアクター,0,0,0,3
all,ゴールドアリュール,0,0,0,4
all,サウスヴィグラス,0,0,0,1
all,サクラバクシンオー,0,0,0,1
all,サクラプレジデント,0,0,0,1
all,サトノインプレッサ,0,0,0,1
all,サムライハート,0,0,0,1
all,サンダースノー,0,0,0,2
