クラス,血統,1着,2着,3着,着外
all,ハービンジャー,1,1,1,1
all,モーリス,1,1,1,3
all,ルーラーシップ,1,0,1,5
all,Saxon Warrior,1,0,0,0
all,キタサンブラック,1,0,0,0
all,ゴールドシップ,1,0,0,3
all,ジャスタウェイ,1,0,0,2
all,マクマホン,1,0,0,0
all,エスケンデレヤ,0,2,0,0
all,ゴールドアクター,0,1,0,0
all,サトノアラジン,0,1,0,0
all,サトノダイヤモンド,0,1,0,0
all,ハーツクライ,0,1,0,2
all,キングカメハメハ,0,0,1,1
all,フェノーメノ,0,0,1,0
all,ブラックタイド,0,0,1,1
all,ロードカナロア,0,0,1,4
all,ヴィクトワールピサ,0,0,1,2
all,Wootton Bassett,0,0,0,1
all,イスラボニータ,0,0,0,4
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,4
all,エピファネイア,0,0,0,1
all,キズナ,0,0,0,5
all,キンシャサノキセキ,0,0,0,1
all,グラスワンダー,0,0,0,1
all,グレーターロンドン,0,0,0,1
all,サトノクラウン,0,0,0,3
all,シルバーステート,0,0,0,2
all,スクリーンヒーロー,0,0,0,2
all,ダイワメジャー,0,0,0,1
all,ディープインパクト,0,0,0,3
all,ディープブリランテ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,トゥザグローリー,0,0,0,1
all,ドゥラメンテ,0,0,0,7
all,ドレフォン,0,0,0,1
all,ノヴェリスト,0,0,0,4
all,ビーチパトロール,0,0,0,1
all,ベーカバド,0,0,0,1
all,マインドユアビスケッツ,0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,ヤマカツエース,0,0,0,3
all,ラブリーデイ,0,0,0,1
all,リアルインパクト,0,0,0,2
all,リアルスティール,0,0,0,1
all,レッドスパーダ,0,0,0,1
all,レッドファルクス,0,0,0,2
all,ローズキングダム,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴァンセンヌ,0,0,0,1
1勝クラス,ジャスタウェイ,1,0,0,1
1勝クラス,ルーラーシップ,1,0,0,1
1勝クラス,エスケンデレヤ,0,2,0,0
1勝クラス,フェノーメノ,0,0,1,0
1勝クラス,モーリス,0,0,1,1
1勝クラス,イスラボニータ,0,0,0,3
1勝クラス,エイシンヒカリ,0,0,0,1
1勝クラス,エイシンフラッシュ,0,0,0,1
1勝クラス,エピファネイア,0,0,0,1
1勝クラス,キズナ,0,0,0,3
1勝クラス,グラスワンダー,0,0,0,1
1勝クラス,ゴールドシップ,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,1
