クラス,血統,1着,2着,3着,着外
all,ドゥラメンテ,1,1,2,3
all,ウインブライト,1,1,0,4
all,エピファネイア,1,0,1,4
all,アメリカンペイトリオット,1,0,0,0
all,モーリス,1,0,0,1
all,リアルスティール,1,0,0,1
all,ルーラーシップ,0,3,0,0
all,ブラックタイド,0,1,0,2
all,オルフェーヴル,0,0,1,4
all,サトノクラウン,0,0,1,1
all,サートゥルナーリア,0,0,1,2
all,アドマイヤマーズ,0,0,0,0
all,キズナ,0,0,0,1
all,キタサンブラック,0,0,0,1
all,ゴールドシップ,0,0,0,16
all,サトノダイヤモンド,0,0,0,1
all,シルバーステート,0,0,0,1
all,ダノンバラード,0,0,0,3
all,ハーツクライ,0,0,0,1
all,ハービンジャー,0,0,0,2
all,バゴ,0,0,0,3
all,ブリックスアンドモルタル,0,0,0,1
all,ホッコータルマエ,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,レイデオロ,0,0,0,6
all,ロードカナロア,0,0,0,2
1勝クラス,エピファネイア,1,0,1,3
1勝クラス,ウインブライト,1,0,0,4
1勝クラス,モーリス,1,0,0,0
1勝クラス,リアルスティール,1,0,0,1
1勝クラス,ルーラーシップ,0,3,0,0
1勝クラス,ドゥラメンテ,0,1,1,1
1勝クラス,オルフェーヴル,0,0,1,4
1勝クラス,サトノクラウン,0,0,1,1
1勝クラス,キタサンブラック,0,0,0,1
1勝クラス,ゴールドシップ,0,0,0,10
1勝クラス,サートゥルナーリア,0,0,0,1
1勝クラス,シルバーステート,0,0,0,1
1勝クラス,ダノンバラード,0,0,0,3
1勝クラス,ハービンジャー,0,0,0,2
1勝クラス,バゴ,0,0,0,3
1勝クラス,ブリックスアンドモルタル,0,0,0,1
1勝クラス,ホッコータルマエ,0,0,0,1
1勝クラス,ミッキーアイル,0,0,0,1
1勝クラス,レイデオロ,0,0,0,5
1勝クラス,ロードカナロア,0,0,0,1
2勝クラス,ドゥラメンテ,1,0,1,2
2勝クラス,アメリカンペイトリオット,1,0,0,0
2勝クラス,ウインブライト,0,1,0,0
2勝クラス,ブラックタイド,0,1,0,2
2勝クラス,サートゥルナーリア,0,0,1,1
2勝クラス,アドマイヤマーズ,0,0,0,0
2勝クラス,エピファネイア,0,0,0,1
2勝クラス,キズナ,0,0,0,1
2勝クラス,ゴールドシップ,0,0,0,6
2勝クラス,サトノダイヤモンド,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,モーリス,0,0,0,1
2勝クラス,レイデオロ,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,1
