クラス,血統,1着,2着,3着,着外
all,エイシンフラッシュ,2,0,0,1
all,Midnight Lute,1,0,0,0
all,キングズベスト,1,0,0,0
all,ブラックタイド,1,0,0,0
all,ロードカナロア,0,2,0,0
all,ステイゴールド,0,1,1,2
all,ハーツクライ,0,1,0,1
all,フェノーメノ,0,1,0,1
all,Super Saver,0,0,1,0
all,クロフネ,0,0,1,0
all,ドリームジャーニー,0,0,1,1
all,ハービンジャー,0,0,1,0
all,Stormy Atlantic,0,0,0,2
all,アイルハヴアナザー,0,0,0,1
all,オルフェーヴル,0,0,0,2
all,キズナ,0,0,0,2
all,キングカメハメハ,0,0,0,1
all,キングヘイロー,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,ゴールドシップ,0,0,0,1
all,サムライハート,0,0,0,1
all,シングンオペラ,0,0,0,2
all,ジャングルポケット,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,ディープインパクト,0,0,0,4
all,トーセンホマレボシ,0,0,0,1
all,ファーガソン,0,0,0,1
all,ベルシャザール,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,マツリダゴッホ,0,0,0,2
all,マンハッタンカフェ,0,0,0,1
all,メイショウサムソン,0,0,0,0
all,リオンディーズ,0,0,0,1
all,ルーラーシップ,0,0,0,3
all,ローズキングダム,0,0,0,1
all,ヴァーミリアン,0,0,0,1
オープン,エイシンフラッシュ,2,0,0,1
オープン,Midnight Lute,1,0,0,0
オープン,キングズベスト,1,0,0,0
オープン,ブラックタイド,1,0,0,0
オープン,ロードカナロア,0,2,0,0
オープン,ステイゴールド,0,1,1,2
オープン,ハーツクライ,0,1,0,1
オープン,フェノーメノ,0,1,0,1
オープン,Super Saver,0,0,1,0
オープン,クロフネ,0,0,1,0
オープン,ドリームジャーニー,0,0,1,1
オープン,ハービンジャー,0,0,1,0
オープン,Stormy Atlantic,0,0,0,2
オープン,アイルハヴアナザー,0,0,0,1
オープン,オルフェーヴル,0,0,0,2
オープン,キズナ,0,0,0,2
オープン,キングカメハメハ,0,0,0,1
オープン,キングヘイロー,0,0,0,1
オープン,ゴールドアリュール,0,0,0,1
オープン,ゴールドシップ,0,0,0,1
オープン,サムライハート,0,0,0,1
オープン,シングンオペラ,0,0,0,2
オープン,ジャングルポケット,0,0,0,1
オープン,ダイワメジャー,0,0,0,2
オープン,ディープインパクト,0,0,0,4
オープン,トーセンホマレボシ,0,0,0,1
オープン,ファーガソン,0,0,0,1
オープン,ベルシャザール,0,0,0,1
オープン,マジェスティックウォリアー,0,0,0,1
オープン,マツリダゴッホ,0,0,0,2
オープン,マンハッタンカフェ,0,0,0,1
オープン,メイショウサムソン,0,0,0,0
オープン,リオンディーズ,0,0,0,1
オープン,ルーラーシップ,0,0,0,3
オープン,ローズキングダム,0,0,0,1
オープン,ヴァーミリアン,0,0,0,1
