,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,エンマ,牡3,57.0,藤岡佑,武英,栗東,2022102956,1093,バゴ Bago(仏) ,ウェルノーテッド ,ドリームジャーニー ,0.5555107128710488,5,-0.04437973165054075,5,,
1,1,2,オーラエグザート,牡3,55.0,△高杉,藤岡,栗東,2022100158,1213,American Pharoah (米) ,アントハッティー Aunt Hattie(愛) ,Camelot (英) ,-1.4609230050584756,14,-0.741763977825123,14,,
2,2,3,ワイドデコラシオン,牡3,56.0,☆田口,辻野,栗東,2022103306,1208,ミッキーアイル ,リュヌドサーブル Lune de Sable(愛) ,Medicean ,-0.9492271065450726,13,-0.564793787690727,13,,
3,2,4,バヤシーフェイス,牡3,57.0,団野,西園翔,栗東,2022101059,1180,タワーオブロンドン ,ケイティバローズ ,マンハッタンカフェ ,-0.9058477976463134,12,-0.5497910398359657,12,,
4,3,5,テイエムタワードン,牡3,57.0,太宰,畑端,栗東,2022100329,1037,タワーオブロンドン ,サットー ,ステイゴールド ,-0.836927475680212,11,-0.5259549244441881,11,,
5,3,6,ゴールドダイアー,牡3,57.0,藤懸,平田,栗東,2022103538,1138,ゴールドドリーム ,ニューコローラ ,New Approach ,-0.20425855309335803,9,-0.3071461752484266,9,,
6,4,7,アツィオーネ,牝3,52.0,▲橋木,西園正,栗東,2022102881,1215,サンダースノー Thunder Snow(愛) ,マルモマリア ,ヨハネスブルグ Johannesburg(米) ,-0.49498602325255736,10,-0.4076943637737599,10,,
7,4,8,イージーゴーイング,牡3,56.0,☆小沢,飯田,栗東,2022103087,1185,バゴ Bago(仏) ,バオバブ ,クロフネ ,2.6092178733290843,1,0.6658955465420778,1,,
8,5,9,メイショウソウセキ,牡3,57.0,武豊,松永幹,栗東,2022103255,666,マジェスティックウォリアー Majestic Warrior(米) ,メイショウコブシ ,スペシャルウィーク ,-4.357421985415362,16,-1.7435190764433626,16,,
9,5,10,シドニーホバート,牡3,57.0,坂井,杉山佳,栗東,2022105506,1163,ストロングリターン ,ベガスナイト ,コロナドズクエスト Coronado's Quest(米) ,-0.10547337472995266,8,-0.272981289721258,8,,
10,6,11,クリノラピダス,牡3,57.0,幸,谷,栗東,2022109038,732,マクフィ Makfi(英) ,リキサンエルピーダ ,ネオユニヴァース ,0.6560498716426872,4,-0.009608231438285188,4,,
11,6,12,エポエポサン,牡3,57.0,Ｍデムーロ,須貝,栗東,2022104636,5212,ジャスタウェイ ,イイナヅケ ,ワークフォース Workforce(英) ,1.0807282734029218,3,0.13726692961699072,3,,
12,7,13,デュジャック,牡3,57.0,Ａルメート,斉藤崇,栗東,2022107273,5659,ロードカナロア ,ジュエルメーカー ,エンパイアメーカー Empire Maker(米) ,0.27324961175521095,6,-0.1419998237347954,6,,
13,7,14,サンディエゴ,牡3,57.0,鮫島駿,清水久,栗東,2022104982,1157,キズナ ,ファイネストシティ Finest City(米) ,City Zip (米) ,-1.5750075394568464,15,-0.7812201505295148,15,,
14,8,15,レイザリオ,牡3,57.0,西村淳,橋口,栗東,2022104910,1171,アドマイヤマーズ ,テルアケリー Tell a Kelly(米) ,Tapit (米) ,0.09503637877582377,7,-0.20363492735093564,7,,
15,8,16,グランスターオー,牡3,57.0,菱田,新谷,栗東,2022102534,1144,シニスターミニスター Sinister Minister(米) ,メガミチャン ,クロフネ ,1.9673007470709836,2,0.44388830314916317,2,,
