,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,メイショウシナノ,牡5,57.0,田口,大橋,栗東,2020106635,01208,サトノダイヤモンド ,アルボナンザ ,キングカメハメハ ,-1.998348138264184,13
1,1,2,ヨリノサファイヤ,牝5,52.0,松若,根本,美浦,2020102315,01154,コパノリッキー ,コパノタイマネ ,クロフネ ,-3.6091652217744143,16
2,2,3,バリアントバイオ,牡5,55.0,小沢,今野,栗東,2020101941,01185,トーセンジョーダン ,エスカレートバイオ ,アルデバランII Aldebaran(米) ,-1.7707852584971815,12
3,2,4,ロードマゼラン,セ6,56.0,丹内,奥村豊,栗東,2019103036,01091,ルーラーシップ ,レディカーニバル ,Giant's Causeway (米) ,-2.781875644077146,14
4,3,5,ルシュヴァルドール,牡4,57.0,坂井,矢作,栗東,2021105630,01163,リアルスティール ,ソーメニーウェイズ So Many Ways(米) ,Sightseeing ,2.4991642417589346,3
5,3,6,ゲンパチムサシ,牡7,54.0,和田竜,佐々木,栗東,2018102832,01018,ドゥラメンテ ,ティアランドール ,Action This Day ,-2.9010657001431936,15
6,4,7,リューデスハイム,牡4,55.0,北村友,牧田,栗東,2021105508,01102,ニューイヤーズデイ ,グリューヴァイン ,ゴールドアリュール ,0.5140092337681315,9
7,4,8,ソーニーイシュー,牡4,56.0,川田,千田,栗東,2021101705,01088,シニスターミニスター Sinister Minister(米) ,ローズストリート ,ストリートセンス Street Sense(米) ,2.3322812990135273,4
8,5,9,ゴールドアローン,牝4,53.0,菊沢,青木,美浦,2021106874,01161,ドレフォン Drefong(米) ,ゴールドアクション ,ヘニーヒューズ Henny Hughes(米) ,3.263169720301541,1
9,5,10,ポッドロゴ,牡4,57.0,松山,西園正,栗東,2021104873,01126,ロゴタイプ ,スクラッタ ,キングカメハメハ ,0.48780187852123763,11
10,6,11,インザモーメント,牡4,57.0,岩田望,田中克,栗東,2021106635,01174,キズナ ,ディルガ ,Curlin (米) ,2.730665374359278,2
11,6,12,レッドプロフェシー,牡5,55.0,菱田,大久保,栗東,2020101579,01144,ルーラーシップ ,トリニティプレイス ,マンハッタンカフェ ,1.142780340577066,6
12,7,13,アオイイーグル,牡5,56.0,Ｍデムーロ,大久保,栗東,2020101861,05212,カレンブラックヒル ,アオイエンジェル ,ハーツクライ ,0.5037594833441649,10
13,7,14,メイプルタピット,牡4,56.0,丸田,南田,美浦,2021103140,01117,ラニ ,ディヴィナライン ,オルフェーヴル ,1.4304771724871883,5
14,8,15,カネトシゴウト,牡4,56.0,幸,大橋,栗東,2021100709,00732,シニスターミニスター Sinister Minister(米) ,カネトシビバーチェ ,キングカメハメハ ,0.877162206039332,7
15,8,16,サノノエスポ,牝5,52.0,吉村,中舘,美浦,2020102161,01216,エスポワールシチー ,シックファイター ,ヘクタープロテクター Hector Protector(米) ,0.6987037771652445,8
