,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,クリノフィガロ,牡4,58.0,岩田望,荒川,498(+2),栗東,2021101226,01174,ゴールドシップ  ,クリノスペシャル  ,スペシャルウィーク  ,-1.8464843298312204,11
1,2,2,プルナチャンドラ,牡4,58.0,酒井,小野,502(-4),美浦,2021100329,01034,アニマルキングダム  Animal Kingdom(米)  ,エーシンジョイフル  ,オペラハウス  Opera House(英)  ,-1.5556307268722414,10
2,2,3,メイショウツヨキ,牡3,56.0,武豊,飯田,476(+6),栗東,2022103262,00666,アドマイヤマーズ  ,メイショウヒサカタ  ,シニスターミニスター  Sinister Minister(米)  ,1.3925938900269335,2
3,3,4,ジーニアスバローズ,牡5,58.0,高田,辻野,470(+10),栗東,2020100681,01046,ハーツクライ  ,スカイノダン  ,サクラバクシンオー  ,-0.996552086291496,8
4,3,5,ハッピーダンチャン,牡3,55.0,☆西塚,小椋,468(0),栗東,2022100529,01200,ダンカーク  Dunkirk(米)  ,ハッピーエム  ,プリサイスエンド  Precise End(米)  ,-3.415327431691859,14
5,4,6,シンリミテス,牡6,58.0,国分優,大根田,504(+4),栗東,2019106148,01125,ドレフォン  Drefong(米)  ,ポリアフ  ,キングカメハメハ  ,-1.9942898895922814,12
6,4,7,アルベリック,牡4,56.0,△柴田裕,中竹,480(-2),栗東,2021101554,01212,エイシンヒカリ  ,エイシンウィキ  ,キングカメハメハ  ,0.5487394462862778,3
7,5,8,メイショウオオコ,牡4,58.0,団野,荒川,474(+6),栗東,2021102572,01180,メイショウボーラー  ,デンコウミシオン  ,メイショウサムソン  ,-0.29753293155608485,7
8,5,9,ブレイゼスト,牡5,58.0,鮫島駿,安達,516(-6),栗東,2020100631,01157,デクラレーションオブウォー  ,ジーニアル  ,キングカメハメハ  ,0.19700122656162286,4
9,6,10,アーロンイメル,牡4,58.0,西村淳,高橋一,498(-2),栗東,2021100255,01171,パイロ  Pyro(米)  ,アビス  ,ダイワメジャー  ,-1.483665393072097,9
10,6,11,スカイドゥエラー,牡7,58.0,井上,谷,458(0),栗東,2018100961,01151,キズナ  ,フリーバード  ,アフリート  Afleet(加)  ,-3.4378548222938616,15
11,7,12,メイケイロゼッタ,牡3,56.0,池添,河嶋,464(0),栗東,2022105878,01032,リアルスティール  ,エーティーロゼッタ  ,ディープスカイ  ,-2.344944412089673,13
12,7,13,バロンドール,牡4,58.0,横山典,松永幹,538(0),栗東,2021105276,00660,ニューイヤーズデイ  ,リュミエールドール  ,ルーラーシップ  ,0.09572490572380357,5
13,8,14,キングツェッペリン,牡4,58.0,松若,牧田,468(+2),栗東,2021106521,01154,モーニン  ,トウカイベルタ  ,ワイルドラッシュ  Wild Rush(米)  ,0.08713351090700935,6
14,8,15,アンバードール,牡4,58.0,川田,吉岡,512(+4),栗東,2021104448,01088,カリフォルニアクローム  California Chrome(米)  ,バードオンアスク  ,マンハッタンカフェ  ,2.4661012658918198,1
