,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,サーブルディアマン,牡3,57.0,吉村,坂口,474(+4),栗東,2023103690,1216,サトノダイヤモンド,サーブルクーリール,Tale of the Cat,0.12156790603354342,3,-0.008243834073565024,3,,
1,2,2,サラサダンディー,牡3,57.0,菱田,岡田,496(-2),栗東,2023105122,1144,デクラレーションオブウォー,ショウナンワヒネ,シンボリクリスエス,-0.7393819973191434,10,-0.029498519039408335,10,,
2,3,3,テイエムスターラン,牡3,57.0,高倉,小椋,522(+2),栗東,2023102582,1130,シニスターミニスター,ストロングハート,サウスヴィグラス,-1.4262374967085263,14,-0.0464552515969331,14,,
3,3,4,ワンダーゾルダート,牡3,54.0,▲川端,羽月,434(0),栗東,2023101714,1195,ゴールドドリーム,クインズモモナ,エイシンフラッシュ,0.380952462360023,2,-0.0018402825913530403,2,,
4,4,5,スナークホクサイ,セ3,57.0,田口,野中,484(+8),栗東,2023102903,1208,クリソベリル,サティーヌアロム,シンボリクリスエス,-1.041253404086212,11,-0.03695096386348493,11,,
5,4,6,バロニアル,牡3,57.0,藤懸,柴田,510(0),栗東,2023103213,1138,ダノンスマッシュ,ラブフール,ゼンノロブロイ,-1.2108891109834703,13,-0.041138842269671766,13,,
6,5,7,ライクアストリーク,牡3,55.0,△鷲頭,奥村豊,460(-4),栗東,2023101670,1202,フィレンツェファイア,マイスクエアワン,Giant's Causeway,-0.05909329762091835,7,-0.012703904228950867,7,,
7,5,8,ニシノエビガタメ,牡3,57.0,西塚,吉村,458(0),栗東,2023106271,1200,シルバーステート,タッチオブピンク,Heliostatic,-0.051316336404109465,5,-0.012511910641390012,5,,
8,6,9,ハイビッグゴールド,牡3,57.0,幸,谷,480(-2),栗東,2023102773,732,ロジャーバローズ,プリティホワイト,クロフネ,-0.6928704965217478,9,-0.028350267215594326,9,,
9,6,10,サンオブザサン,牡3,57.0,斎藤,高橋一,502(0),栗東,2023101979,1178,タニノフランケル,ソレイユフルール,マツリダゴッホ,0.7373871137618769,1,0.006959191335009815,1,,
10,7,11,グンバイ,牡3,54.0,▲田山,高橋一,478(-2),栗東,2023106643,1220,ジャスタウェイ,シャイニングスカイ,ディープインパクト,-1.163248691712965,12,-0.03996272029173541,12,,
11,7,12,キタノトレボーネ,牡3,57.0,中井,坂口,466(0),栗東,2023100664,1141,ゴールドドリーム,トーセンマリオン,トーセンブライト,-0.05233201502487512,6,-0.012536985188732254,6,,
12,8,13,ミランド,牡3,57.0,鮫島駿,小林,450(+2),栗東,2023102836,1157,ゴールドドリーム,ラレッサングル,キングカメハメハ,0.11912379579644972,4,-0.008304173000265546,4,,
13,8,14,ヴェロシア,牡3,57.0,北村友,安田,502(+2),栗東,2023100929,1102,ロードカナロア,シュンドルボン,ハーツクライ,-0.2288111417492741,8,-0.01689381039652561,8,,
