,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,スイーヴル,牝3,55.0,長岡,小椋,458(+6),栗東,2023101660,01142,タワーオブロンドン,オトヒメ,Pivotal,-0.3479141518262696,1
1,2,2,ミツカネメルクリオ,牡3,54.0,▲小林美,清水英,450(+2),美浦,2023101346,01206,サトノアラジン,ゼンダンラビット,キングズベスト,-1.777381334514972,3
2,3,3,ワイドアルバ,牡3,57.0,鮫島駿,藤野,482(-2),栗東,2023106359,01157,タワーオブロンドン,オールアイキャンセイイズワウ,Street Cry,-4.013535527307987,10
3,4,4,メイワメジェール,牝3,51.0,★河原田,茶木,468(+2),栗東,2023100732,01204,コントレイル,エストレチャダ,Offlee Wild,-3.3950522404584715,7
4,5,5,モノノケ,牝3,55.0,岩田康,宮地,472(+4),栗東,2023100695,05203,マテラスカイ,ツインエンジェルズ,ハーツクライ,-3.7208036758386864,9
5,5,6,クロナ,牡3,57.0,小沢,高橋亮,458(0),栗東,2023107374,01185,スワーヴリチャード,アーマイン,Exchange Rate,-3.5853177973487287,8
6,6,7,ダイシンレスター,牡3,57.0,松岡,戸田,454(+10),美浦,2023104317,01085,ダイシンサンダー,タガノカピート,ケイムホーム,-4.08625450852375,11
7,6,8,チュラヴェール,牝3,55.0,丹内,松山,448(+4),美浦,2023104607,01091,ホッコータルマエ,カウントオンミー,バブルガムフェロー,-1.8471400923182761,4
8,7,9,マーゴットオネイロ,牡3,57.0,横山武,小林,478(-6),栗東,2023105310,01170,ゴールドドリーム,デイトユアドリーム,トワイニング,-0.9376138493532987,2
9,7,10,イングラム,牡3,55.0,△舟山,千田,502(+4),栗東,2023102427,01221,モズアスコット,ヤマトサクラコ,ディープインパクト,-4.4252227319532045,12
10,8,11,クルビデンス,牡3,54.0,▲大久保,菊川,464(+6),美浦,2023104001,01194,アメリカンペイトリオット,シャインレジーナ,アグネスタキオン,-2.2930788499826718,6
11,8,12,トコシエノヒトミ,牝3,54.0,☆長浜,小笠,410(+6),美浦,2023102699,01214,ゴールドドリーム,サテラノサト,ディープブリランテ,-2.2809319897846394,5
