,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,サカトクフェイス,牡3,57.0,長岡,今野,444(-2),---.-,13,栗東,2023101898,1142,ダノンスマッシュ,マナブフェイス,ブラックタイド,-1.0539605055162546,15,-0.071539626904065,9,-1.2459096543904853,7,52.4,48.2,54.7,3
1,1,2,セイウンダイフク,牡3,55.0,◇永島,宮本,430(-6),---.-,11,栗東,2023104705,1187,サンダースノー,ニシノマメフク,スペシャルウィーク,0.9242921436003652,1,0.0429016665147868,13,-0.2756241697457068,16,44.3,45.0,42.7,13
2,2,3,シンゼンコジロウ,牡3,55.0,◇今村,飯田,450(-2),---.-,10,栗東,2023107480,1193,サンダースノー,ポラリス,キングカメハメハ,0.4200625890672242,5,0.0359534803415592,11,-0.6720727232731175,9,48.8,46.2,45.9,11
3,2,4,タマモスカイ,牡3,55.0,△田山,茶木,484(-10),---.-,6,栗東,2023102469,1220,ナダル,タマモマナムスメ,マンハッタンカフェ,-0.2479202919771661,9,-0.0973693309780069,3,-0.3642664653220628,8,54.6,48.1,54.4,5
4,3,5,ソルアモール,牝3,55.0,団野,宮本,458(-2),---.-,8,栗東,2023100906,1180,ドレフォン,エスカナール,スペシャルウィーク,0.1617643555157489,7,-0.0798167741283246,6,-0.1220672218126772,2,53.4,54.2,54.0,6
5,3,6,シャンパンスター,牝3,55.0,国分恭,緒方,416(-2),---.-,2,栗東,2023100112,1124,ダノンレジェンド,ミヤコスマイル,キングカメハメハ,0.9126355117490343,2,0.0218833025650432,1,-0.144804735401839,3,75.7,50.1,56.6,2
6,4,7,シャドウクライ,牝3,55.0,松山,杉山佳,460(+4),---.-,9,栗東,2023103507,1126,アドマイヤマーズ,パールシャドウ,クロフネ,-0.4156118844402245,10,-0.0810091167372386,4,-0.6214215153400342,15,54.0,45.2,53.7,7
7,4,8,アイランド,牡3,57.0,吉村,清水久,474(-4),---.-,1,栗東,2023100944,1216,シニスターミニスター,ツインキャンドル,キングカメハメハ,0.7711171556522107,3,0.0656890088720542,7,-0.5631580398360027,1,53.3,86.4,76.9,1
8,5,9,オセアスターライト,セ3,57.0,角田和,東田,458(-2),---.-,14,栗東,2023100058,1186,トーセンラー,プレミアステイタス,タニノギムレット,-0.7472592612015062,14,-0.0182515657048601,15,-1.3340397057210545,13,35.1,45.7,36.6,15
9,5,10,ディープシャロー,牡3,57.0,太宰,本田,508(+8),---.-,7,栗東,2023100621,1037,ドレフォン,ニカモレイ,More Than Ready,-0.4404387692233885,11,-0.0980409462953119,8,-0.5289303364836375,12,53.2,46.0,51.5,8
10,6,11,ルヴレアール,牡3,54.0,▲森田,角田,470(+4),---.-,12,栗東,2023106319,1222,リアルスティール,ラカリフォルニー,Dutch Art,0.3372076924459059,6,0.0429016665147868,12,-0.7915116150868922,10,45.3,46.1,44.9,12
11,6,12,テイエムロングダン,牡3,57.0,国分優,浜田,458(-2),---.-,15,栗東,2023101334,1125,ストロングリターン,テイエムリヴィエラ,テイエムオペラオー,-0.7430808743358821,13,-0.0182515657048601,16,-1.3303680409009162,11,34.8,46.1,36.3,16
12,7,13,ラッキーヴォーグ,牡3,57.0,藤懸,牧田,470(-12),---.-,5,栗東,2023105657,1138,タリスマニック,サンタレジーナ,タニノギムレット,-0.513917300960377,12,-0.0980409462953119,2,-0.5934979671723323,4,54.7,49.3,54.4,4
13,7,14,アップターンデイ,牡3,57.0,高杉,藤岡健,488(-4),---.-,4,栗東,2023106772,1213,ニューイヤーズデイ,アップワードスパイラル,Teofilo,0.6437364525908794,4,0.0429016665147868,10,-0.5221562630862873,6,51.4,49.0,49.1,10
14,8,15,グレートアゲイン,牡3,55.0,△柴田裕,牧浦,476(-4),---.-,16,栗東,2023100567,1212,バンドワゴン,ハッピーロングラン,ネオユニヴァース,-1.0712353716553125,16,-0.0182515657048601,14,-1.6187265299844606,14,35.3,45.3,36.8,14
15,8,16,ルージュエテルナ,牝3,55.0,西塚,友道,480(-8),---.-,3,栗東,2023103330,1200,エピファネイア,インデリブル,Tiznow,-0.0051750414484952,8,-0.0641760979149726,5,-0.3737321962705546,5,53.8,49.1,51.4,9
