,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,リリエンフェルト,牝5,56.0,石田,上原博,466(-4),71.7,11,美浦,2021104927,1203,ルーラーシップ,リリカルホワイト,ダイワメジャー,-0.7132094231863861,12,-0.6015880985958537,12,-0.1958984900116981,8,-2.40578156508852,11,0.0140191410819641,0.010930467537812,39.8,45.7,41.4,11
1,2,2,パッセージピーク,牡3,55.0,三浦,中舘,500(+2),17.4,4,美浦,2023107275,1122,アドマイヤマーズ,メリート,Redoute's Choice,-0.2134856087269697,5,-0.1879742375719084,1,-0.6962210109228149,2,-0.6741618443886823,5,0.0792053095749445,0.0450410645092598,75.1,55.6,76.0,1
2,3,3,ビーンスターク,セ5,58.0,江田照,粕谷,472(-10),102.4,12,美浦,2021103578,689,ロジャーバローズ,アートオブビーン,アグネスデジタル,-0.6749680524032817,11,-0.4604618902470995,10,-1.8516670389108003,11,-1.8315449239254933,9,0.0248948326322249,0.0076534621334093,40.3,44.1,40.6,12
3,4,4,テイキットイージー,牡5,58.0,菊沢,萱野,440(0),18.6,6,美浦,2021101088,1161,ゴールドシップ,コスモマイルール,ルールオブロー,-0.379542026672318,7,-0.9086440374711414,8,-0.3380528526538011,3,-1.1520360452660776,7,0.0491152283193069,0.0421351893796301,46.7,50.2,44.4,8
4,5,5,ドリームプレミア,牡3,55.0,坂井,友道,498(-2),1.7,1,栗東,2023105571,1163,ワールドプレミア,アドマイヤシリウス,キングカメハメハ,2.754912102580967,1,0.346210997341333,3,-0.4537168540215025,12,0.4874539132238475,1,0.2530682193988855,0.4610085426241885,55.2,43.6,50.1,5
5,5,6,マイネルボス,牡4,58.0,柴田大,畠山,438(-2),46.1,10,美浦,2022106770,1009,ダノンバラード,オーサムボス,Street Boss,-0.2626560099085132,6,-0.2249942375360641,5,-0.1649255778825943,4,-0.466601668542972,4,0.0974757386330651,0.0170003150208486,50.8,50.1,45.9,7
6,6,7,オメガストリーム,牝4,56.0,野中,田中勝,450(-4),23.4,5,美浦,2022105292,1158,アルアイン,キャットタング,Tapit,-0.4414314780345474,8,-0.6577935681803778,6,-1.3405410806218263,6,-1.2293568203599263,8,0.0454607065568728,0.0334920736094495,50.6,46.5,57.0,3
7,6,8,リュクスパトロール,牝3,53.0,丸田,加藤士,428(-2),34.2,7,美浦,2023105259,1117,ビーチパトロール,レイトブルーマー,ジャングルポケット,-0.0020145203737277,4,-0.4411160427301409,9,-1.163308878432033,5,-0.0809107879583331,3,0.1433507455311638,0.0229156293117286,42.5,49.6,43.3,10
8,7,9,ビリングス,セ4,58.0,嶋田,手塚久,450(-18),23.0,8,美浦,2022104930,1134,フィエールマン,トレジャーステイト,Oasis Dream,-0.6366208982492617,10,-0.575534364657757,11,-0.8111994055367773,7,-3.2389897791069293,12,0.0060934559603708,0.0340745444548313,40.2,46.1,43.5,9
9,7,10,オブラプリーマ,牝3,53.0,荻野極,上原佑,424(+14),6.3,3,美浦,2023100237,1160,ヴァンゴッホ,マナローラ,ハーツクライ,0.0795333521088177,3,-0.4234512249116013,2,-0.887693117374493,9,-0.984537493882688,6,0.0580710747569052,0.1243991305493841,57.5,44.4,52.3,4
10,8,11,ノリマル,牡3,55.0,田辺,尾形,466(-10),4.6,2,美浦,2023106079,1075,ブリックスアンドモルタル,ガジュマル,ヴィクトワールピサ,1.0995275703168117,2,0.2517117355081846,4,-0.5654294009536665,1,0.3233796825925918,2,0.2147736888279988,0.1703727222741566,54.0,79.7,58.3,2
11,8,12,マーキュリーダイム,牝4,56.0,木幡巧,室井,554(0),25.3,9,美浦,2022105116,1162,Medaglia d'Oro,ラッキーダイム,Creative Cause,-0.6100450074515896,9,-0.814944016523774,7,-2.0057807932451994,10,-2.373999194868792,10,0.0144718587262972,0.0309768585953012,47.3,44.4,47.4,6
