,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,ガラベイヤ,牝3,53.0,石川,加藤士,,1.6,1,美浦,2023107279,1150,アルアイン,モルジアナ,Dubawi,1.784709044046347,1,-0.0095677076821335,13,-0.5665845496671971,5,-0.5008123458480143,13,0.0508691804581752,0.1821760652311493
1,1,2,ダンケルド,セ4,58.0,杉原,森一,,16.8,4,美浦,2022104722,1135,ミッキーアイル,カレドニアレディ,Firebreak,-0.2474238655195717,8,-0.0139538162712955,15,-0.7822800487930669,10,-0.1712248571762588,5,0.0707282265251431,0.0392928768145616
2,2,3,ヴァンヴィーヴ,牡5,58.0,戸崎圭,牧浦,,353.6,16,栗東,2021101399,5386,ダイワメジャー,サンドスラッシュ,Holy Roman Emperor,1.5738441897301432,2,-0.0041300848961758,9,-1.0168506244271402,14,-0.6009013032570063,16,0.0460242435238159,0.1742553667428384
3,2,4,カリーシ,牝5,56.0,大野,武井,,25.2,7,美浦,2021105833,1096,モーリス,ラクアミ,ダイワメジャー,-0.9506937048769688,14,-0.0095677076821335,13,-0.6769875127744103,9,-0.5046129829098656,14,0.0506762120992513,0.0167693449166748
4,3,5,マイネルラッシュ,牡6,58.0,武藤,水野,,27.2,8,美浦,2020105803,1169,ダイワメジャー,ワンダフルラッシュ,バゴ,-1.017572580453839,15,-0.0016147461408949,3,-0.5061065460346179,4,-0.4139772566643285,8,0.055483869417116,0.0079128794374832
5,3,6,ヴェントゥーラ,牝4,56.0,田辺,小栗,,13.6,3,栗東,2022104186,1075,サートゥルナーリア,リボンフラワー,ディープインパクト,1.4985583451144735,3,-0.0041300848961758,9,-0.5838057076042851,6,-0.3601826655894077,7,0.058550341839682,0.1571715072582464
6,4,7,キョウエイボニータ,牝4,56.0,松岡,伊藤伸,,27.2,9,美浦,2022101906,1085,イスラボニータ,キョウエイレガシー,ハービンジャー,-0.9356709324311224,13,-0.0078194421458778,12,-0.6098637140545353,7,-0.4169117296209346,9,0.0553212921587322,0.0130337347482448
7,4,8,セイウンデセオ,牝5,56.0,菊沢,小手川,,39.2,10,美浦,2021100248,1161,ヴィクトワールピサ,ラソ,パイロ,-0.7137549833744881,12,-0.0041300848961758,9,-0.8832517218244895,12,-0.4990306724174299,12,0.0509598935119557,0.0308297956545021
8,5,9,イグニション,牡6,58.0,石橋脩,畑端,,88.4,13,栗東,2020103898,1077,スノードラゴン,シャルマンレーヌ,ダンスインザダーク,-1.0740691007622531,16,-0.0026497167974026,5,-0.2586548519763626,2,-0.4732414475398081,11,0.0522912025949099,0.0076852798371721
9,5,10,プリティディーヴァ,牝4,56.0,坂井,田中博,,88.4,14,美浦,2022110015,1163,Kingman,Assurance,Teofilo,-0.5640864467071212,11,-0.0026497167974026,5,-0.3812147308115741,3,-0.5189696651363875,15,0.0499538674689449,0.0408966677049518
10,6,11,ファビュラススター,牡5,58.0,原,大竹,,88.4,15,美浦,2021103478,1184,エピファネイア,ヴンダーゾンネ,グラスワンダー,-0.3716825227516194,10,-0.0026497167974026,5,-1.1732875242484333,15,-0.0824816535803917,4,0.0772918054644898,0.0252067511640583
11,6,12,ルージュブリッツ,牝3,53.0,津村,古賀慎,,4.8,2,美浦,2023101558,1092,エイシンフラッシュ,ブランシェール,ディープインパクト,-0.2777584359232519,9,0.0043870368971679,2,-1.5013672399414482,16,-0.3473226783544694,6,0.0593081608155861,0.0488765053059181
12,7,13,ハッピーエンジェル,牝3,53.0,三浦,武市,,17.6,5,美浦,2023100797,1122,ジョーカプチーノ,クラウンハッピー,スウェプトオーヴァーボード,1.3469334283459988,4,-0.0026497167974026,5,-0.8892160207265464,13,-0.0319663811985476,3,0.0812965201326126,0.1252460448464151
13,7,14,ポッドデスペア,牡3,55.0,荻野極,畠山,,70.7,12,美浦,2023103983,1160,ミスターメロディ,ラフィヌモン,キングカメハメハ,-0.1596523887915183,6,0.0075839343901447,1,-0.6275736433985669,8,0.0875746459590209,2,0.0916195099753849,0.0237152274265401
14,8,15,ロードトレゾール,牡5,58.0,団野,清水久,,23.5,6,栗東,2021100144,1180,ロードカナロア,キープセイク,Sea The Stars Sea the Stars,0.3491454968418752,5,-0.0041300848961758,9,-0.8147704354860882,11,-0.461085969918988,10,0.0529307059983057,0.0932063589554717
15,8,16,クレオズニードル,牝4,56.0,野中,和田勇,,58.9,11,美浦,2022101629,1158,ファインニードル,アーキオロジー,Seeking the Gold,-0.240825542487085,7,-0.0147909316437176,16,-0.1436828941034041,1,0.1414917700017409,1,0.0966949680158938,0.0137255939557715
