,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ニシノクードクール,牝4,57.0,▲坂口,武藤,,28.7,7,美浦,2022106999,01211,ホークビル,セイウンリリシイ,ダイワメジャー
1,2,2,スティルシャイニン,牡4,60.0,上野,天間,,44.1,8,美浦,2022103884,01087,メイショウボーラー,コウユーヒカリママ,ロックオブジブラルタル
2,3,3,ブルーセルリアン,牡4,57.0,▲井上,宮,,125.7,10,栗東,2022102325,01151,エイシンフラッシュ,チェキ,ゴールドアリュール
3,4,4,クリアクォーツ,牡4,60.0,大江圭,的場,,62.0,9,美浦,2022101587,01120,タワーオブロンドン,クリアソウル,アグネスデジタル
4,5,5,ブランフォルテ,牡4,57.0,▲水沼,辻,,20.4,5,美浦,2022100527,01201,シルバーステート,トーセンバスケット,ブライアンズタイム
5,6,6,フラムリンガム,セ5,60.0,伴,柄崎,,18.2,4,美浦,2021104910,01149,ダイワメジャー,ファルネーゼ,フレンチデピュティ
6,6,7,シュエットアムール,牝4,57.0,▲土田,加藤和,,154.8,11,美浦,2022103517,01198,ゴールドシップ,シュエットヌーベル,スマートファルコン
7,7,8,メイショウソウセキ,牡4,60.0,難波,松永幹,,3.3,2,栗東,2022103255,01066,マジェスティックウォリアー,メイショウコブシ,スペシャルウィーク
8,7,9,アウスヴァール,セ8,60.0,森一,昆,,1.7,1,栗東,2018101010,01139,ノヴェリスト,カネツスペシャル,スペシャルウィーク
9,8,10,バニーラビット,牡4,60.0,小牧加,武幸,,7.9,3,栗東,2022104929,01196,アドマイヤマーズ,トレジャリング,Havana Gold
10,8,11,エイカイボクサー,牡5,60.0,草野,久保田,,27.3,6,美浦,2021105298,01113,リアルインパクト,レニーズゴットジップ,City Zip
