,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
0,芝,1200,全,all,4.18,6.76,499,63,69,74,66,75,45,60,47,37,47,47,44,46,41,36,35,31,35,17,25,14,12,10,14,4,4
1,芝,1200,良,all,4.2,6.88,379,44,54,59,52,55,32,46,37,28,33,34,34,36,33,29,25,22,25,14,19,12,10,8,9,4,4
2,芝,1200,稍重,all,3.79,5.59,42,7,4,7,8,7,5,2,2,4,4,5,4,7,4,3,2,1,2,2,2,1,0,0,1,0,0
3,芝,1200,重,all,4.36,7.07,54,7,8,7,4,12,3,7,6,3,6,6,4,3,3,4,6,6,7,0,2,0,1,0,3,0,0
4,芝,1200,不良,all,4.61,7.78,24,5,3,1,2,1,5,5,2,2,4,2,2,0,1,0,2,2,1,1,2,1,1,2,1,0,0
5,芝,1200,全,未勝利,4.14,6.87,102,16,9,18,11,17,14,9,8,7,11,5,8,14,10,4,6,7,8,8,6,2,1,2,2,0,1
6,芝,1200,良,未勝利,4.21,7.2,75,11,6,13,9,12,11,8,5,6,7,2,6,9,8,3,4,5,6,7,5,2,1,2,1,0,1
7,芝,1200,稍重,未勝利,3.8,5.73,15,3,1,3,2,3,2,0,1,1,2,2,1,4,1,0,1,0,1,1,0,0,0,0,1,0,0
8,芝,1200,重,未勝利,3.95,6.39,12,2,2,2,0,2,1,1,2,0,2,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0
9,芝,1200,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1200,全,新馬,5.02,5.74,33,3,4,5,3,4,5,5,4,3,4,5,2,4,4,2,3,2,3,0,1,0,0,0,0,0,0
11,芝,1200,良,新馬,4.72,5.56,24,3,3,3,2,4,3,3,3,3,3,3,1,4,2,1,1,2,3,0,1,0,0,0,0,0,0
12,芝,1200,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,芝,1200,重,新馬,5.17,5.17,6,0,0,2,1,0,1,1,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14,芝,1200,不良,新馬,5.0,5.33,3,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,芝,1200,全,1勝クラス,4.16,6.99,118,14,18,16,17,15,12,17,9,8,8,17,14,6,4,8,10,6,8,5,8,4,4,1,6,0,1
16,芝,1200,良,1勝クラス,4.24,7.14,88,9,14,12,13,11,9,14,6,6,5,13,11,5,3,6,8,5,5,4,5,4,3,0,4,0,1
17,芝,1200,稍重,1勝クラス,3.33,4.83,6,1,1,1,2,0,1,0,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18,芝,1200,重,1勝クラス,4.11,7.5,12,0,2,3,1,4,0,1,1,0,0,1,2,1,1,1,1,1,2,0,1,0,0,0,1,0,0
19,芝,1200,不良,1勝クラス,4.34,8.08,12,4,1,0,1,0,2,2,2,1,3,1,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0
20,芝,1200,全,2勝クラス,4.01,6.16,75,9,14,12,11,12,2,8,7,6,10,6,5,7,9,9,5,2,7,0,3,3,1,1,0,0,1
21,芝,1200,良,2勝クラス,4.07,6.48,60,6,12,11,9,9,1,5,7,3,8,6,5,6,8,7,4,1,5,0,2,2,1,1,0,0,1
22,芝,1200,稍重,2勝クラス,4.34,8.16,6,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
23,芝,1200,重,2勝クラス,3.78,5.0,9,2,2,0,1,2,0,2,0,2,2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
24,芝,1200,不良,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,芝,1200,全,3勝クラス,4.56,7.27,51,4,7,8,9,10,4,5,4,3,1,3,6,6,6,5,4,5,2,2,3,1,1,1,1,1,0
26,芝,1200,良,3勝クラス,4.71,7.36,39,3,5,6,7,8,2,4,4,3,0,2,4,5,4,4,3,4,2,1,2,1,1,1,1,1,0
27,芝,1200,稍重,3勝クラス,3.89,5.89,9,1,1,2,2,1,1,1,0,0,1,1,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0
28,芝,1200,重,3勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,芝,1200,不良,3勝クラス,4.33,8.0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
30,芝,1200,全,オープン,4.18,7.02,105,15,14,12,14,15,6,15,14,8,12,10,7,7,6,8,7,8,7,1,3,4,4,4,5,3,1
31,芝,1200,良,オープン,4.07,7.01,78,10,11,11,11,9,4,11,11,5,9,7,5,5,6,8,5,4,4,1,3,3,3,3,3,3,1
32,芝,1200,稍重,オープン,4.16,4.33,6,1,1,0,1,2,0,0,1,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
33,芝,1200,重,オープン,4.67,8.67,15,3,2,0,1,4,1,2,2,1,2,2,0,0,0,0,2,2,3,0,0,0,1,0,2,0,0
34,芝,1200,不良,オープン,4.66,7.5,6,1,0,1,1,0,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
35,芝,1400,全,all,4.58,7.39,698,75,79,94,99,91,81,85,94,53,61,46,66,56,64,57,38,38,39,39,28,20,24,24,18,14,13
36,芝,1400,良,all,4.57,7.44,541,59,66,69,75,70,69,64,69,43,50,32,54,40,48,42,31,27,28,36,27,11,23,16,15,10,8
37,芝,1400,稍重,all,5.05,7.9,73,6,6,11,11,10,6,12,11,4,3,8,4,7,6,9,4,6,5,2,1,3,1,5,1,1,3
38,芝,1400,重,all,4.73,7.58,63,6,4,9,11,10,4,8,11,5,4,4,5,7,7,5,3,4,5,1,0,5,0,3,2,3,0
39,芝,1400,不良,all,4.06,5.78,21,4,3,5,2,1,2,1,3,1,4,2,3,2,3,1,0,1,1,0,0,1,0,0,0,0,2
40,芝,1400,全,未勝利,4.49,7.95,196,20,23,29,26,25,26,22,25,11,13,12,16,17,17,17,9,13,7,12,12,7,10,7,6,5,5
41,芝,1400,良,未勝利,4.44,7.92,142,14,17,21,19,19,23,14,15,8,9,7,13,11,11,13,8,9,5,11,12,3,10,4,4,3,1
42,芝,1400,稍重,未勝利,5.46,10.12,15,1,2,1,1,2,1,4,3,1,0,2,0,1,1,1,0,1,1,1,0,1,0,2,1,0,2
43,芝,1400,重,未勝利,4.85,8.48,21,1,2,3,4,3,1,3,4,1,1,1,1,3,2,2,1,2,1,0,0,2,0,1,1,2,0
44,芝,1400,不良,未勝利,4.04,5.92,18,4,2,4,2,1,1,1,3,1,3,2,2,2,3,1,0,1,0,0,0,1,0,0,0,0,2
