,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
0,芝,1200,全,all,4.06,5.93,72,10,10,14,8,10,7,8,5,6,9,7,7,8,7,7,4,5,3,4,1,0,2,0,2,0,0
1,芝,1200,良,all,3.98,5.82,60,9,9,12,5,8,6,8,3,6,7,7,5,6,6,7,2,3,3,4,1,0,2,0,1,0,0
2,芝,1200,稍重,all,4.42,6.5,12,1,1,2,3,2,1,0,2,0,2,0,2,2,1,0,2,2,0,0,0,0,0,0,1,0,0
3,芝,1200,重,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,芝,1200,不良,all,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,芝,1200,全,未勝利,3.75,6.42,12,3,1,3,0,2,1,1,1,2,1,1,1,3,0,0,0,0,1,1,0,0,1,0,1,0,0
6,芝,1200,良,未勝利,3.75,6.42,12,3,1,3,0,2,1,1,1,2,1,1,1,3,0,0,0,0,1,1,0,0,1,0,1,0,0
7,芝,1200,稍重,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,芝,1200,重,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,芝,1200,不良,未勝利,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,芝,1200,全,新馬,5.0,6.56,9,1,0,1,1,2,2,1,1,1,0,1,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0
11,芝,1200,良,新馬,5.0,6.56,9,1,0,1,1,2,2,1,1,1,0,1,0,1,2,0,1,1,1,1,0,0,0,0,0,0,0
