,race_type,course_len,ground_state,class,win_return
0,芝,1200,全,all,980.9
1,芝,1200,良,all,1039.0
2,芝,1200,稍重,all,580.0
3,芝,1200,重,all,500.0
4,芝,1200,不良,all,
5,芝,1200,全,未勝利,722.5
6,芝,1200,良,未勝利,722.5
7,芝,1200,稍重,未勝利,
8,芝,1200,重,未勝利,
9,芝,1200,不良,未勝利,
10,芝,1200,全,新馬,503.3
11,芝,1200,良,新馬,503.3
12,芝,1200,稍重,新馬,
13,芝,1200,重,新馬,
14,芝,1200,不良,新馬,
15,芝,1200,全,1勝クラス,651.4
16,芝,1200,良,1勝クラス,716.0
17,芝,1200,稍重,1勝クラス,480.0
18,芝,1200,重,1勝クラス,500.0
19,芝,1200,不良,1勝クラス,
20,芝,1200,全,2勝クラス,922.5
21,芝,1200,良,2勝クラス,967.1
22,芝,1200,稍重,2勝クラス,610.0
23,芝,1200,重,2勝クラス,
24,芝,1200,不良,2勝クラス,
25,芝,1200,全,3勝クラス,536.0
26,芝,1200,良,3勝クラス,536.0
27,芝,1200,稍重,3勝クラス,
28,芝,1200,重,3勝クラス,
29,芝,1200,不良,3勝クラス,
30,芝,1200,全,オープン,2225.0
31,芝,1200,良,オープン,2540.0
32,芝,1200,稍重,オープン,650.0
33,芝,1200,重,オープン,
34,芝,1200,不良,オープン,
35,芝,1600,全,all,764.9
36,芝,1600,良,all,812.5
37,芝,1600,稍重,all,510.0
38,芝,1600,重,all,516.0
39,芝,1600,不良,all,
40,芝,1600,全,未勝利,702.6
41,芝,1600,良,未勝利,722.0
42,芝,1600,稍重,未勝利,895.0
43,芝,1600,重,未勝利,365.0
44,芝,1600,不良,未勝利,
45,芝,1600,全,新馬,456.7
46,芝,1600,良,新馬,456.7
47,芝,1600,稍重,新馬,265.0
48,芝,1600,重,新馬,840.0
49,芝,1600,不良,新馬,
50,芝,1600,全,1勝クラス,458.5
51,芝,1600,良,1勝クラス,458.5
52,芝,1600,稍重,1勝クラス,
53,芝,1600,重,1勝クラス,
54,芝,1600,不良,1勝クラス,
55,芝,1600,全,2勝クラス,713.8
56,芝,1600,良,2勝クラス,836.7
57,芝,1600,稍重,2勝クラス,230.0
58,芝,1600,重,2勝クラス,460.0
59,芝,1600,不良,2勝クラス,
60,芝,1600,全,3勝クラス,1156.0
61,芝,1600,良,3勝クラス,1156.0
62,芝,1600,稍重,3勝クラス,
63,芝,1600,重,3勝クラス,
64,芝,1600,不良,3勝クラス,
65,芝,1600,全,オープン,1475.6
66,芝,1600,良,オープン,1591.3
67,芝,1600,稍重,オープン,
68,芝,1600,重,オープン,550.0
69,芝,1600,不良,オープン,
70,芝,1800,全,all,1239.7
71,芝,1800,良,all,1168.8
72,芝,1800,稍重,all,964.0
73,芝,1800,重,all,2010.0
74,芝,1800,不良,all,
75,芝,1800,全,未勝利,597.5
76,芝,1800,良,未勝利,668.3
77,芝,1800,稍重,未勝利,220.0
78,芝,1800,重,未勝利,550.0
79,芝,1800,不良,未勝利,
