,race_type,course_len,ground_state,class,馬体重
0,芝,1000,全,all,
1,芝,1000,良,all,
2,芝,1000,稍重,all,
3,芝,1000,重,all,
4,芝,1000,不良,all,
5,芝,1000,全,未勝利,
6,芝,1000,良,未勝利,
7,芝,1000,稍重,未勝利,
8,芝,1000,重,未勝利,
9,芝,1000,不良,未勝利,
10,芝,1000,全,新馬,
11,芝,1000,良,新馬,
12,芝,1000,稍重,新馬,
13,芝,1000,重,新馬,
14,芝,1000,不良,新馬,
15,芝,1000,全,1勝クラス,
16,芝,1000,良,1勝クラス,
17,芝,1000,稍重,1勝クラス,
18,芝,1000,重,1勝クラス,
19,芝,1000,不良,1勝クラス,
20,芝,1000,全,2勝クラス,
21,芝,1000,良,2勝クラス,
22,芝,1000,稍重,2勝クラス,
23,芝,1000,重,2勝クラス,
24,芝,1000,不良,2勝クラス,
25,芝,1000,全,3勝クラス,
26,芝,1000,良,3勝クラス,
27,芝,1000,稍重,3勝クラス,
28,芝,1000,重,3勝クラス,
29,芝,1000,不良,3勝クラス,
30,芝,1000,全,オープン,
31,芝,1000,良,オープン,
32,芝,1000,稍重,オープン,
33,芝,1000,重,オープン,
34,芝,1000,不良,オープン,
35,芝,1200,全,all,467.8
36,芝,1200,良,all,469.5
37,芝,1200,稍重,all,453.5
38,芝,1200,重,all,
39,芝,1200,不良,all,
40,芝,1200,全,未勝利,459.3
41,芝,1200,良,未勝利,459.9
42,芝,1200,稍重,未勝利,452.0
43,芝,1200,重,未勝利,
44,芝,1200,不良,未勝利,
45,芝,1200,全,新馬,431.0
46,芝,1200,良,新馬,431.0
47,芝,1200,稍重,新馬,
48,芝,1200,重,新馬,
49,芝,1200,不良,新馬,
50,芝,1200,全,1勝クラス,486.0
51,芝,1200,良,1勝クラス,488.2
52,芝,1200,稍重,1勝クラス,477.0
53,芝,1200,重,1勝クラス,
54,芝,1200,不良,1勝クラス,
55,芝,1200,全,2勝クラス,475.0
56,芝,1200,良,2勝クラス,488.4
57,芝,1200,稍重,2勝クラス,408.0
58,芝,1200,重,2勝クラス,
59,芝,1200,不良,2勝クラス,
60,芝,1200,全,3勝クラス,494.0
61,芝,1200,良,3勝クラス,494.0
62,芝,1200,稍重,3勝クラス,
63,芝,1200,重,3勝クラス,
64,芝,1200,不良,3勝クラス,
65,芝,1200,全,オープン,464.0
66,芝,1200,良,オープン,464.0
67,芝,1200,稍重,オープン,
68,芝,1200,重,オープン,
69,芝,1200,不良,オープン,
70,芝,1800,全,all,464.6
71,芝,1800,良,all,463.9
72,芝,1800,稍重,all,468.0
73,芝,1800,重,all,
74,芝,1800,不良,all,
75,芝,1800,全,未勝利,469.5
76,芝,1800,良,未勝利,469.4
77,芝,1800,稍重,未勝利,470.0
78,芝,1800,重,未勝利,
79,芝,1800,不良,未勝利,
80,芝,1800,全,新馬,442.4
81,芝,1800,良,新馬,449.0
82,芝,1800,稍重,新馬,416.0
83,芝,1800,重,新馬,
84,芝,1800,不良,新馬,
85,芝,1800,全,1勝クラス,473.2
86,芝,1800,良,1勝クラス,466.5
87,芝,1800,稍重,1勝クラス,500.0
88,芝,1800,重,1勝クラス,
89,芝,1800,不良,1勝クラス,
90,芝,1800,全,2勝クラス,476.7
91,芝,1800,良,2勝クラス,476.7
92,芝,1800,稍重,2勝クラス,
93,芝,1800,重,2勝クラス,
94,芝,1800,不良,2勝クラス,
95,芝,1800,全,3勝クラス,486.0
96,芝,1800,良,3勝クラス,
97,芝,1800,稍重,3勝クラス,486.0
98,芝,1800,重,3勝クラス,
99,芝,1800,不良,3勝クラス,
100,芝,1800,全,オープン,450.0
101,芝,1800,良,オープン,450.0
102,芝,1800,稍重,オープン,
103,芝,1800,重,オープン,
104,芝,1800,不良,オープン,
105,芝,2000,全,all,471.4
106,芝,2000,良,all,472.3
107,芝,2000,稍重,all,458.0
108,芝,2000,重,all,
109,芝,2000,不良,all,
110,芝,2000,全,未勝利,460.3
111,芝,2000,良,未勝利,460.3
112,芝,2000,稍重,未勝利,
113,芝,2000,重,未勝利,
114,芝,2000,不良,未勝利,
115,芝,2000,全,新馬,494.0
116,芝,2000,良,新馬,494.0
117,芝,2000,稍重,新馬,
118,芝,2000,重,新馬,
119,芝,2000,不良,新馬,
120,芝,2000,全,1勝クラス,481.7
121,芝,2000,良,1勝クラス,486.4
122,芝,2000,稍重,1勝クラス,458.0
123,芝,2000,重,1勝クラス,
124,芝,2000,不良,1勝クラス,
125,芝,2000,全,2勝クラス,458.0
126,芝,2000,良,2勝クラス,458.0
127,芝,2000,稍重,2勝クラス,
128,芝,2000,重,2勝クラス,
129,芝,2000,不良,2勝クラス,
130,芝,2000,全,3勝クラス,456.0
131,芝,2000,良,3勝クラス,456.0
132,芝,2000,稍重,3勝クラス,
133,芝,2000,重,3勝クラス,
134,芝,2000,不良,3勝クラス,
135,芝,2000,全,オープン,482.0
136,芝,2000,良,オープン,482.0
137,芝,2000,稍重,オープン,
138,芝,2000,重,オープン,
139,芝,2000,不良,オープン,
140,芝,2600,全,all,475.7
141,芝,2600,良,all,477.3
142,芝,2600,稍重,all,466.0
143,芝,2600,重,all,
144,芝,2600,不良,all,
145,芝,2600,全,未勝利,466.0
146,芝,2600,良,未勝利,466.0
