,race_type,course_len,ground_state,class,馬体重
0,芝,1200,全,all,477.0
1,芝,1200,良,all,485.4
2,芝,1200,稍重,all,449.0
3,芝,1200,重,all,451.3
4,芝,1200,不良,all,
5,芝,1200,全,未勝利,458.0
6,芝,1200,良,未勝利,475.0
7,芝,1200,稍重,未勝利,
8,芝,1200,重,未勝利,441.0
9,芝,1200,不良,未勝利,
10,芝,1200,全,新馬,458.0
11,芝,1200,良,新馬,
12,芝,1200,稍重,新馬,458.0
13,芝,1200,重,新馬,
14,芝,1200,不良,新馬,
15,芝,1200,全,1勝クラス,466.5
16,芝,1200,良,1勝クラス,466.5
17,芝,1200,稍重,1勝クラス,
18,芝,1200,重,1勝クラス,
19,芝,1200,不良,1勝クラス,
20,芝,1200,全,2勝クラス,488.5
21,芝,1200,良,2勝クラス,504.7
22,芝,1200,稍重,2勝クラス,440.0
23,芝,1200,重,2勝クラス,
24,芝,1200,不良,2勝クラス,
25,芝,1200,全,3勝クラス,489.3
26,芝,1200,良,3勝クラス,489.3
27,芝,1200,稍重,3勝クラス,
28,芝,1200,重,3勝クラス,
29,芝,1200,不良,3勝クラス,
30,芝,1200,全,オープン,488.0
31,芝,1200,良,オープン,492.0
32,芝,1200,稍重,オープン,
33,芝,1200,重,オープン,472.0
34,芝,1200,不良,オープン,
35,芝,1400,全,all,465.5
36,芝,1400,良,all,472.6
37,芝,1400,稍重,all,452.8
38,芝,1400,重,all,455.0
39,芝,1400,不良,all,478.0
40,芝,1400,全,未勝利,462.0
41,芝,1400,良,未勝利,466.4
42,芝,1400,稍重,未勝利,
43,芝,1400,重,未勝利,
44,芝,1400,不良,未勝利,440.0
45,芝,1400,全,新馬,441.3
46,芝,1400,良,新馬,452.0
47,芝,1400,稍重,新馬,420.0
48,芝,1400,重,新馬,452.0
49,芝,1400,不良,新馬,
50,芝,1400,全,1勝クラス,440.7
51,芝,1400,良,1勝クラス,434.7
52,芝,1400,稍重,1勝クラス,446.7
53,芝,1400,重,1勝クラス,
54,芝,1400,不良,1勝クラス,
55,芝,1400,全,2勝クラス,485.0
56,芝,1400,良,2勝クラス,505.3
57,芝,1400,稍重,2勝クラス,486.0
58,芝,1400,重,2勝クラス,454.0
59,芝,1400,不良,2勝クラス,
60,芝,1400,全,3勝クラス,487.0
61,芝,1400,良,3勝クラス,500.0
62,芝,1400,稍重,3勝クラス,466.0
63,芝,1400,重,3勝クラス,
64,芝,1400,不良,3勝クラス,516.0
65,芝,1400,全,オープン,472.3
66,芝,1400,良,オープン,482.5
67,芝,1400,稍重,オープン,444.0
68,芝,1400,重,オープン,460.0
69,芝,1400,不良,オープン,
70,芝,1600,全,all,466.2
71,芝,1600,良,all,470.8
72,芝,1600,稍重,all,455.3
73,芝,1600,重,all,470.0
74,芝,1600,不良,all,446.0
75,芝,1600,全,未勝利,454.9
76,芝,1600,良,未勝利,464.8
77,芝,1600,稍重,未勝利,442.3
78,芝,1600,重,未勝利,452.0
79,芝,1600,不良,未勝利,
80,芝,1600,全,新馬,436.7
81,芝,1600,良,新馬,429.5
82,芝,1600,稍重,新馬,456.0
83,芝,1600,重,新馬,
84,芝,1600,不良,新馬,446.0
85,芝,1600,全,1勝クラス,485.8
86,芝,1600,良,1勝クラス,489.2
87,芝,1600,稍重,1勝クラス,456.0
88,芝,1600,重,1勝クラス,488.0
89,芝,1600,不良,1勝クラス,
90,芝,1600,全,2勝クラス,475.7
91,芝,1600,良,2勝クラス,476.8
92,芝,1600,稍重,2勝クラス,470.0
93,芝,1600,重,2勝クラス,
94,芝,1600,不良,2勝クラス,
95,芝,1600,全,3勝クラス,493.5
96,芝,1600,良,3勝クラス,504.0
97,芝,1600,稍重,3勝クラス,483.0
98,芝,1600,重,3勝クラス,
99,芝,1600,不良,3勝クラス,
100,芝,1600,全,オープン,463.2
101,芝,1600,良,オープン,463.5
102,芝,1600,稍重,オープン,462.0
103,芝,1600,重,オープン,
104,芝,1600,不良,オープン,
105,芝,1800,全,all,467.2
106,芝,1800,良,all,466.2
107,芝,1800,稍重,all,456.0
108,芝,1800,重,all,470.3
109,芝,1800,不良,all,501.0
110,芝,1800,全,未勝利,462.6
111,芝,1800,良,未勝利,462.4
112,芝,1800,稍重,未勝利,464.0
113,芝,1800,重,未勝利,436.0
114,芝,1800,不良,未勝利,490.0
115,芝,1800,全,新馬,452.0
116,芝,1800,良,新馬,449.3
117,芝,1800,稍重,新馬,448.0
118,芝,1800,重,新馬,458.0
119,芝,1800,不良,新馬,
120,芝,1800,全,1勝クラス,482.0
121,芝,1800,良,1勝クラス,498.0
122,芝,1800,稍重,1勝クラス,448.0
123,芝,1800,重,1勝クラス,488.0
124,芝,1800,不良,1勝クラス,512.0
125,芝,1800,全,2勝クラス,477.0
126,芝,1800,良,2勝クラス,475.3
127,芝,1800,稍重,2勝クラス,504.0
128,芝,1800,重,2勝クラス,466.0
129,芝,1800,不良,2勝クラス,
130,芝,1800,全,3勝クラス,455.0
131,芝,1800,良,3勝クラス,486.0
132,芝,1800,稍重,3勝クラス,424.0
133,芝,1800,重,3勝クラス,
134,芝,1800,不良,3勝クラス,
135,芝,1800,全,オープン,472.4
136,芝,1800,良,オープン,460.5
137,芝,1800,稍重,オープン,
138,芝,1800,重,オープン,520.0
139,芝,1800,不良,オープン,
140,芝,2000,全,all,468.2
141,芝,2000,良,all,460.7
142,芝,2000,稍重,all,484.2
143,芝,2000,重,all,474.0
144,芝,2000,不良,all,
145,芝,2000,全,未勝利,461.0
146,芝,2000,良,未勝利,446.5
147,芝,2000,稍重,未勝利,480.3
148,芝,2000,重,未勝利,
149,芝,2000,不良,未勝利,
150,芝,2000,全,新馬,461.5
151,芝,2000,良,新馬,456.7
152,芝,2000,稍重,新馬,476.0
153,芝,2000,重,新馬,
154,芝,2000,不良,新馬,
155,芝,2000,全,1勝クラス,478.3
156,芝,2000,良,1勝クラス,465.3
157,芝,2000,稍重,1勝クラス,502.0
158,芝,2000,重,1勝クラス,474.0
159,芝,2000,不良,1勝クラス,
160,芝,2000,全,2勝クラス,479.0
161,芝,2000,良,2勝クラス,479.0
162,芝,2000,稍重,2勝クラス,
163,芝,2000,重,2勝クラス,
164,芝,2000,不良,2勝クラス,
165,芝,2000,全,3勝クラス,450.0
166,芝,2000,良,3勝クラス,450.0
167,芝,2000,稍重,3勝クラス,
168,芝,2000,重,3勝クラス,
169,芝,2000,不良,3勝クラス,
170,芝,2000,全,オープン,482.0
171,芝,2000,良,オープン,484.0
172,芝,2000,稍重,オープン,480.0
173,芝,2000,重,オープン,
174,芝,2000,不良,オープン,
175,芝,2200,全,all,468.8
176,芝,2200,良,all,470.2
177,芝,2200,稍重,all,467.0
178,芝,2200,重,all,460.0
179,芝,2200,不良,all,
180,芝,2200,全,未勝利,466.0
181,芝,2200,良,未勝利,465.0
182,芝,2200,稍重,未勝利,467.0
183,芝,2200,重,未勝利,
184,芝,2200,不良,未勝利,
185,芝,2200,全,新馬,
186,芝,2200,良,新馬,
187,芝,2200,稍重,新馬,
188,芝,2200,重,新馬,
189,芝,2200,不良,新馬,
190,芝,2200,全,1勝クラス,446.7
191,芝,2200,良,1勝クラス,446.7
192,芝,2200,稍重,1勝クラス,
193,芝,2200,重,1勝クラス,
194,芝,2200,不良,1勝クラス,
195,芝,2200,全,2勝クラス,493.3
196,芝,2200,良,2勝クラス,493.3
197,芝,2200,稍重,2勝クラス,
198,芝,2200,重,2勝クラス,
199,芝,2200,不良,2勝クラス,
200,芝,2200,全,3勝クラス,
201,芝,2200,良,3勝クラス,
202,芝,2200,稍重,3勝クラス,
203,芝,2200,重,3勝クラス,
204,芝,2200,不良,3勝クラス,
205,芝,2200,全,オープン,471.0
206,芝,2200,良,オープン,482.0
207,芝,2200,稍重,オープン,
208,芝,2200,重,オープン,460.0
209,芝,2200,不良,オープン,
210,芝,2400,全,all,475.4
211,芝,2400,良,all,480.2
212,芝,2400,稍重,all,472.0
213,芝,2400,重,all,466.0
214,芝,2400,不良,all,464.0
215,芝,2400,全,未勝利,468.0
216,芝,2400,良,未勝利,468.0
217,芝,2400,稍重,未勝利,
218,芝,2400,重,未勝利,
219,芝,2400,不良,未勝利,
220,芝,2400,全,新馬,
221,芝,2400,良,新馬,
222,芝,2400,稍重,新馬,
223,芝,2400,重,新馬,
224,芝,2400,不良,新馬,
225,芝,2400,全,1勝クラス,484.0
226,芝,2400,良,1勝クラス,485.5
227,芝,2400,稍重,1勝クラス,
228,芝,2400,重,1勝クラス,478.0
229,芝,2400,不良,1勝クラス,
230,芝,2400,全,2勝クラス,473.0
231,芝,2400,良,2勝クラス,
232,芝,2400,稍重,2勝クラス,487.0
233,芝,2400,重,2勝クラス,454.0
234,芝,2400,不良,2勝クラス,464.0
235,芝,2400,全,3勝クラス,474.7
236,芝,2400,良,3勝クラス,483.0
237,芝,2400,稍重,3勝クラス,458.0
238,芝,2400,重,3勝クラス,
239,芝,2400,不良,3勝クラス,
240,芝,2400,全,オープン,467.0
241,芝,2400,良,オープン,478.0
