race_type,course_len,ground_state,class,馬番,1着,2着,3着,着外
ダート,1000,不良,1勝クラス,1,0,0,0,3
ダート,1000,不良,1勝クラス,2,0,0,1,2
ダート,1000,不良,1勝クラス,3,0,0,0,3
ダート,1000,不良,1勝クラス,4,0,0,0,3
ダート,1000,不良,1勝クラス,5,0,1,0,2
ダート,1000,不良,1勝クラス,6,1,2,0,0
ダート,1000,不良,1勝クラス,7,0,0,0,3
ダート,1000,不良,1勝クラス,8,0,0,0,3
ダート,1000,不良,1勝クラス,9,1,0,1,1
ダート,1000,不良,1勝クラス,10,0,0,0,2
ダート,1000,不良,1勝クラス,11,0,0,0,2
ダート,1000,不良,1勝クラス,12,1,0,1,0
ダート,1000,不良,all,1,0,1,0,8
ダート,1000,不良,all,2,0,0,3,6
ダート,1000,不良,all,3,0,1,0,8
ダート,1000,不良,all,4,1,1,1,6
ダート,1000,不良,all,5,0,3,0,6
ダート,1000,不良,all,6,4,2,0,3
ダート,1000,不良,all,7,0,0,2,7
ダート,1000,不良,all,8,1,0,0,8
ダート,1000,不良,all,9,1,1,1,6
ダート,1000,不良,all,10,0,0,1,6
ダート,1000,不良,all,11,1,0,0,5
ダート,1000,不良,all,12,1,0,1,4
ダート,1000,不良,未勝利,1,0,1,0,5
ダート,1000,不良,未勝利,2,0,0,2,4
ダート,1000,不良,未勝利,3,0,1,0,5
ダート,1000,不良,未勝利,4,1,1,1,3
ダート,1000,不良,未勝利,5,0,2,0,4
ダート,1000,不良,未勝利,6,3,0,0,3
ダート,1000,不良,未勝利,7,0,0,2,4
ダート,1000,不良,未勝利,8,1,0,0,5
ダート,1000,不良,未勝利,9,0,1,0,5
ダート,1000,不良,未勝利,10,0,0,1,4
ダート,1000,不良,未勝利,11,1,0,0,3
ダート,1000,不良,未勝利,12,0,0,0,4
ダート,1000,全,1勝クラス,1,5,1,4,39
ダート,1000,全,1勝クラス,2,1,1,3,44
ダート,1000,全,1勝クラス,3,4,3,5,36
ダート,1000,全,1勝クラス,4,3,6,4,36
ダート,1000,全,1勝クラス,5,3,6,3,37
ダート,1000,全,1勝クラス,6,7,3,6,33
ダート,1000,全,1勝クラス,7,2,2,2,43
ダート,1000,全,1勝クラス,8,7,3,3,35
ダート,1000,全,1勝クラス,9,4,7,7,30
ダート,1000,全,1勝クラス,10,6,4,6,30
ダート,1000,全,1勝クラス,11,5,6,2,31
ダート,1000,全,1勝クラス,12,2,7,4,25
ダート,1000,全,2勝クラス,1,3,1,0,9
ダート,1000,全,2勝クラス,2,3,1,2,7
ダート,1000,全,2勝クラス,3,0,1,1,11
ダート,1000,全,2勝クラス,4,0,1,1,11
ダート,1000,全,2勝クラス,5,0,1,0,12
ダート,1000,全,2勝クラス,6,1,1,2,9
