race_type,course_len,ground_state,class,枠番,1着,2着,3着,着外
ダート,1200,不良,1勝クラス,1,0,0,1,9
ダート,1200,不良,1勝クラス,2,0,2,2,10
ダート,1200,不良,1勝クラス,3,0,0,2,16
ダート,1200,不良,1勝クラス,4,3,1,2,12
ダート,1200,不良,1勝クラス,5,1,0,0,18
ダート,1200,不良,1勝クラス,6,2,4,2,12
ダート,1200,不良,1勝クラス,7,1,2,1,16
ダート,1200,不良,1勝クラス,8,3,1,0,16
ダート,1200,不良,2勝クラス,1,0,0,0,2
ダート,1200,不良,2勝クラス,2,1,0,0,2
ダート,1200,不良,2勝クラス,3,1,0,1,2
ダート,1200,不良,2勝クラス,4,0,0,1,3
ダート,1200,不良,2勝クラス,5,0,1,0,3
ダート,1200,不良,2勝クラス,6,0,1,0,3
ダート,1200,不良,2勝クラス,7,0,0,0,4
ダート,1200,不良,2勝クラス,8,0,0,0,4
ダート,1200,不良,all,1,1,0,2,24
ダート,1200,不良,all,2,3,2,5,31
ダート,1200,不良,all,3,5,1,4,40
ダート,1200,不良,all,4,4,4,5,37
ダート,1200,不良,all,5,3,3,3,42
ダート,1200,不良,all,6,2,7,4,40
ダート,1200,不良,all,7,5,6,2,40
ダート,1200,不良,all,8,4,4,2,44
ダート,1200,不良,新馬,1,0,0,1,1
ダート,1200,不良,新馬,2,0,0,0,4
ダート,1200,不良,新馬,3,0,0,1,3
ダート,1200,不良,新馬,4,0,1,0,3
ダート,1200,不良,新馬,5,1,0,0,3
ダート,1200,不良,新馬,6,0,0,0,4
ダート,1200,不良,新馬,7,1,1,0,2
ダート,1200,不良,新馬,8,0,0,0,4
ダート,1200,不良,未勝利,1,1,0,0,11
ダート,1200,不良,未勝利,2,2,0,3,14
ダート,1200,不良,未勝利,3,4,1,0,18
ダート,1200,不良,未勝利,4,1,2,2,18
ダート,1200,不良,未勝利,5,1,2,3,17
ダート,1200,不良,未勝利,6,0,2,1,20
ダート,1200,不良,未勝利,7,2,3,1,17
ダート,1200,不良,未勝利,8,1,2,2,19
ダート,1200,全,1勝クラス,1,6,10,11,144
ダート,1200,全,1勝クラス,2,18,20,19,215
ダート,1200,全,1勝クラス,3,14,18,25,238
ダート,1200,全,1勝クラス,4,23,20,26,245
ダート,1200,全,1勝クラス,5,19,13,17,275
ダート,1200,全,1勝クラス,6,37,35,26,239
ダート,1200,全,1勝クラス,7,22,27,30,262
ダート,1200,全,1勝クラス,8,33,29,20,261
ダート,1200,全,2勝クラス,1,5,4,0,27
ダート,1200,全,2勝クラス,2,3,3,4,59
ダート,1200,全,2勝クラス,3,7,1,6,57
ダート,1200,全,2勝クラス,4,4,7,6,55
ダート,1200,全,2勝クラス,5,4,3,5,60
ダート,1200,全,2勝クラス,6,4,8,6,54
ダート,1200,全,2勝クラス,7,7,6,5,54
ダート,1200,全,2勝クラス,8,3,4,3,62
ダート,1200,全,3勝クラス,1,3,0,1,12
ダート,1200,全,3勝クラス,2,2,1,1,27
ダート,1200,全,3勝クラス,3,2,4,2,24
ダート,1200,全,3勝クラス,4,2,1,3,26
ダート,1200,全,3勝クラス,5,1,2,0,28
ダート,1200,全,3勝クラス,6,1,2,4,25
ダート,1200,全,3勝クラス,7,1,3,1,27
ダート,1200,全,3勝クラス,8,4,3,5,20
ダート,1200,全,all,1,27,24,22,377
ダート,1200,全,all,2,41,50,53,647
ダート,1200,全,all,3,54,49,64,665
ダート,1200,全,all,4,65,58,57,680
ダート,1200,全,all,5,57,53,55,705
ダート,1200,全,all,6,71,83,65,670
ダート,1200,全,all,7,68,66,74,680
ダート,1200,全,all,8,69,68,64,695
ダート,1200,全,オープン,1,0,0,1,10
ダート,1200,全,オープン,2,1,0,1,16
ダート,1200,全,オープン,3,1,1,2,17
ダート,1200,全,オープン,4,1,2,1,17
ダート,1200,全,オープン,5,1,2,4,15
ダート,1200,全,オープン,6,3,3,1,15
ダート,1200,全,オープン,7,3,2,2,14
ダート,1200,全,オープン,8,1,1,0,20
ダート,1200,全,新馬,1,2,1,1,17
ダート,1200,全,新馬,2,1,4,2,31
ダート,1200,全,新馬,3,2,2,7,30
ダート,1200,全,新馬,4,4,4,2,31
ダート,1200,全,新馬,5,6,0,0,35
ダート,1200,全,新馬,6,1,6,2,32
ダート,1200,全,新馬,7,5,3,2,31
ダート,1200,全,新馬,8,0,1,5,36
ダート,1200,全,未勝利,1,11,8,8,158
