,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202301020811,1,2,2,ジャンカズマ,牡5,51.0,小沢大仁,0:2:41.8,,43.1,12.0,482,[西] 小栗実,2600,晴,芝,良,2023年09月03日,オープン,2018105308,01185,2-2-2-2,37.4
202301020811,2,8,14,ダンディズム,セ7,56.0,富田暁,0:2:41.9,3/4,6.2,2.0,472,[西] 野中賢二,2600,晴,芝,良,2023年09月03日,オープン,2016102175,01168,11-10-8-3,37.2
202301020811,3,7,12,サンセットクラウド,牡4,53.0,北村友一,0:2:42.3,2.1/2,7.2,4.0,452,[西] 矢作芳人,2600,晴,芝,良,2023年09月03日,オープン,2019100668,01102,10-10-9-6,37.3
202301020811,4,6,10,ウインエアフォルク,牡6,52.0,小林勝太,0:2:42.4,1/2,46.5,13.0,476,[東] 根本康広,2600,晴,芝,良,2023年09月03日,オープン,2017101436,01205,14-14-13-6,37.0
202301020811,5,1,1,イヤサカ,牝5,51.0,小林凌大,0:2:42.5,クビ,9.0,6.0,488,[東] 天間昭一,2600,晴,芝,良,2023年09月03日,オープン,2018103507,01177,1-1-1-1,38.4
202301020811,6,3,3,サトノエルドール,牡7,56.0,佐々木大,0:2:43.4,5,27.4,10.0,466,[東] 国枝栄,2600,晴,芝,良,2023年09月03日,オープン,2016104319,01197,4-4-4-4,38.8
202301020811,7,6,9,ジェットモーション,セ7,55.0,藤岡佑介,0:2:43.6,1.1/4,11.7,8.0,548,[西] 藤岡健一,2600,晴,芝,良,2023年09月03日,オープン,2016104556,01093,6-6-4-8,39.1
202301020811,8,8,13,ビジン,牝4,53.0,古川吉洋,0:2:43.8,1,5.2,1.0,466,[西] 武英智,2600,晴,芝,良,2023年09月03日,オープン,2019106410,01015,2-2-2-4,39.5
202301020811,9,4,5,サンアップルトン,牡7,55.0,柴田善臣,0:2:43.9,3/4,16.5,9.0,466,[東] 中野栄治,2600,晴,芝,良,2023年09月03日,オープン,2016102867,00641,12-12-9-10,38.8
202301020811,10,7,11,メロディーレーン,牝7,53.0,鮫島克駿,0:2:44.2,1.1/2,7.4,5.0,360,[西] 森田直行,2600,晴,芝,良,2023年09月03日,オープン,2016105526,01157,8-6-9-13,39.2
202301020811,11,5,8,キングオブドラゴン,牡6,56.0,吉田隼人,0:2:44.2,アタマ,9.5,7.0,512,[西] 矢作芳人,2600,晴,芝,良,2023年09月03日,オープン,2017104917,01095,8-9-4-8,39.6
202301020811,12,4,6,レッドジェニアル,セ7,56.0,横山琉人,0:2:44.4,3/4,39.4,11.0,474,[西] 高橋義忠,2600,晴,芝,良,2023年09月03日,オープン,2016105292,01192,4-4-4-10,39.9
202301020811,13,5,7,ボスジラ,牡7,57.5,横山武史,0:2:44.4,クビ,6.5,3.0,504,[東] 国枝栄,2600,晴,芝,良,2023年09月03日,オープン,2016104635,01170,6-6-9-12,39.3
202301020811,14,3,4,シークレットラン,牡7,53.0,落合玄太,0:2:48.2,大,161.9,14.0,510,[西] 村山明,2600,晴,芝,良,2023年09月03日,オープン,2016104451,05578,12-12-14-14,41.6
