,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202601010611,1,5,10,ナムラクララ,牝4,55,浜中俊,0:1:08.4,,11-10,34.1,3.6,1,478,[西]長谷川浩,1200,晴,芝,良,2026年08月09日,オープン,2022102887,01115
202601010611,2,7,13,ルシード,牡4,57,北村友一,0:1:08.5,1/2,11-10,34.2,4.7,3,512,[東]田島俊明,1200,晴,芝,良,2026年08月09日,オープン,2022103592,01102
202601010611,3,1,2,アスティスプマンテ,牝5,55,舟山瑠泉,0:1:08.6,1/2,3-3,35.0,20.2,7,456,[西]佐藤悠太,1200,晴,芝,良,2026年08月09日,オープン,2021105358,01221
202601010611,4,3,5,ダノンマッキンリー,牡5,60,池添謙一,0:1:08.7,3/4,13-13,34.1,21.2,8,480,[西]藤原英昭,1200,晴,芝,良,2026年08月09日,オープン,2021105774,01032
202601010611,5,8,16,ロードフォアエース,牡5,58,岩田康誠,0:1:08.8,1/2,6-5,34.9,11.0,5,540,[西]友道康夫,1200,晴,芝,良,2026年08月09日,オープン,2021100130,05203
202601010611,6,2,3,ブラックチャリス,牝3,55,吉田隼人,0:1:08.9,クビ,1-1,35.6,4.5,2,470,[西]武幸四郎,1200,晴,芝,良,2026年08月09日,オープン,2023107008,01095
202601010611,6,3,6,シンバーシア,牝5,55,古川吉洋,0:1:08.9,同着,6-5,35.0,32.3,11,456,[東]浅利英明,1200,晴,芝,良,2026年08月09日,オープン,2021105599,01015
202601010611,8,4,7,ジョーメッドヴィン,牡5,58,横山琉人,0:1:08.9,クビ,8-8,34.7,28.5,10,522,[西]清水久詞,1200,晴,芝,良,2026年08月09日,オープン,2021100522,01192
202601010611,9,7,14,マーブルパレス,牝3,53,斎藤新,0:1:08.9,ハナ,8-8,34.8,7.4,4,424,[西]茶木太樹,1200,晴,芝,良,2026年08月09日,オープン,2023105203,01178
202601010611,10,6,12,サウザンサニー,牡6,57,長浜鴻緒,0:1:08.9,アタマ,16-15,33.9,33.6,12,520,[東]岩戸孝樹,1200,晴,芝,良,2026年08月09日,オープン,2020109102,01214
202601010611,11,4,8,モズナナスター,牝4,55,古川奈穂,0:1:09.1,1,13-13,34.5,27.9,9,458,[西]矢作芳人,1200,晴,芝,良,2026年08月09日,オープン,2022100490,01190
202601010611,12,6,11,ダンツエラン,牝4,55,和田陽希,0:1:09.1,クビ,15-15,34.3,174.1,15,500,[西]本田優,1200,晴,芝,良,2026年08月09日,オープン,2022103304,01223
202601010611,13,8,15,ウインアイオライト,牝6,55,黛弘人,0:1:09.3,3/4,5-3,35.6,139.7,14,478,[東]矢嶋大樹,1200,晴,芝,良,2026年08月09日,オープン,2020105203,01109
202601010611,14,5,9,カンティーユ,牡8,57,横山和生,0:1:09.4,3/4,2-2,36.1,16.2,6,488,[東]嘉藤貴行,1200,晴,芝,良,2026年08月09日,オープン,2018103515,01140
202601010611,15,2,4,ステークホルダー,牡6,57,川又賢治,0:1:09.6,1.1/4,8-10,35.5,285.6,16,468,[東]斎藤誠,1200,晴,芝,良,2026年08月09日,オープン,2020103962,01166
202601010611,16,1,1,クファシル,牡6,57,小沢大仁,0:1:09.9,1.3/4,3-5,36.3,77.8,13,498,[西]池添学,1200,晴,芝,良,2026年08月09日,オープン,2020103356,01185
