,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202601020611,1,5,7,コーチェラバレー,牡4,54.0,横山和,0:2:40.7,,5,10.4,36.2,,栗東 安田,436(-6),芝,2600,良,オープン
202601020611,2,7,12,ゴールデンスナップ,牝6,55.0,浜中,0:2:41.8,7,2,5.8,36.4,,栗東 田中克,476(+8),芝,2600,良,オープン
202601020611,3,5,8,グランドカリナン,牡6,54.0,小林美,0:2:42.1,2,14,39.2,36.1,,美浦 田島,460(+10),芝,2600,良,オープン
202601020611,4,3,4,ヨヒーン,牝4,53.0,鮫島駿,0:2:42.2,1/2,7,12.3,37.1,,栗東 杉山晴,464(-2),芝,2600,良,オープン
202601020611,5,6,9,エコロレイズ,牡5,53.0,横山琉,0:2:42.3,クビ,10,20.9,36.7,,美浦 岩戸,510(+4),芝,2600,良,オープン
202601020611,6,6,10,マイネルカンパーナ,牡6,56.0,丹内,0:2:42.4,3/4,8,16.7,37.5,,美浦 青木,408(-10),芝,2600,良,オープン
202601020611,7,8,13,ホールネス,牝6,55.0,小沢,0:2:42.7,2,3,6.3,37.3,,栗東 藤原,540(+6),芝,2600,良,オープン
202601020611,8,2,2,サクソンジェンヌ,牝5,53.0,川又,0:2:43.2,3,11,21.0,38.3,,栗東 高橋忠,476(+2),芝,2600,良,オープン
202601020611,9,4,6,シュトルーヴェ,セ7,59.0,佐々木,0:2:43.5,1.1/2,9,17.5,38.3,,美浦 堀,478(-4),芝,2600,良,オープン
202601020611,10,1,1,レクスノヴァス,牡4,56.0,横山武,0:2:43.5,ハナ,1,4.6,37.5,,栗東 上村,492(+4),芝,2600,良,オープン
202601020611,11,8,14,ギャンブルルーム,牡5,56.0,松本,0:2:43.6,1,6,10.8,38.2,,栗東 大久保,506(-2),芝,2600,良,オープン
202601020611,12,3,3,パレハ,牝5,54.0,吉田隼,0:2:43.7,アタマ,12,23.5,38.3,,栗東 新谷,452(+6),芝,2600,良,オープン
202601020611,13,7,11,ブレイヴロッカー,セ6,56.0,斎藤,0:2:44.8,7,13,24.3,40.1,,栗東 本田,456(+6),芝,2600,良,オープン
202601020611,14,4,5,ボンドロア,牡4,53.0,横山典,0:2:46.6,大,4,8.5,41.6,,栗東 松永幹,480(+12),芝,2600,良,オープン
