,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202502010910,1,5,5,カルプスペルシュ,牝3,53.0,横山武史,0:1:07.2,,3.0,1.0,470,[西] 石坂公一,1200,晴,芝,良,2025年07月12日,2勝クラス,2022104960,01170,2-2,34.3
202502010910,2,3,3,エヴァンスウィート,牝4,56.0,鮫島克駿,0:1:07.7,3,8.6,5.0,456,[西] 友道康夫,1200,晴,芝,良,2025年07月12日,2勝クラス,2021105689,01157,8-7,34.1
202502010910,3,8,11,モジャーリオ,牡3,55.0,斎藤新,0:1:07.8,1/2,9.2,6.0,464,[東] 斎藤誠,1200,晴,芝,良,2025年07月12日,2勝クラス,2022106603,01178,7-5,34.3
202502010910,4,1,1,アスクドリームモア,牡5,58.0,舟山瑠泉,0:1:07.9,3/4,65.7,10.0,534,[西] 藤原英昭,1200,晴,芝,良,2025年07月12日,2勝クラス,2020101217,01221,4-3,34.7
202502010910,5,6,6,タイキヴァンクール,牡4,58.0,古川吉洋,0:1:08.0,1/2,24.4,8.0,526,[西] 中尾秀正,1200,晴,芝,良,2025年07月12日,2勝クラス,2021103171,01015,5-5,34.7
202502010910,6,4,4,ルージュスエルテ,牝4,56.0,池添謙一,0:1:08.3,1.3/4,5.8,3.0,474,[東] 国枝栄,1200,晴,芝,良,2025年07月12日,2勝クラス,2021105863,01032,11-11,33.7
202502010910,7,6,7,スーパーマン,牡5,58.0,松本大輝,0:1:08.5,1.1/2,62.1,9.0,490,[東] 岩戸孝樹,1200,晴,芝,良,2025年07月12日,2勝クラス,2020100956,01191,5-7,35.1
202502010910,8,7,9,ニタモノドウシ,牡3,55.0,北村友一,0:1:08.7,1.1/2,4.8,2.0,468,[東] 高木登,1200,晴,芝,良,2025年07月12日,2勝クラス,2022103220,01102,10-9,35.0
202502010910,9,2,2,ファイツオン,牡4,58.0,藤岡佑介,0:1:08.9,3/4,6.4,4.0,512,[西] 藤岡健一,1200,晴,芝,良,2025年07月12日,2勝クラス,2021100476,01093,1-1,36.0
202502010910,10,8,10,イグニション,牡5,58.0,丹内祐次,0:1:09.6,4,11.1,7.0,464,[西] 畑端省吾,1200,晴,芝,良,2025年07月12日,2勝クラス,2020103898,01091,3-3,36.6
202502010910,11,7,8,シックザイン,牡6,58.0,嶋田純次,0:1:09.7,クビ,261.3,11.0,484,[東] 水野貴広,1200,晴,芝,良,2025年07月12日,2勝クラス,2019103887,01134,8-9,36.1
