,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202602010404,1,1,1,ベアサナエチャン,牝3,55,横山武史,0:1:48.3,,3-3-2-2,35.8,4.3,2,450,[東]杉浦宏昭,1800,小雨,芝,良,2026年06月21日,未勝利,2023106829,01170
202602010404,2,6,12,アーデルブリックス,牡3,55,舟山瑠泉,0:1:48.4,クビ,1-1-1-1,36.3,16.3,8,430,[西]坂口智康,1800,小雨,芝,良,2026年06月21日,未勝利,2023106863,01221
202602010404,3,2,3,コスモクラシック,牡3,54,和田陽希,0:1:48.4,クビ,2-2-2-2,36.0,37.5,9,488,[東]嘉藤貴行,1800,小雨,芝,良,2026年06月21日,未勝利,2023104491,01223
202602010404,4,2,4,エイシンインアウト,牡3,57,横山琉人,0:1:48.5,クビ,11-11-12-12,35.1,7.8,4,488,[西]中尾秀正,1800,小雨,芝,良,2026年06月21日,未勝利,2023105521,01192
202602010404,5,1,2,ワダツミ,牝3,55,川又賢治,0:1:48.5,クビ,7-7-8-6,35.4,42.2,10,446,[西]笹田和秀,1800,小雨,芝,良,2026年06月21日,未勝利,2023102669,01166
202602010404,6,5,9,ヘクセンハウス,牝3,55,国分恭介,0:1:48.6,クビ,6-5-5-4,35.8,16.1,7,416,[西]吉田直弘,1800,小雨,芝,良,2026年06月21日,未勝利,2023106478,01124
202602010404,7,8,16,コワンニシタガウ,牡3,57,武豊,0:1:48.6,アタマ,7-7-7-8,35.6,13.3,6,476,[西]庄野靖志,1800,小雨,芝,良,2026年06月21日,未勝利,2023104216,00666
202602010404,8,6,11,ヒシナスキロ,牝3,55,丹内祐次,0:1:48.6,クビ,3-3-4-4,36.0,3.3,1,424,[東]堀宣行,1800,小雨,芝,良,2026年06月21日,未勝利,2023107004,01091
202602010404,9,3,6,コンティ,牝3,55,佐々木大,0:1:48.7,クビ,9-9-10-9,35.5,8.3,5,464,[東]黒岩陽一,1800,小雨,芝,良,2026年06月21日,未勝利,2023105305,01197
202602010404,10,4,8,パンキー,牡3,57,斎藤新,0:1:48.8,1/2,11-11-12-12,35.4,5.9,3,440,[西]茶木太樹,1800,小雨,芝,良,2026年06月21日,未勝利,2023102310,01178
202602010404,11,7,14,レジーナレガリア,牝3,55,小沢大仁,0:1:48.8,クビ,5-5-5-6,35.9,70.6,12,472,[西]石坂公一,1800,小雨,芝,良,2026年06月21日,未勝利,2023107271,01185
202602010404,12,7,13,グランフルス,牡3,57,岩田康誠,0:1:49.0,1,14-14-14-14,35.1,137.6,15,460,[東]矢野英一,1800,小雨,芝,良,2026年06月21日,未勝利,2023102434,05203
202602010404,13,4,7,トルークマクト,牝3,55,松本大輝,0:1:49.6,3.1/2,10-9-10-9,36.4,54.8,11,446,[西]福永祐一,1800,小雨,芝,良,2026年06月21日,未勝利,2023101088,01191
202602010404,14,5,10,マイネルディザイア,牡3,56,長浜鴻緒,0:1:49.6,クビ,13-13-8-11,36.5,117.8,13,432,[東]室井潔,1800,小雨,芝,良,2026年06月21日,未勝利,2023106476,01214
202602010404,15,8,15,デルマノリクラ,牡3,54,遠藤汰月,0:1:49.9,1.3/4,15-15-14-14,36.0,706.6,16,484,[東]勢司和浩,1800,小雨,芝,良,2026年06月21日,未勝利,2023101366,01218
202602010404,16,3,5,チリンドリ,牡3,57,古川吉洋,0:1:50.0,1/2,16-16-16-16,35.9,122.5,14,506,[西]昆貢,1800,小雨,芝,良,2026年06月21日,未勝利,2023102461,01015
