,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202602010703,1,7,9,ギンケイ,牝3,55.0,横山琉,0:1:46.7,,1.0,2.5,37.8,,美浦 中川,470(+2),ダート,1700,良,未勝利
202602010703,2,5,6,ルージュリヴィエラ,牝3,55.0,横山和,0:1:46.8,1/2,8.0,31.1,38.3,,美浦 嘉藤,410(-2),ダート,1700,良,未勝利
202602010703,3,7,10,ウォータースパウト,牝3,55.0,国分恭,0:1:47.1,2,4.0,12.8,38.5,,美浦 小笠,464(+2),ダート,1700,良,未勝利
202602010703,4,3,3,テリオスリコ,牝3,55.0,古川吉,0:1:47.7,3.1/2,11.0,302.1,38.8,,栗東 松下,440(-2),ダート,1700,良,未勝利
202602010703,5,6,8,ルージュボニート,牝3,55.0,丹内,0:1:47.7,クビ,5.0,20.5,39.6,,美浦 高柳瑞,446(+2),ダート,1700,良,未勝利
202602010703,6,5,5,ラショナルポイント,牝3,55.0,横山武,0:1:48.3,3.1/2,3.0,3.6,40.3,,美浦 大竹,478(+4),ダート,1700,良,未勝利
202602010703,7,1,1,ハスカップジャム,牝3,54.0,☆長浜,0:1:48.7,2.1/2,9.0,67.4,40.8,,美浦 中舘,416(-6),ダート,1700,良,未勝利
202602010703,8,2,2,マスカルポーネ,牝3,54.0,☆舟山,0:1:49.5,5,6.0,25.3,41.2,,美浦 水野,442(-4),ダート,1700,良,未勝利
202602010703,9,4,4,ペガサスウィンド,牝3,55.0,鮫島駿,0:1:49.8,2,2.0,3.1,41.4,,栗東 宮地,500(+2),ダート,1700,良,未勝利
202602010703,10,8,11,ブリスフルイヤー,牝3,52.0,▲小林美,0:1:50.2,2.1/2,7.0,25.7,40.5,,美浦 新開,462(+8),ダート,1700,良,未勝利
202602010703,11,8,12,ハヤブサブロー,牝3,55.0,吉田隼,0:1:53.3,大,10.0,89.1,43.9,,栗東 高橋忠,432(+2),ダート,1700,良,未勝利
202602010703,除外,6,7,ティナンヴァランタ,牝3,55.0,黛,,,,,,,美浦 森一,450(+4),ダート,1700,良,未勝利
