,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202003030108,1,3,5,アシャカマキシン,牡4,54.0,小林凌大,0:1:09.4,,3.5,1.0,478,[東] 鈴木伸尋,1150,晴,ダート,良,2020年10月31日,1勝クラス,2016101589,01177,1-1,37.8
202003030108,2,1,1,リゼ,牝4,55.0,黛弘人,0:1:09.5,3/4,258.9,14.0,442,[東] 田中清隆,1150,晴,ダート,良,2020年10月31日,1勝クラス,2016105470,01109,13-11,36.4
202003030108,3,3,4,アポロアミ,牝5,54.0,菅原明良,0:1:09.7,1.1/4,10.3,5.0,458,[東] 矢野英一,1150,晴,ダート,良,2020年10月31日,1勝クラス,2015101491,01179,10-9,37.2
202003030108,4,4,7,コーリングローリー,牡3,54.0,菊沢一樹,0:1:09.9,1,46.9,12.0,458,[東] 小野次郎,1150,晴,ダート,良,2020年10月31日,1勝クラス,2017100614,01161,8-7,37.6
202003030108,5,6,10,マリノリヴィエール,牝4,55.0,丸田恭介,0:1:10.0,1/2,9.6,4.0,464,[東] 本間忍,1150,晴,ダート,良,2020年10月31日,1勝クラス,2016102949,01117,14-14,36.4
202003030108,6,4,6,ハルワタート,牝4,54.0,斎藤新,0:1:10.0,アタマ,9.4,3.0,488,[東] 斎藤誠,1150,晴,ダート,良,2020年10月31日,1勝クラス,2016103082,01178,12-12,37.1
202003030108,7,2,3,ダウラギリ,牡3,55.0,西村淳也,0:1:10.1,クビ,20.3,9.0,498,[東] 加藤和宏,1150,晴,ダート,良,2020年10月31日,1勝クラス,2017101558,01171,4-2,38.2
202003030108,8,5,8,ライトマン,牡3,55.0,丸山元気,0:1:10.2,3/4,25.7,11.0,488,[西] 宮本博,1150,晴,ダート,良,2020年10月31日,1勝クラス,2017100057,01127,5-5,38.2
202003030108,9,7,12,コトブキレイア,牝3,53.0,伊藤工真,0:1:10.2,アタマ,13.8,7.0,446,[東] 金成貴史,1150,晴,ダート,良,2020年10月31日,1勝クラス,2017103723,01119,9-9,37.8
202003030108,10,6,11,レムリアンシード,牡3,55.0,大庭和弥,0:1:10.3,クビ,189.1,13.0,448,[東] 松永康利,1150,晴,ダート,良,2020年10月31日,1勝クラス,2017101524,01061,7-7,38.2
202003030108,11,8,14,トーセンリズム,牡3,55.0,丹内祐次,0:1:10.4,3/4,10.3,6.0,472,[東] 深山雅史,1150,晴,ダート,良,2020年10月31日,1勝クラス,2017104386,01091,5-5,38.4
202003030108,12,5,9,アドマイヤヒビキ,牡5,57.0,西村太一,0:1:10.7,1.3/4,22.5,10.0,562,[東] 加藤征弘,1150,晴,ダート,良,2020年10月31日,1勝クラス,2015104785,01131,14-14,37.1
202003030108,13,7,13,ラブアドベンチャー,牝3,53.0,鮫島克駿,0:1:11.1,2.1/2,3.5,2.0,476,[東] 尾関知人,1150,晴,ダート,良,2020年10月31日,1勝クラス,2017101818,01157,2-2,39.4
202003030108,14,2,2,スズカキングボス,牡3,55.0,荻野極,0:1:11.1,ハナ,19.9,8.0,462,[東] 田中剛,1150,晴,ダート,良,2020年10月31日,1勝クラス,2017106309,01160,10-12,38.6
202003030108,15,8,15,ロワデベット,セ5,57.0,嶋田純次,0:1:11.4,1.1/2,287.4,15.0,464,[東] 石毛善彦,1150,晴,ダート,良,2020年10月31日,1勝クラス,2015102855,01134,2-2,39.6
