,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id
202603020307,1,4,7,フレキシブル,牝3,55,戸崎圭太,0:2:00.0,,7-7-6-6,35.9,5.2,3,440,[東]斎藤誠,2000,晴,芝,良,2026年07月04日,未勝利,2023105808,05386
202603020307,2,5,9,アルティマローネ,牝3,55,武藤雅,0:2:00.0,ハナ,11-10-11-10,35.5,29.6,8,392,[東]武市康男,2000,晴,芝,良,2026年07月04日,未勝利,2023106811,01169
202603020307,3,7,14,ピースフルマインド,牝3,55,荻野極,0:2:00.1,クビ,7-7-5-3,36.1,6.6,4,440,[東]伊坂重信,2000,晴,芝,良,2026年07月04日,未勝利,2023105298,01160
202603020307,4,7,13,アンヴデット,牝3,55,丸山元気,0:2:00.2,1,16-16-15-12,35.3,16.9,6,402,[東]高橋文雅,2000,晴,芝,良,2026年07月04日,未勝利,2023107044,01127
202603020307,5,3,6,アールグレイ,牝3,55,原優介,0:2:00.2,アタマ,1-1-1-1,37.0,3.3,2,444,[東]蛯名正義,2000,晴,芝,良,2026年07月04日,未勝利,2023105003,01184
202603020307,6,2,3,フロンテアムーン,牝3,52,石田拓郎,0:2:00.4,1,7-7-6-6,36.3,49.8,10,398,[東]奥村武,2000,晴,芝,良,2026年07月04日,未勝利,2023102172,01203
202603020307,7,1,2,ダイヤモンドパレス,牝3,55,津村明秀,0:2:00.5,クビ,13-13-13-11,35.9,3.1,1,430,[東]手塚貴久,2000,晴,芝,良,2026年07月04日,未勝利,2023107160,01092
202603020307,8,2,4,ミセスジョーンズ,牝3,52,石神深道,0:2:00.5,クビ,5-4-3-3,36.7,34.9,9,438,[東]松永康利,2000,晴,芝,良,2026年07月04日,未勝利,2023106493,01209
202603020307,9,6,11,アドマイヤフク,牝3,55,小崎綾也,0:2:00.6,クビ,12-12-8-6,36.3,97.6,12,430,[東]加藤征弘,2000,晴,芝,良,2026年07月04日,未勝利,2023101048,01152
202603020307,10,5,10,ホウオウライラック,牝3,55,丸田恭介,0:2:00.6,クビ,10-10-8-9,36.3,62.1,11,428,[東]高柳瑞樹,2000,晴,芝,良,2026年07月04日,未勝利,2023105618,01117
202603020307,11,4,8,ギャニミード,牝3,55,北村宏司,0:2:00.9,1.1/2,2-2-2-2,37.5,15.1,5,466,[東]木村哲也,2000,晴,芝,良,2026年07月04日,未勝利,2023107054,01043
202603020307,12,1,1,ジーナグレイス,牝3,55,江田照男,0:2:01.2,2,4-4-3-5,37.3,140.3,14,420,[東]田中勝春,2000,晴,芝,良,2026年07月04日,未勝利,2023107385,00689
202603020307,13,8,15,キタノアヤカ,牝3,55,木幡巧也,0:2:01.4,1.1/4,14-13-13-12,36.8,128.4,13,450,[東]萱野浩二,2000,晴,芝,良,2026年07月04日,未勝利,2023102715,01162
202603020307,14,6,12,ノーブルスアーク,牝3,52,佐藤翔馬,0:2:03.5,大,5-4-11-14,39.0,269.7,16,440,[東]尾形和幸,2000,晴,芝,良,2026年07月04日,未勝利,2023103651,01207
202603020307,15,3,5,アズサ,牝3,55,菊沢一樹,0:2:04.5,6,14-15-15-16,39.5,221.2,15,488,[東]和田正一,2000,晴,芝,良,2026年07月04日,未勝利,2023101052,01161
202603020307,16,8,16,スターリットフレア,牝3,55,杉原誠人,0:2:06.2,10,2-2-8-14,41.8,24.9,7,468,[東]田中博康,2000,晴,芝,良,2026年07月04日,未勝利,2023103462,01135
