,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202603020310,1,4,4,ディーズゴールド,牡4,58.0,坂井,0:1:43.4,,1,2.7,36.7,,美浦 中舘,484(-4),ダート,1700,稍重,２勝クラス
202603020310,2,8,10,ユイノマチブセ,牡6,58.0,木幡初,0:1:43.6,1,3,7.3,37.0,,美浦 竹内,442(+2),ダート,1700,稍重,２勝クラス
202603020310,3,3,3,レッドベルダンス,牡4,58.0,嶋田,0:1:44.3,4,4,7.6,37.2,,美浦 手塚久,486(+6),ダート,1700,稍重,２勝クラス
202603020310,4,1,1,マンダリンボレロ,牡6,58.0,松岡,0:1:44.5,1.1/2,7,16.0,37.6,,美浦 伊藤伸,496(-8),ダート,1700,稍重,２勝クラス
202603020310,5,7,8,トゥーザムーン,牝4,56.0,木幡巧,0:1:45.2,4,5,7.9,38.0,,美浦 辻,502(+14),ダート,1700,稍重,２勝クラス
202603020310,6,5,5,ダディーズトリップ,牡10,58.0,横山典,0:1:45.3,1/2,9,37.7,36.8,,栗東 千田,472(-4),ダート,1700,稍重,２勝クラス
202603020310,7,8,9,キングツェッペリン,牡5,58.0,石橋脩,0:1:45.3,クビ,6,9.4,38.0,,栗東 牧田,470(-2),ダート,1700,稍重,２勝クラス
202603020310,8,2,2,ウインアルドーレ,牡5,58.0,菊沢,0:1:45.6,1.1/2,10,57.7,38.1,,美浦 奥平,496(-4),ダート,1700,稍重,２勝クラス
202603020310,9,7,7,クロドラバール,セ5,58.0,石川,0:1:46.2,4,8,31.6,38.6,,美浦 奥村武,520(+4),ダート,1700,稍重,２勝クラス
202603020310,10,6,6,エリーナストーム,牝4,56.0,三浦,0:1:46.8,3.1/2,2,4.0,39.2,,美浦 鹿戸,524(0),ダート,1700,稍重,２勝クラス
