,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202104030602,1,8,15,エイカイステラ,牝3,54.0,福永祐一,0:1:53.7,,2.0,1.0,456,[西] 藤原英昭,1800,曇,ダート,良,2021年08月08日,未勝利,2018104944,01014,1-1-1-1,38.3
202104030602,2,7,13,ユキヤコンコン,牝3,54.0,菅原明良,0:1:54.7,6,7.2,3.0,466,[東] 上原博之,1800,曇,ダート,良,2021年08月08日,未勝利,2018106091,01179,13-13-9-8,38.0
202104030602,3,1,1,バライロノキセキ,牝3,54.0,松山弘平,0:1:54.8,アタマ,3.7,2.0,464,[西] 中竹和也,1800,曇,ダート,良,2021年08月08日,未勝利,2018100185,01126,5-5-3-3,39.1
202104030602,4,4,6,フラワーリスペクト,牝3,51.0,小林脩斗,0:1:55.3,3,40.1,10.0,408,[東] 池上昌和,1800,曇,ダート,良,2021年08月08日,未勝利,2018105499,01183,11-11-8-8,38.8
202104030602,5,6,11,ホウオウハイエスト,牝3,51.0,原優介,0:1:55.3,クビ,26.8,8.0,522,[東] 奥村武,1800,曇,ダート,良,2021年08月08日,未勝利,2018103513,01184,7-6-5-3,39.5
202104030602,6,5,9,オーサムデイ,牝3,54.0,西村淳也,0:1:56.1,5,20.8,6.0,470,[西] 羽月友彦,1800,曇,ダート,良,2021年08月08日,未勝利,2018101161,01171,7-6-6-7,39.9
202104030602,7,2,3,スマートミニヨン,牝3,54.0,藤岡康太,0:1:56.1,ハナ,108.2,11.0,436,[西] 河内洋,1800,曇,ダート,良,2021年08月08日,未勝利,2018101048,01116,11-11-6-5,39.9
202104030602,8,4,7,アミスタ,牝3,54.0,森裕太朗,0:1:56.1,ハナ,166.3,12.0,460,[西] 羽月友彦,1800,曇,ダート,良,2021年08月08日,未勝利,2018103047,01165,14-14-11-11,39.2
202104030602,9,8,14,メイショウフウカ,牝3,53.0,富田暁,0:1:56.2,クビ,24.2,7.0,450,[西] 池添兼雄,1800,曇,ダート,良,2021年08月08日,未勝利,2018103374,01168,14-14-9-10,39.5
202104030602,10,7,12,プロヴァンスロゼ,牝3,54.0,岩田望来,0:1:56.7,3,175.8,13.0,436,[西] 杉山晴紀,1800,曇,ダート,良,2021年08月08日,未勝利,2018103871,01174,3-3-2-2,41.1
202104030602,11,5,8,リリーテソーロ,牝3,54.0,鮫島克駿,0:1:57.8,7,19.1,5.0,448,[東] 和田雄二,1800,曇,ダート,良,2021年08月08日,未勝利,2018102661,01157,2-2-3-5,42.1
202104030602,12,3,4,ジェネシスライト,牝3,54.0,菅原隆一,0:1:58.0,3/4,262.3,14.0,466,[東] 畠山吉宏,1800,曇,ダート,良,2021年08月08日,未勝利,2018104449,01129,10-9-13-12,40.9
202104030602,13,2,2,アポロスマイル,牝3,51.0,永野猛蔵,0:1:58.3,2,10.7,4.0,486,[東] 岩戸孝樹,1800,曇,ダート,良,2021年08月08日,未勝利,2018104389,01188,9-9-15-15,40.8
202104030602,14,6,10,タカチホ,牝3,51.0,松本大輝,0:1:58.5,3/4,268.6,15.0,462,[東] 尾形和幸,1800,曇,ダート,良,2021年08月08日,未勝利,2018102297,01191,5-6-13-13,41.4
202104030602,15,3,5,ハンザ,牝3,53.0,木幡育也,0:2:00.0,9,28.1,9.0,418,[東] 林徹,1800,曇,ダート,良,2021年08月08日,未勝利,2018105244,01167,3-3-11-14,43.1
