,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id,通過,上り
202504010310,1,6,10,マイネルシーマー,牡6,58.0,菊沢一樹,0:2:15.3,,34.9,12.0,484,[東] 青木孝文,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2019100774,01161,8-11-7-5,36.6
202504010310,2,5,8,ゼンノインヴォーク,セ6,58.0,小沢大仁,0:2:15.3,1/2,4.4,1.0,440,[西] 緒方努,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2019100915,01185,5-8-6-5,36.8
202504010310,3,6,11,マイファミリー,牡4,58.0,丸田恭介,0:2:15.3,ハナ,6.9,4.0,448,[東] 深山雅史,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021103345,01117,8-6-3-3,36.9
202504010310,4,4,7,ウインリュクス,牝5,56.0,丹内祐次,0:2:15.4,クビ,8.7,6.0,422,[西] 吉田直弘,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2020105189,01091,12-12-10-10,36.5
202504010310,5,1,1,アレナリア,牝6,56.0,国分恭介,0:2:15.5,1/2,21.2,9.0,432,[西] 西園翔太,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2019105824,01124,8-9-7-8,36.8
202504010310,6,4,6,ボクラヲツナグモノ,牡4,58.0,斎藤新,0:2:15.5,1/2,7.7,5.0,448,[東] 清水英克,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021100441,01178,14-14-13-13,36.3
202504010310,7,3,4,メアヴィア,牝4,56.0,吉田隼人,0:2:15.7,1.1/4,74.8,13.0,468,[東] 金成貴史,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021104820,01095,12-12-10-12,36.8
202504010310,8,8,15,ティータイム,牝5,56.0,酒井学,0:2:15.9,3/4,20.2,8.0,452,[西] 長谷川浩,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2020104162,01034,1-1-1-1,37.8
202504010310,9,5,9,ゴールデンステップ,牝4,56.0,横山琉人,0:2:16.0,3/4,33.0,11.0,478,[東] 和田勇介,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021103555,01192,14-14-13-13,36.8
202504010310,10,7,13,レジェンドシップ,セ5,58.0,菱田裕二,0:2:16.1,3/4,5.2,2.0,442,[西] 佐藤悠太,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2020103910,01144,2-2-2-2,37.9
202504010310,11,2,2,キーチパルフェ,牡4,58.0,亀田温心,0:2:16.8,4,5.9,3.0,484,[西] 高柳大輔,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021103727,01176,5-4-3-3,38.4
202504010310,12,2,3,ダノンロッキー,牡4,58.0,佐々木大,0:2:17.0,3/4,30.5,10.0,500,[東] 萩原清,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021105654,01197,11-9-10-10,38.1
202504010310,13,3,5,スノーブリザード,牡4,58.0,鮫島良太,0:2:17.6,4,15.0,7.0,478,[西] 畑端省吾,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021107138,01099,5-6-7-8,38.9
202504010310,14,7,12,ジャンビ,牝4,56.0,秋山稔樹,0:2:17.8,1.1/2,275.6,15.0,448,[東] 勢司和浩,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021103878,01181,2-2-3-5,39.4
202504010310,15,8,14,マルチライセンス,セ4,58.0,武藤雅,0:2:19.3,9,119.0,14.0,456,[東] 高柳瑞樹,芝,2200,曇,稍重,2025年05月10日,1勝クラス,2021105673,01169,4-4-13-15,40.1
