,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id
202604010304,1,8,11,ルドヴィクス,牡8,60,上野翔,0:3:10.9,,2-2-2-2,13.2,9.3,6,532,[東]久保田貴,障害,2890,晴,稍重,2026年05月09日,オープン,2018105213,01087
202604010304,2,6,7,コレクテイニア,牡6,60,草野太郎,0:3:11.4,3,11-9-7-6,13.2,3.0,1,470,[東]戸田博文,障害,2890,晴,稍重,2026年05月09日,オープン,2020110020,01113
202604010304,3,2,2,スコラーリ,牡7,60,伴啓太,0:3:11.6,1.1/4,8-7-4-4,13.3,4.3,2,482,[東]萩原清,障害,2890,晴,稍重,2026年05月09日,オープン,2019100718,01149
202604010304,4,6,6,ロードリベラシオン,牡4,59,五十嵐雄,0:3:11.7,1/2,1-1-1-1,13.3,8.6,5,510,[東]尾形和幸,障害,2890,晴,稍重,2026年05月09日,オープン,2022102821,01069
202604010304,5,8,10,バルサムノート,牡6,60,森一馬,0:3:11.8,1/2,4-3-3-3,13.3,5.1,3,516,[西]高野友和,障害,2890,晴,稍重,2026年05月09日,オープン,2020103276,01139
202604010304,6,7,8,ジーティーオウジャ,セ5,57,水沼元輝,0:3:11.9,1/2,9-9-7-5,13.3,12.9,7,504,[東]石栗龍彦,障害,2890,晴,稍重,2026年05月09日,オープン,2021104943,01201
202604010304,7,7,9,モズバンディット,牡6,60,中村将之,0:3:12.8,5,6-6-9-9,13.3,34.0,8,462,[西]中尾秀正,障害,2890,晴,稍重,2026年05月09日,オープン,2020101268,01101
202604010304,8,4,4,ローンウルフ,牡5,60,大江原圭,0:3:14.1,8,3-3-6-8,13.4,116.3,11,490,[東]武市康男,障害,2890,晴,稍重,2026年05月09日,オープン,2021104112,01120
202604010304,9,5,5,タイセイジャスパー,セ7,60,難波剛健,0:3:16.0,大,5-5-4-6,13.6,76.5,10,496,[東]伊藤圭三,障害,2890,晴,稍重,2026年05月09日,オープン,2019100135,01066
202604010304,10,1,1,テクネチウム,セ5,57,井上敏樹,0:3:17.2,7,6-7-10-11,13.6,72.6,9,484,[西]前川恭子,障害,2890,晴,稍重,2026年05月09日,オープン,2021104280,01151
202604010304,11,3,3,キングサーガ,セ9,60,小牧加矢,0:3:18.7,9,9-9-11-10,13.8,7.5,4,496,[西]小栗実,障害,2890,晴,稍重,2026年05月09日,オープン,2017105439,01196
