,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202604020104,1,2,3,プリプリプリン,牝3,52.0,▲佐藤,0:1:12.4,,2,3.3,38.1,,美浦 伊藤圭,488(+2),ダート,1200,稍重,未勝利
202604020104,2,8,15,オレンジキャンパス,牝3,55.0,武藤,0:1:13.0,3.1/2,3,4.5,38.6,,美浦 武藤,474(+2),ダート,1200,稍重,未勝利
202604020104,3,3,4,スノーランス,牝3,55.0,石橋脩,0:1:13.6,3.1/2,4,8.2,38.8,,美浦 上原佑,464(0),ダート,1200,稍重,未勝利
202604020104,4,4,7,セイウンヤオヨロズ,牡3,55.0,△石神道,0:1:13.7,1,5,8.7,39.2,,美浦 上原博,468(+2),ダート,1200,稍重,未勝利
202604020104,5,5,9,ロジザボード,牝3,55.0,斎藤,0:1:13.8,クビ,6,26.2,38.3,,美浦 古賀慎,482(-8),ダート,1200,稍重,未勝利
202604020104,6,4,6,ナーシリーヤ,牡3,57.0,松岡,0:1:14.0,1.1/2,7,32.5,39.2,,美浦 田中剛,488(+8),ダート,1200,稍重,未勝利
202604020104,7,5,8,メイショウバリスタ,牡3,57.0,菊沢,0:1:14.1,3/4,10,128.8,38.4,,美浦 西田,438(-2),ダート,1200,稍重,未勝利
202604020104,8,6,11,スウェーバック,牝3,55.0,野中,0:1:14.3,1.1/4,9,89.6,38.5,,美浦 天間,432(-4),ダート,1200,稍重,未勝利
202604020104,9,3,5,シャインネージュ,牝3,51.0,★谷原,0:1:14.3,アタマ,8,47.3,39.1,,美浦 小野,478(0),ダート,1200,稍重,未勝利
202604020104,10,6,10,スウィートラキ,牝3,55.0,木幡初,0:1:14.4,1/2,11,241.8,38.4,,美浦 堀内,444(-2),ダート,1200,稍重,未勝利
202604020104,11,2,2,パチクリベスクリ,牡3,57.0,丸田,0:1:14.7,1.3/4,14,345.9,38.3,,美浦 清水英,450(-8),ダート,1200,稍重,未勝利
202604020104,12,8,14,マナイアカラニ,牡3,57.0,戸崎圭,0:1:15.4,4,1,2.6,40.6,,美浦 田中勝,480(-2),ダート,1200,稍重,未勝利
202604020104,13,7,12,ジョイベル,牝3,55.0,木幡育,0:1:16.7,8,15,481.8,40.4,,美浦 本間,450(-2),ダート,1200,稍重,未勝利
202604020104,14,7,13,フジテンクウ,牝3,52.0,▲石田,0:1:16.8,1/2,13,333.2,41.0,,美浦 竹内,452(-2),ダート,1200,稍重,未勝利
202604020104,15,1,1,サンマルオブウォー,牡3,54.0,▲上里,0:1:18.3,9,12,281.6,40.7,,美浦 中川,442(0),ダート,1200,稍重,未勝利
